file,week,date,away,home,away_rank,home_rank,stored_before,rating_margin_home,diff_before,stored_line_before,rating_line_after,reasons
index.html,2,2026-09-12,Old Dominion,Virginia Tech,76,41,15.495,10.5,5.0,Virginia Tech -15.5,Virginia Tech -10.5,diff_5plus
index.html,5,2026-10-01,North Texas,Tulsa,87,104,0.84,-4.2,5.0,Tulsa -0.8,North Texas -4.2,"sign_mismatch,default_or_too_small,diff_5plus"
index.html,5,2026-10-03,Syracuse,Connecticut,81,97,-9.072,-4.1,-5.0,Syracuse -9.1,Syracuse -4.1,diff_5plus
index.html,6,2026-10-10,Charlotte,North Texas,136,87,16.363,21.4,-5.0,North Texas -16.4,North Texas -21.4,diff_5plus
index.html,9,2026-10-29,Florida Atlantic,North Texas,103,87,2.118,7.7,-5.6,North Texas -2.1,North Texas -7.7,diff_5plus
index.html,9,2026-10-31,Oklahoma State,Iowa State,61,56,-3.257,3.1,-6.4,Oklahoma State -3.3,Iowa State -3.1,"sign_mismatch,diff_5plus"
index.html,10,2026-11-07,Rice,North Texas,121,87,8.335,13.3,-5.0,North Texas -8.3,North Texas -13.3,diff_5plus
index.html,11,2026-11-14,Texas Tech,Oklahoma State,8,61,-13.283,-18.6,5.3,Texas Tech -13.3,Texas Tech -18.6,diff_5plus
index.html,11,2026-11-14,Illinois,UCLA,31,55,-1.367,-4.4,3.0,Illinois -1.4,Illinois -4.4,default_or_too_small
index_auto_market.html,2,2026-09-12,Old Dominion,Virginia Tech,76,41,15.495,10.5,5.0,Virginia Tech -15.5,Virginia Tech -10.5,diff_5plus
index_auto_market.html,5,2026-10-01,North Texas,Tulsa,87,104,0.84,-4.2,5.0,Tulsa -0.8,North Texas -4.2,"sign_mismatch,default_or_too_small,diff_5plus"
index_auto_market.html,5,2026-10-03,Syracuse,Connecticut,81,97,-9.072,-4.1,-5.0,Syracuse -9.1,Syracuse -4.1,diff_5plus
index_auto_market.html,6,2026-10-10,Charlotte,North Texas,136,87,16.363,21.4,-5.0,North Texas -16.4,North Texas -21.4,diff_5plus
index_auto_market.html,9,2026-10-29,Florida Atlantic,North Texas,103,87,2.118,7.7,-5.6,North Texas -2.1,North Texas -7.7,diff_5plus
index_auto_market.html,9,2026-10-31,Oklahoma State,Iowa State,61,56,-3.257,3.1,-6.4,Oklahoma State -3.3,Iowa State -3.1,"sign_mismatch,diff_5plus"
index_auto_market.html,10,2026-11-07,Rice,North Texas,121,87,8.335,13.3,-5.0,North Texas -8.3,North Texas -13.3,diff_5plus
index_auto_market.html,11,2026-11-14,Texas Tech,Oklahoma State,8,61,-13.283,-18.6,5.3,Texas Tech -13.3,Texas Tech -18.6,diff_5plus
index_auto_market.html,11,2026-11-14,Illinois,UCLA,31,55,-1.367,-4.4,3.0,Illinois -1.4,Illinois -4.4,default_or_too_small
index_publish.html,2,2026-09-12,Old Dominion,Virginia Tech,76,41,15.495,10.5,5.0,Virginia Tech -15.5,Virginia Tech -10.5,diff_5plus
index_publish.html,5,2026-10-01,North Texas,Tulsa,87,104,0.84,-4.2,5.0,Tulsa -0.8,North Texas -4.2,"sign_mismatch,default_or_too_small,diff_5plus"
index_publish.html,5,2026-10-03,Syracuse,Connecticut,81,97,-9.072,-4.1,-5.0,Syracuse -9.1,Syracuse -4.1,diff_5plus
index_publish.html,6,2026-10-10,Charlotte,North Texas,136,87,16.363,21.4,-5.0,North Texas -16.4,North Texas -21.4,diff_5plus
index_publish.html,9,2026-10-29,Florida Atlantic,North Texas,103,87,2.118,7.7,-5.6,North Texas -2.1,North Texas -7.7,diff_5plus
index_publish.html,9,2026-10-31,Oklahoma State,Iowa State,61,56,-3.257,3.1,-6.4,Oklahoma State -3.3,Iowa State -3.1,"sign_mismatch,diff_5plus"
index_publish.html,10,2026-11-07,Rice,North Texas,121,87,8.335,13.3,-5.0,North Texas -8.3,North Texas -13.3,diff_5plus
index_publish.html,11,2026-11-14,Texas Tech,Oklahoma State,8,61,-13.283,-18.6,5.3,Texas Tech -13.3,Texas Tech -18.6,diff_5plus
index_publish.html,11,2026-11-14,Illinois,UCLA,31,55,-1.367,-4.4,3.0,Illinois -1.4,Illinois -4.4,default_or_too_small
