team,BetMGM,Caesars,DraftKings,FanDuel
Alabama,8.5,8.5,5.5,8.5
Arizona,7.5,7.5,"4.5,7.5",7.5
Arizona State,6.5,6.5,4.5,6.5
Arkansas,4.5,4.5,2.5,4.5
Auburn,6.5,6.5,3.5,6.5
BYU,8.5,8.5,6.5,8.5
Baylor,6.5,6.5,"3.5,5.5",6.5
Boston College,3.5,3.5,1.5,3.5
California,6.5,6.5,4.5,6.5
Central Florida,5.5,5.5,"3.5,5.5",5.5
Cincinnati,5.5,5.5,3.5,5.5
Clemson,7.5,7.5,5.5,7.5
Colorado,4.5,4.5,"2.5,4.5",4.5
Florida,7.5,7.5,"4.5,7.5",7.5
Florida State,6.5,6.5,3.5,6.5
Georgia,9.5,9.5,6.5,9.5
Georgia Tech,,6.5,,6.5
Houston,7.5,7.5,5.5,7.5
Illinois,7.5,7.5,4.5,7.5
Indiana,10.5,10.5,"7.5,10.5",10.5
Iowa,7.5,7.5,4.5,7.5
Iowa State,5.5,5.5,3.5,5.5
Kansas,5.5,5.5,"3.5,6.5",5.5
Kansas State,,7.5,,8.5
Kentucky,4.5,4.5,"2.5,4.5",4.5
LSU,8.5,8.5,5.5,8.5
Louisville,7.5,7.5,"5.5,7.5",7.5
Maryland,4.5,4.5,3.5,4.5
Miami-FL,10.5,10.5,"7.5,10.5",
Michigan,8.5,8.5,"5.5,8.5",8.5
Michigan St,4.5,,"2.5,4.5",
Minnesota,6.5,6.5,"3.5,5.5",6.5
Mississippi St,4.5,,2.5,
Missouri,6.5,6.5,"4.5,6.5",6.5
NC State,7.5,7.5,4.5,7.5
Nebraska,6.5,6.5,"3.5,6.5",6.5
North Carolina,,4.5,,4.5
Northwestern,5.5,5.5,2.5,5.5
OK State,5.5,,3.5,
Ohio State,9.5,9.5,"7.5,9.5",9.5
Oklahoma,7.5,7.5,5.5,7.5
Ole Miss,7.5,7.5,"5.5,7.5",7.5
Oregon,10.5,10.5,7.5,10.5
Penn State,8.5,9.5,5.5,8.5
Pittsburgh,7.5,7.5,"5.5,7.5",7.5
Rutgers,4.5,,2.5,4.5
S. Carolina,6.5,,3.5,
SMU,8.5,8.5,"6.5,8.5",8.5
Syracuse,4.5,4.5,"2.5,4.5",4.5
TCU,6.5,6.5,4.5,6.5
Tennessee,7.5,7.5,4.5,7.5
Texas,9.5,9.5,6.5,9.5
Texas A&M,8.5,8.5,"5.5,8.5",8.5
UCLA,6.5,5.5,"3.5,6.5",6.5
USC,8.5,8.5,5.5,8.5
Utah,8.5,8.5,"6.5,8.5",8.5
Vanderbilt,5.5,5.5,3.5,5.5
Virginia,7.5,7.5,5.5,7.5
Virginia Tech,6.5,7.5,4.5,6.5
Wake Forest,5.5,5.5,3.5,5.5
Washington,7.5,7.5,"5.5,7.5",7.5
West Virginia,5.5,5.5,"3.5,5.5",
Wisconsin,6.5,6.5,"4.5,6.5",6.5
