flag,reason,game_id,cfbd_game_id,week,date,away_team,home_team,neutral_site,away_power,home_power,home_hfa,hfa_used,stored_projected_margin_home,expected_margin_home,projection_diff_pts,stored_projected_spread,expected_projected_spread,market_spread,projected_total,market_total
OK,,g7,401864494,0,2026-08-29,San Jose State,USC,False,-14.4105,17.9595,2.4,2.4,34.77,34.769999999999996,7.105427357601002e-15,USC -34.8,USC -34.8,USC -35.5,55.2,58.5
OK,,g79,401856665,1,2026-09-05,Kent State,South Carolina,False,-20.008,11.5345,2.3,2.3,33.8425,33.842499999999994,7.105427357601002e-15,South Carolina -33.8,South Carolina -33.8,South Carolina -34.5,49.85,50.5
OK,,g156,401856676,2,2026-09-12,Charlotte,Ole Miss,False,-23.1705,18.542,2.4,2.4,44.1125,44.112500000000004,-7.105427357601002e-15,Ole Miss -44.1,Ole Miss -44.1,,53.7,
OK,,g2,401864570,0,2026-08-29,New Mexico State,Florida State,False,-17.4105,8.657,1.9,1.9,27.9675,27.967499999999998,3.552713678800501e-15,Florida State -28,Florida State -28,Florida State -29.5,50.35,52.5
OK,,g44,401858424,1,2026-09-05,UAB,Illinois,False,-16.8055,9.0895,1.5,1.5,27.395,27.394999999999996,3.552713678800501e-15,Illinois -27.4,Illinois -27.4,Illinois -27.5,56.2,55.5
OK,,g57,401858428,1,2026-09-05,Western Michigan,Michigan,False,-5.763,16.597,2.9,2.9,25.26,25.259999999999998,3.552713678800501e-15,Michigan -25.3,Michigan -25.3,Michigan -25.5,46.9,46.5
OK,,g85,401856667,1,2026-09-05,Texas State,Texas,False,-3.3455,24.792,3.0,3.0,31.1375,31.137500000000003,-3.552713678800501e-15,Texas -31.1,Texas -31.1,Texas -31.5,60.75,60.5
OK,,g90,401858436,1,2026-09-05,Fresno State,USC,False,-1.9905,17.9595,2.4,2.4,22.35,22.349999999999998,3.552713678800501e-15,USC -22.4,USC -22.3,USC -23.5,50.85,50.5
OK,,g95,401858437,1,2026-09-05,Washington State,Washington,False,-2.6455,13.6645,2.1,2.1,18.41,18.410000000000004,-3.552713678800501e-15,Washington -18.4,Washington -18.4,Washington -21.5,47.5,50.5
OK,,g97,401858438,1,2026-09-06,Wisconsin,Notre Dame,True,4.417,27.297,3.2,0.0,22.88,22.880000000000003,-3.552713678800501e-15,Notre Dame -22.9,Notre Dame -22.9,Notre Dame -20.5,46.95,47.5
