run_date,category,title,team,grade,score,reason,action,source,research_query,book,current_line,projected_line,opening_line,last_move_date,game_date,game_week,ev_pct
2026-07-14,Game line move,Sam Houston at Troy — Caesars Total Under Price +100 → -106,,LINE MOVE,206.0,Moved -206 point(s) · price nan → nan · moved between 2026-07-13 8:04 AM EDT and 2026-07-14 8:05 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-07-14,Game line move,Memphis at UNLV — Caesars Total Over Price -107 → -118,,LINE MOVE,11.0,Moved -11 point(s) · price nan → nan · moved between 2026-07-13 8:04 AM EDT and 2026-07-14 8:05 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-07-14,Game line move,Memphis at UNLV — Caesars Total Under Price -114 → -104,,LINE MOVE,10.0,Moved +10 point(s) · price nan → nan · moved between 2026-07-13 8:04 AM EDT and 2026-07-14 8:05 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-07-14,Game line move,Sam Houston at Troy — Caesars Total Over Price -120 → -115,,LINE MOVE,5.0,Moved +5 point(s) · price nan → nan · moved between 2026-07-13 8:04 AM EDT and 2026-07-14 8:05 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-07-14,Game line move,Hawai'i at Stanford — Caesars Total Under Price -113 → -109,,LINE MOVE,4.0,Moved +4 point(s) · price nan → nan · moved between 2026-07-13 8:04 AM EDT and 2026-07-14 8:05 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-07-14,Game line move,Hawai'i at Stanford — Caesars Total Over Price -108 → -110,,LINE MOVE,2.0,Moved -2 point(s) · price nan → nan · moved between 2026-07-13 8:04 AM EDT and 2026-07-14 8:05 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-07-14,Game line move,Marshall at Penn State — Caesars Total Over Price -103 → -104,,LINE MOVE,1.0,Moved -1 point(s) · price nan → nan · moved between 2026-07-13 8:04 AM EDT and 2026-07-14 8:05 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-07-14,Game line move,Marshall at Penn State — Caesars Total Under Price -118 → -117,,LINE MOVE,1.0,Moved +1 point(s) · price nan → nan · moved between 2026-07-13 8:04 AM EDT and 2026-07-14 8:05 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-07-14,Game line move,Memphis at UNLV — Caesars Total +59.5 → +58.5,,LINE MOVE,1.0,Moved -1 point(s) · price nan → nan · moved between 2026-07-13 8:04 AM EDT and 2026-07-14 8:05 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-07-14,Game line edge,ATS: Georgia -13.5 (+100),Georgia,ATS,100.0,Georgia at Arkansas · edge Georgia +5.6 · EV +26.0%,Confirm current sportsbook price before betting.,Market Lab,,fanduel,Georgia -13.5,Proj: Georgia -19.1,,,2026-09-19,3.0,25.96
2026-07-14,Game line edge,ATS: Ohio State +1.5 (-102),Ohio State,ATS,100.0,Ohio State at Indiana · edge Ohio State +5.0 · EV +21.9%,Confirm current sportsbook price before betting.,Market Lab,,FanDuel,Ohio State +1.5,Proj: Ohio State -3.5,Ohio State PK,,2026-10-17,7.0,21.93
2026-07-14,Game line edge,ATS: Ohio State -50.5 (-105),Ohio State,ATS,100.0,Ball State at Ohio State · edge Ohio State +5.3 · EV +21.4%,Confirm current sportsbook price before betting.,Market Lab,,FanDuel,Ohio State -50.5,Proj: Ohio State -55.8,Ohio State -49.5,,2026-09-05,1.0,21.37
2026-07-14,Game line edge,ATS: Sacramento State +7.5 (-108),Sacramento State,ATS,96.54,Sacramento State at Eastern Michigan · edge Sacramento State +3.6 · EV +12.6%,Confirm current sportsbook price before betting.,Market Lab,,DraftKings,Sacramento State +7.5,Proj: Sacramento State +3.9,Sacramento State +8.5,,2026-08-29,0.0,12.59
2026-07-14,Game line edge,ATS: Texas Tech -12.5 (-115),Texas Tech,ATS,96.98,Houston at Texas Tech · edge Texas Tech +4.4 · EV +12.4%,Confirm current sportsbook price before betting.,Market Lab,,fanduel,Texas Tech -12.5,Proj: Texas Tech -16.9,,,2026-09-18,3.0,12.43
2026-07-14,Game line edge,ATS: Ohio State -12.5 (-114),Ohio State,ATS,95.11,Michigan at Ohio State · edge Ohio State +4.2 · EV +12.0%,Confirm current sportsbook price before betting.,Market Lab,,FanDuel,Ohio State -12.5,Proj: Ohio State -16.7,Ohio State -12.5,,2026-11-28,13.0,12.03
2026-07-14,Game line edge,ATS: North Texas +39.5 (-105),North Texas,ATS,91.79,North Texas at Indiana · edge North Texas +3.1 · EV +11.7%,Confirm current sportsbook price before betting.,Market Lab,,FanDuel,North Texas +39.5,Proj: North Texas +36.4,North Texas +40.5,,2026-09-05,1.0,11.74
2026-07-14,Game line edge,ATS: Penn State -23.5 (-108),Penn State,ATS,90.8,Marshall at Penn State · edge Penn State +3.2 · EV +10.5%,Confirm current sportsbook price before betting.,Market Lab,,Caesars,Penn State -23.5,Proj: Penn State -26.7,Penn State -23.5,,2026-09-05,1.0,10.53
2026-07-14,Game line edge,ATS: Colorado +7.5 (+100),Colorado,ATS,82.5,Colorado at Georgia Tech · edge Colorado +2.1 · EV +9.8%,Confirm current sportsbook price before betting.,Market Lab,,BetMGM,Colorado +7.5,Proj: Colorado +5.4,,,2026-09-03,1.0,9.83
2026-07-14,Game line edge,ATS: Ohio +23.5 (-108),Ohio,ATS,88.74,Ohio at Nebraska · edge Ohio +3.0 · EV +9.8%,Confirm current sportsbook price before betting.,Market Lab,,Caesars,Ohio +23.5,Proj: Ohio +20.5,Ohio +23.5,,2026-09-05,1.0,9.79
2026-07-14,Game line edge,ATS: NC State +5.5 (-105),NC State,ATS,85.58,NC State at Virginia · edge NC State +2.6 · EV +9.5%,Confirm current sportsbook price before betting.,Market Lab,,DraftKings,NC State +5.5,Proj: NC State +2.9,NC State +3,,2026-08-29,0.0,9.49
2026-07-14,Game line edge,ATS: Ohio State +1.5 (-110),Ohio State,ATS,88.82,Ohio State at Texas · edge Ohio State +3.1 · EV +9.3%,Confirm current sportsbook price before betting.,Market Lab,,Caesars,Ohio State +1.5,Proj: Ohio State -1.6,Ohio State +1.5,,2026-09-12,2.0,9.27
2026-07-14,Game line edge,ATS: Miami-FL -21.5 (-105),Miami-FL,ATS,83.25,Miami-FL at Stanford · edge Miami-FL +2.5 · EV +9.2%,Confirm current sportsbook price before betting.,Market Lab,,FanDuel,Miami-FL -21.5,Proj: Miami-FL -24,,,2026-09-04,1.0,9.18
2026-07-14,Game line edge,ATS: Iowa -30.5 (-105),Iowa,ATS,82.68,Northern Illinois at Iowa · edge Iowa +2.4 · EV +8.4%,Confirm current sportsbook price before betting.,Market Lab,,DraftKings,Iowa -30.5,Proj: Iowa -32.9,Iowa -29.5,,2026-09-05,1.0,8.43
2026-07-14,Game line edge,ATS: South Florida -11.5 (-110),South Florida,ATS,85.54,Florida International at South Florida · edge South Florida +2.8 · EV +8.1%,Confirm current sportsbook price before betting.,Market Lab,,FanDuel,South Florida -11.5,Proj: South Florida -14.3,South Florida -12.5,,2026-09-05,1.0,8.09
2026-07-14,Game line edge,ATS: Fresno State +23.5 (-102),Fresno State,ATS,77.61,Fresno State at USC · edge Fresno State +1.9 · EV +8.0%,Confirm current sportsbook price before betting.,Market Lab,,Caesars,Fresno State +23.5,Proj: Fresno State +21.6,Fresno State +23.5,,2026-09-05,1.0,7.98
2026-07-14,Game line edge,ATS: LSU +2.5 (-110),LSU,ATS,80.63,LSU at Ole Miss · edge LSU +2.8 · EV +7.9%,Confirm current sportsbook price before betting.,Market Lab,,FanDuel,LSU +2.5,Proj: LSU -0.3,LSU +2.5,,2026-09-19,3.0,7.94
2026-07-14,Game line edge,ATS: Texas -30.5 (-112),Texas,ATS,85.25,Texas State at Texas · edge Texas +2.9 · EV +7.5%,Confirm current sportsbook price before betting.,Market Lab,,Caesars,Texas -30.5,Proj: Texas -33.4,Texas -30.5,,2026-09-05,1.0,7.46
2026-07-14,Arbitrage,Fresno State Over 7.5 / Under 7.5,Fresno State,ARB,8.07,DraftKings 190 vs BetMGM -135 on same total 7.5.,Line check now,market_arbitrage_opportunities.csv,,,,,,,,,
2026-07-14,Arbitrage,Indiana Over 10.5 / Under 10.5,Indiana,ARB,4.1,Caesars 125 vs FanDuel -106 on same total 10.5.,Line check now,market_arbitrage_opportunities.csv,,,,,,,,,
2026-07-14,Arbitrage,Kennesaw State Over 6.5 / Under 6.5,Kennesaw State,ARB,4.05,DraftKings 120 vs FanDuel -102 on same total 6.5.,Line check now,market_arbitrage_opportunities.csv,,,,,,,,,
2026-07-14,Arbitrage,Missouri Over 6.5 / Under 6.5,Missouri,ARB,2.03,FanDuel -106 vs DraftKings 115 on same total 6.5.,Line check now,market_arbitrage_opportunities.csv,,,,,,,,,
2026-07-14,Arbitrage,Oklahoma Over 7.5 / Under 7.5,Oklahoma,ARB,1.81,FanDuel -130 vs Caesars 140 on same total 7.5.,Line check now,market_arbitrage_opportunities.csv,,,,,,,,,
