run_date,category,title,team,grade,score,reason,action,source,research_query,book,current_line,projected_line,opening_line,last_move_date,game_date,game_week,ev_pct
2026-08-04,Game line move,North Carolina A&T at Georgia State Panthers — FanDuel Total +58.5 → +63.5,,LINE MOVE,5.0,Moved +5 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-08-04,Game line move,North Carolina A&T at Georgia State — FanDuel Total +58.5 → +63.5,,LINE MOVE,5.0,Moved +5 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-08-04,Game line move,UCLA at Californi — Caesars Spread -1 → +1,,LINE MOVE,2.0,Moved +2 point(s) · price -112 → -105 · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-08-04,Game line move,Arkansas Razorbacks at Utah Utes — DraftKings Total +53.5 → +54.5,,LINE MOVE,1.0,Moved +1 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-08-04,Game line move,Arkansas at Utah — DraftKings Total +53.5 → +54.5,,LINE MOVE,1.0,Moved +1 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-08-04,Game line move,Ball State at Ohio State — Caesars Spread -49.5 → -50.5,,LINE MOVE,1.0,Moved -1 point(s) · price -112 → -108 · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-08-04,Game line move,Florida International Panthers at South Florida Bulls — Bally Bet Total +54.5 → +55.5,,LINE MOVE,1.0,Moved +1 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-08-04,Game line move,Indiana State Sycamores at Purdue Boilermakers — FanDuel Spread -35.5 → -36.5,,LINE MOVE,1.0,Moved -1 point(s) · price -112 → -115 · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-08-04,Game line move,Indiana State at Purdue — FanDuel Spread -35.5 → -36.5,,LINE MOVE,1.0,Moved -1 point(s) · price -112 → -115 · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-08-04,Game line move,North Texas at Indian — Caesars Total +54.5 → +55.5,,LINE MOVE,1.0,Moved +1 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-08-04,Game line move,Tarleton State Texans at Bowling Green Falcons — FanDuel Spread -1.5 → -2.5,,LINE MOVE,1.0,Moved -1 point(s) · price -110 → -110 · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-08-04,Game line move,Tarleton State at Bowling Green — FanDuel Spread -1.5 → -2.5,,LINE MOVE,1.0,Moved -1 point(s) · price -110 → -110 · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-08-04,Game line move,Tennessee State at Georgi — FanDuel Spread -46.5 → -45.5,,LINE MOVE,1.0,Moved +1 point(s) · price -110 → -105 · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-08-04,Game line move,Fresno State at USC — Bally Bet Total +51 → +51.5,,LINE MOVE,0.5,Moved +0.5 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-08-04,Game line move,North Carolina Tar Heels at TCU Horned Frogs — DraftKings Spread -6.5 → -7,,LINE MOVE,0.5,Moved -0.5 point(s) · price -118 → -112 · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-08-04,Game line move,North Carolina at TCU — Caesars Spread -6.5 → -7,,LINE MOVE,0.5,Moved -0.5 point(s) · price -118 → -110 · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,,data/odds/game_line_movement_report.csv,,,,,,,,,
2026-08-04,Game line edge,ATS: North Texas +40.5 (-109),North Texas,ATS,100.0,North Texas at Indiana · edge North Texas +6.6 · EV +24.9%,Confirm current sportsbook price before betting.,Market Lab,,Caesars,North Texas +40.5,Proj: North Texas +33.9,North Texas +40.5,,2026-09-05,1.0,24.89
2026-08-04,Game line edge,ATS: Ohio +23.5 (-105),Ohio,ATS,100.0,Ohio at Nebraska · edge Ohio +5.9 · EV +24.3%,Confirm current sportsbook price before betting.,Market Lab,,DraftKings,Ohio +23.5,Proj: Ohio +17.6,Ohio +23.5,,2026-09-05,1.0,24.3
2026-08-04,Game line edge,ATS: James Madison -6.5 (-105),James Madison,ATS,100.0,Liberty at James Madison · edge James Madison +5.7 · EV +23.2%,Confirm current sportsbook price before betting.,Market Lab,,FanDuel,James Madison -6.5,Proj: James Madison -12.2,James Madison -6,,2026-09-05,1.0,23.21
2026-08-04,Game line edge,ATS: Ohio State -49.5 (-112),Ohio State,ATS,100.0,Ball State at Ohio State · edge Ohio State +6.4 · EV +22.2%,Confirm current sportsbook price before betting.,Market Lab,,FanDuel,Ohio State -49.5,Proj: Ohio State -55.9,Ohio State -49.5,2026-08-04T12:00:47+00:00,2026-09-05,1.0,22.21
2026-08-04,Game line edge,ATS: Ohio State -11.5 (-110),Ohio State,ATS,100.0,Michigan at Ohio State · edge Ohio State +5.4 · EV +19.3%,Confirm current sportsbook price before betting.,Market Lab,,FanDuel,Ohio State -11.5,Proj: Ohio State -16.9,Ohio State -12.5,,2026-11-28,13.0,19.32
2026-08-04,Game line edge,ATS: Ohio State +1.5 (-105),Ohio State,ATS,100.0,Ohio State at Texas · edge Ohio State +4.2 · EV +16.8%,Confirm current sportsbook price before betting.,Market Lab,,DraftKings,Ohio State +1.5,Proj: Ohio State -2.7,Ohio State +1.5,,2026-09-12,2.0,16.77
2026-08-04,Game line edge,ATS: Georgia -13.5 (+100),Georgia,ATS,96.55,Georgia at Arkansas · edge Georgia +3.6 · EV +16.7%,Confirm current sportsbook price before betting.,Market Lab,,fanduel,Georgia -13.5,Proj: Georgia -17.1,,,2026-09-19,3.0,16.67
2026-08-04,Game line edge,ATS: Oregon -17.5 (-115),Oregon,ATS,100.0,Oregon at Oklahoma State · edge Oregon +5.2 · EV +15.8%,Confirm current sportsbook price before betting.,Market Lab,,fanduel,Oregon -17.5,Proj: Oregon -22.7,Oregon -17.5,,2026-09-12,2.0,15.82
2026-08-04,Game line edge,ATS: South Florida -12.5 (-110),South Florida,ATS,100.0,Florida International at South Florida · edge South Florida +4.1 · EV +13.7%,Confirm current sportsbook price before betting.,Market Lab,,Caesars,South Florida -12.5,Proj: South Florida -16.6,South Florida -12.5,,2026-09-05,1.0,13.67
2026-08-04,Game line edge,ATS: Texas Tech -13.5 (-115),Texas Tech,ATS,97.84,Houston at Texas Tech · edge Texas Tech +4.4 · EV +12.7%,Confirm current sportsbook price before betting.,Market Lab,,DraftKings,Texas Tech -13.5,Proj: Texas Tech -17.9,,,2026-09-18,3.0,12.73
2026-08-04,Game line edge,ATS: Texas Tech -15.5 (-105),Texas Tech,ATS,87.48,Texas Tech at Oklahoma State · edge Texas Tech +3.1 · EV +11.8%,Confirm current sportsbook price before betting.,Market Lab,,DraftKings,Texas Tech -15.5,Proj: Texas Tech -18.6,Texas Tech -17,,2026-11-14,11.0,11.81
