team,book,unique_win_totals
Arizona,DraftKings,2
Baylor,DraftKings,2
Central Florida,DraftKings,2
Colorado,DraftKings,2
Florida,DraftKings,2
GA Tech,DraftKings,2
Indiana,DraftKings,2
Kansas,DraftKings,2
Kentucky,DraftKings,2
Louisville,DraftKings,2
Miami-FL,DraftKings,2
Michigan,DraftKings,2
Michigan St,DraftKings,2
Minnesota,DraftKings,2
Missouri,DraftKings,2
Nebraska,DraftKings,2
Ohio State,DraftKings,2
Ole Miss,DraftKings,2
Pittsburgh,DraftKings,2
SMU,DraftKings,2
Syracuse,DraftKings,2
Texas A&M,DraftKings,2
UCLA,DraftKings,2
Utah,DraftKings,2
Washington,DraftKings,2
West Virginia,DraftKings,2
Wisconsin,DraftKings,2
