cfbdepth_school,site_team,mapped,in_138_team_set
A&M,Texas A&M,True,True
AZSt,Arizona State,True,True
AirF,Air Force,True,True
Akr,Akron,True,True
App,Appalachian State,True,True
Ark,Arkansas,True,True
ArkSt,Arkansas State,True,True
Army,Army,True,True
Aub,Auburn,True,True
BC,Boston College,True,True
BG,Bowling Green,True,True
BYU,BYU,True,True
Ball,Ball State,True,True
Bama,Alabama,True,True
Bay,Baylor,True,True
Boise,Boise State,True,True
Buff,Buffalo,True,True
CMich,Central Michigan,True,True
Cal,California,True,True
Char,Charlotte,True,True
Cincy,Cincinnati,True,True
Clem,Clemson,True,True
CoCar,Coastal Carolina,True,True
Col,Colorado,True,True
ColSt,Colorado State,True,True
Conn,Connecticut,True,True
Cuse,Syracuse,True,True
Del,Delaware,True,True
Duke,Duke,True,True
ECU,East Carolina,True,True
EMich,Eastern Michigan,True,True
FAU,Florida Atlantic,True,True
FIU,FIU,True,True
FSU,Florida State,True,True
Fla,Florida,True,True
Fres,Fresno State,True,True
GASo,Georgia Southern,True,True
GASt,Georgia State,True,True
GATech,Georgia Tech,True,True
GaSt,Georgia State,True,True
Haw,Hawaii,True,True
Hou,Houston,True,True
IASt,Iowa State,True,True
Idaho,Idaho,True,False
Illini,Illinois,True,True
Ind,Indiana,True,True
Iowa,Iowa,True,True
JMU,James Madison,True,True
JackSt,Jacksonville State,True,True
KSt,Kansas State,True,True
KU,Kansas,True,True
KennSt,Kennesaw State,True,True
Kent,Kent State,True,True
LATech,Louisiana Tech,True,True
LSU,LSU,True,True
Lib,Liberty,True,True
Lou,Louisville,True,True
MOSt,Missouri State,True,True
MTSU,Middle Tennessee,True,True
Marsh,Marshall,True,True
Mary,Maryland,True,True
Mass,UMass,True,True
Mem,Memphis,True,True
MiaFL,Miami FL,True,True
MiaOH,Miami OH,True,True
Mich,Michigan,True,True
MichSt,Michigan State,True,True
Minn,Minnesota,True,True
Miss,Ole Miss,True,True
MissSt,Mississippi State,True,True
Mizz,Missouri,True,True
NCSt,NC State,True,True
ND,Notre Dame,True,True
NDSt,North Dakota State,True,True
NIU,Northern Illinois,True,True
NMSt,New Mexico State,True,True
NW,Northwestern,True,True
Navy,Navy,True,True
Neb,Nebraska,True,True
Nev,Nevada,True,True
NoTex,North Texas,True,True
ODU,Old Dominion,True,True
OKSt,Oklahoma State,True,True
OSU,Ohio State,True,True
OU,Oklahoma,True,True
Ohio,Ohio,True,True
Ore,Oregon,True,True
OreSt,Oregon State,True,True
PSU,Penn State,True,True
Pitt,Pittsburgh,True,True
Purd,Purdue,True,True
Rice,Rice,True,True
Rut,Rutgers,True,True
SDSU,San Diego State,True,True
SHSt,Sam Houston,True,True
SJSt,San Jose State,True,True
SMU,SMU,True,True
SMiss,Southern Miss,True,True
SacSt,Sacramento State,True,True
SoAla,South Alabama,True,True
SoCar,South Carolina,True,True
Stan,Stanford,True,True
TCU,TCU,True,True
TT,Texas Tech,True,True
Temp,Temple,True,True
Tenn,Tennessee,True,True
Tex,Texas,True,True
TexSt,Texas State,True,True
Tol,Toledo,True,True
Troy,Troy,True,True
Tul,Tulane,True,True
Tuls,Tulsa,True,True
UAB,UAB,True,True
UCF,UCF,True,True
UCLA,UCLA,True,True
UGA,Georgia,True,True
UK,Kentucky,True,True
ULLaf,Louisiana,True,True
ULM,Louisiana-Monroe,True,True
UNC,North Carolina,True,True
UNLV,UNLV,True,True
UNM,New Mexico,True,True
USC,USC,True,True
USF,South Florida,True,True
UTEP,UTEP,True,True
UTRGV,UTRGV,True,False
UTSA,UTSA,True,True
UTSt,Utah State,True,True
UVA,Virginia,True,True
UtSt,Utah State,True,True
Utah,Utah,True,True
VT,Virginia Tech,True,True
Vand,Vanderbilt,True,True
WKU,Western Kentucky,True,True
WMich,Western Michigan,True,True
WVU,West Virginia,True,True
Wake,Wake Forest,True,True
Wash,Washington,True,True
WashSt,Washington State,True,True
Wisc,Wisconsin,True,True
Wyo,Wyoming,True,True
Zona,Arizona,True,True
