market,model_id,checkpoint,threshold,existing_roi,recomputed_roi,difference
spread,spread_4src_25_25_25_25_v1,CLOSE,0.5,-0.0427898618082667,-0.042789861808266674,2.7755575615628914e-17
spread,spread_4src_25_25_25_25_v1,CLOSE,1.0,-0.0469833693787754,-0.04698336937877541,-1.3877787807814457e-17
spread,spread_4src_25_25_25_25_v1,CLOSE,1.5,-0.0435404271020709,-0.0435404271020709,0.0
spread,spread_4src_25_25_25_25_v1,CLOSE,2.0,-0.0339002932551319,-0.03390029325513192,-2.0816681711721685e-17
spread,spread_4src_25_25_25_25_v1,CLOSE,2.5,-0.0395650860767139,-0.03956508607671393,-3.469446951953614e-17
spread,spread_4src_25_25_25_25_v1,CLOSE,3.0,-0.03688923496204,-0.036889234962040045,-4.163336342344337e-17
spread,spread_4src_25_25_25_25_v1,CLOSE,3.5,-0.0731544520090775,-0.07315445200907753,-2.7755575615628914e-17
spread,spread_4src_25_25_25_25_v1,CLOSE,4.0,-0.0723140495867768,-0.07231404958677681,-1.3877787807814457e-17
spread,spread_4src_25_25_25_25_v1,CLOSE,4.5,-0.0326035221323179,-0.0326035221323179,0.0
spread,spread_4src_25_25_25_25_v1,CLOSE,5.0,-0.0276094276094275,-0.02760942760942757,-6.938893903907228e-17
spread,spread_4src_25_25_25_25_v1,CLOSE,6.0,0.0247326203208556,0.02473262032085566,5.898059818321144e-17
spread,spread_4src_25_25_25_25_v1,CLOSE,7.0,0.0354391371340523,0.03543913713405243,1.3183898417423734e-16
spread,spread_4src_25_25_25_25_v1,CLOSE,8.0,0.1313131313131313,0.13131313131313135,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,CLOSE,9.0,0.3636363636363636,0.3636363636363637,1.1102230246251565e-16
spread,spread_4src_25_25_25_25_v1,CLOSE,10.0,0.4318181818181817,0.4318181818181819,1.6653345369377348e-16
spread,spread_4src_25_25_25_25_v1,FRI_2PM_ET,0.5,0.0012890691295075,0.00128906912950761,1.0993810029003015e-16
spread,spread_4src_25_25_25_25_v1,FRI_2PM_ET,1.0,0.0022084150396695,0.0022084150396695745,7.45931094670027e-17
spread,spread_4src_25_25_25_25_v1,FRI_2PM_ET,1.5,0.0159343304427428,0.01593433044274288,7.979727989493313e-17
spread,spread_4src_25_25_25_25_v1,FRI_2PM_ET,2.0,0.0292021215467669,0.029202121546766976,7.632783294297951e-17
spread,spread_4src_25_25_25_25_v1,FRI_2PM_ET,2.5,0.0580116952731721,0.05801169527317216,6.245004513516506e-17
spread,spread_4src_25_25_25_25_v1,FRI_2PM_ET,3.0,0.0660243487856392,0.06602434878563924,4.163336342344337e-17
spread,spread_4src_25_25_25_25_v1,FRI_2PM_ET,3.5,0.075089063624683,0.0750890636246831,9.71445146547012e-17
spread,spread_4src_25_25_25_25_v1,FRI_2PM_ET,4.0,0.0851828676626747,0.08518286766267474,4.163336342344337e-17
spread,spread_4src_25_25_25_25_v1,FRI_2PM_ET,4.5,0.1040912841535269,0.10409128415352693,2.7755575615628914e-17
spread,spread_4src_25_25_25_25_v1,FRI_2PM_ET,5.0,0.1337883189621653,0.1337883189621654,8.326672684688674e-17
spread,spread_4src_25_25_25_25_v1,FRI_2PM_ET,6.0,0.2071109437655524,0.20711094376555242,2.7755575615628914e-17
spread,spread_4src_25_25_25_25_v1,FRI_2PM_ET,7.0,0.2875731102275836,0.2875731102275836,0.0
spread,spread_4src_25_25_25_25_v1,FRI_2PM_ET,8.0,0.3433964131191617,0.34339641311916175,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,FRI_2PM_ET,9.0,0.4526125063619513,0.45261250636195133,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,FRI_2PM_ET,10.0,0.5383524775174401,0.5383524775174402,1.1102230246251565e-16
spread,spread_4src_25_25_25_25_v1,MON_3PM_ET,0.5,-0.0089140293361524,-0.008914029336152434,-3.469446951953614e-17
spread,spread_4src_25_25_25_25_v1,MON_3PM_ET,1.0,0.006237514504712,0.006237514504712085,8.500145032286355e-17
spread,spread_4src_25_25_25_25_v1,MON_3PM_ET,1.5,0.0078718645613916,0.00787186456139171,1.0928757898653885e-16
spread,spread_4src_25_25_25_25_v1,MON_3PM_ET,2.0,0.0227689919941411,0.022768991994141136,3.469446951953614e-17
spread,spread_4src_25_25_25_25_v1,MON_3PM_ET,2.5,0.0279970149373013,0.027997014937301393,9.367506770274758e-17
spread,spread_4src_25_25_25_25_v1,MON_3PM_ET,3.0,0.0435593238585502,0.043559323858550235,3.469446951953614e-17
spread,spread_4src_25_25_25_25_v1,MON_3PM_ET,3.5,0.0838874944001284,0.08388749440012845,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,MON_3PM_ET,4.0,0.1002748828558968,0.10027488285589682,2.7755575615628914e-17
spread,spread_4src_25_25_25_25_v1,MON_3PM_ET,4.5,0.1122806178334701,0.11228061783347021,1.1102230246251565e-16
spread,spread_4src_25_25_25_25_v1,MON_3PM_ET,5.0,0.1599595679386364,0.15995956793863644,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,MON_3PM_ET,6.0,0.2446393955459938,0.24463939554599384,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,MON_3PM_ET,7.0,0.3013747296142041,0.30137472961420414,5.551115123125783e-17
