game_id,week,away_team,home_team,model_id,availability_status,present_components,required_components,provider_range,provider_stddev
g1,0,Sacramento State,Eastern Michigan,standard_spread_five_source_v1,AVAILABLE,5,5,14.700000000000001,5.714772436414244
g2,0,New Mexico State,Florida State,standard_spread_five_source_v1,AVAILABLE,5,5,8.210000000000008,2.608159504324844
g3,0,Jacksonville State,North Dakota State,standard_spread_five_source_v1,AVAILABLE,5,5,18.99,6.217943068250143
g4,0,Hawaii,Stanford,standard_spread_five_source_v1,AVAILABLE,5,5,5.2,2.0888044427375188
g5,0,North Carolina,TCU,standard_spread_five_source_v1,AVAILABLE,5,5,8.200000000000005,2.893026097358959
g6,0,Memphis,UNLV,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.119999999999999,2.141658236040475
g7,0,San Jose State,USC,standard_spread_five_source_v1,AVAILABLE,5,5,12.399999999999999,4.05531749681822
g8,0,NC State,Virginia,standard_spread_five_source_v1,AVAILABLE,5,5,5.7,1.9426950352538601
g12,1,Colorado,Georgia Tech,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,13.19,4.72266013492396
g16,1,Massachusetts,Rutgers,standard_spread_five_source_v1,AVAILABLE,5,5,17.940000000000005,6.561946052810859
g18,1,Akron,Wake Forest,standard_spread_five_source_v1,AVAILABLE,5,5,2.8000000000000043,1.2823416081528356
g19,1,San Jose State,Eastern Michigan,standard_spread_five_source_v1,AVAILABLE,5,5,3.639999999999999,1.53667693416671
g22,1,Miami-FL,Stanford,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.400000000000002,1.960376239398959
g24,1,East Carolina,Alabama,standard_spread_five_source_v1,AVAILABLE,5,5,10.669999999999987,3.385685159609495
g30,1,Baylor,Auburn,standard_spread_five_source_v1,AVAILABLE,5,5,4.980000000000004,1.7651470193726089
g33,1,UCLA,California,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,4.6,1.7557619428612745
g35,1,Boston College,Cincinnati,standard_spread_five_source_v1,AVAILABLE,5,5,4.99,1.7531046745702323
g36,1,Wyoming,Colorado State,standard_spread_five_source_v1,AVAILABLE,5,5,8.3,2.993603848207041
g38,1,Tulane,Duke,standard_spread_five_source_v1,AVAILABLE,5,5,10.0,3.5452413175974358
g39,1,Florida Atlantic,Florida,standard_spread_five_source_v1,AVAILABLE,5,5,4.599999999999998,1.745283931055345
g42,1,UNLV,Hawaii,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.8400000000000003,1.4337625326392096
g43,1,Oregon State,Houston,standard_spread_five_source_v1,AVAILABLE,5,5,6.399999999999999,2.699306577623224
g44,1,UAB,Illinois,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.600000000000005,2.363725872431067
g45,1,North Texas,Indiana,standard_spread_five_source_v1,AVAILABLE,5,5,14.390000000000008,5.91698031093564
g46,1,Northern Illinois,Iowa,standard_spread_five_source_v1,AVAILABLE,5,5,12.100000000000001,4.655879723532384
g48,1,Liberty,James Madison,standard_spread_five_source_v1,AVAILABLE,5,5,17.529999999999994,6.346727030525258
g52,1,Clemson,LSU,standard_spread_five_source_v1,AVAILABLE,5,5,11.769999999999996,3.9779472093028065
g56,1,Arkansas State,Memphis,standard_spread_five_source_v1,AVAILABLE,5,5,4.000000000000002,1.4905032707109371
g57,1,Western Michigan,Michigan,standard_spread_five_source_v1,AVAILABLE,5,5,13.859999999999992,4.517089328317515
g58,1,Toledo,Michigan State,standard_spread_five_source_v1,AVAILABLE,5,5,12.740000000000004,4.386772845726116
g60,1,UL-Monroe,Mississippi State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.510000000000002,2.2088500967698113
g62,1,Ohio,Nebraska,standard_spread_five_source_v1,AVAILABLE,5,5,12.670000000000002,4.484433520524082
g63,1,Western Kentucky,Nevada,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,2.8000000000000025,1.1257441982972871
g64,1,Central Michigan,New Mexico,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,4.679999999999994,1.7165954677791715
g68,1,Ball State,Ohio State,standard_spread_five_source_v1,AVAILABLE,5,5,22.0,7.843431901916405
g69,1,UTEP,Oklahoma,standard_spread_five_source_v1,AVAILABLE,5,5,14.100000000000001,4.579526613090047
g71,1,Boise State,Oregon,standard_spread_five_source_v1,AVAILABLE,5,5,1.5,0.5885711511788535
g72,1,Marshall,Penn State,standard_spread_five_source_v1,AVAILABLE,5,5,5.530000000000001,2.0627709518994104
g73,1,Miami-OH,Pittsburgh,standard_spread_five_source_v1,AVAILABLE,5,5,11.200000000000003,4.007870257381095
g79,1,Kent State,South Carolina,standard_spread_five_source_v1,AVAILABLE,5,5,13.899999999999999,4.984593865100748
g80,1,Florida International,South Florida,standard_spread_five_source_v1,AVAILABLE,5,5,9.909999999999998,3.6067181758490627
g85,1,Texas State,Texas,standard_spread_five_source_v1,AVAILABLE,5,5,13.399999999999999,4.931531202375181
g86,1,Missouri State,Texas A&M,standard_spread_five_source_v1,AVAILABLE,5,5,14.700000000000003,5.523549583374808
g88,1,Sam Houston,Troy,standard_spread_five_source_v1,AVAILABLE,5,5,9.3,3.2924058073086924
g89,1,Oklahoma State,Tulsa,standard_spread_five_source_v1,AVAILABLE,5,5,12.399999999999999,4.277101822496163
g90,1,Fresno State,USC,standard_spread_five_source_v1,AVAILABLE,5,5,3.1799999999999997,1.0387993068923373
g95,1,Washington State,Washington,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,6.239999999999995,2.6424988174074917
g96,1,Coastal Carolina,West Virginia,standard_spread_five_source_v1,AVAILABLE,5,5,7.279999999999994,2.51696324963238
g97,1,Wisconsin,Notre Dame,standard_spread_five_source_v1,AVAILABLE,5,5,4.890000000000001,1.7475743188774546
g98,1,Louisville,Ole Miss,standard_spread_five_source_v1,AVAILABLE,5,5,4.300000000000002,1.618473354738965
g99,1,SMU,Florida State,standard_spread_five_source_v1,AVAILABLE,5,5,5.300000000000001,2.243090724870486
g101,2,Rutgers,Boston College,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,4.5,1.708530069972431
g102,2,Missouri,Kansas,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,1.7000000000000028,0.6127958469180428
g104,2,North Dakota State,Air Force,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,17.78,6.811980255402976
g107,2,South Florida,Army,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,10.869999999999987,4.254106104694611
g108,2,Southern Miss,Auburn,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,17.4,6.806967019164996
g109,2,Arizona,BYU,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.350000000000003,1.3858097813192127
g112,2,Memphis,Boise State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.120000000000003,2.0429635336931504
g115,2,Georgia Southern,Clemson,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,1.5999999999999943,0.6197378478034068
g119,2,Maryland,Connecticut,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,12.219999999999999,4.8175797865733365
g120,2,Appalachian State,East Carolina,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,10.89,4.143400626297197
g122,2,Navy,Florida Atlantic,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,7.1700000000000035,2.694609201721097
g123,2,Buffalo,Florida International,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.4,1.6753730927766504
