scope,model_id,source_a,source_b,overlap_n,mean_absolute_difference,median_absolute_difference,p90_absolute_difference,correlation
2026_CURRENT,standard_spread_five_source_v1,SP+,FPI,765,3.656862745098039,2.5,8.700000000000005,0.9189642969552868
2026_CURRENT,standard_spread_five_source_v1,SP+,TeamRankings,765,2.9505882352941173,2.499999999999993,6.099999999999999,0.9598827979880873
2026_CURRENT,standard_spread_five_source_v1,SP+,Sagarin Rating,765,5.396784313725491,4.229999999999997,11.706,0.8631725532656745
2026_CURRENT,standard_spread_five_source_v1,SP+,DRatings,41,4.363414634146341,2.6000000000000014,10.199999999999996,0.937028751689435
2026_CURRENT,standard_spread_five_source_v1,FPI,TeamRankings,765,3.315163398692811,2.6999999999999993,7.1,0.9512703015623454
2026_CURRENT,standard_spread_five_source_v1,FPI,Sagarin Rating,765,5.044470588235294,3.7099999999999973,11.299999999999999,0.8720239305695204
2026_CURRENT,standard_spread_five_source_v1,FPI,DRatings,41,3.5439024390243907,2.700000000000003,7.7,0.934433242702217
2026_CURRENT,standard_spread_five_source_v1,TeamRankings,Sagarin Rating,765,4.800653594771242,3.929999999999996,10.266,0.8941063188487581
2026_CURRENT,standard_spread_five_source_v1,TeamRankings,DRatings,41,5.404878048780488,4.3,13.299999999999997,0.9393204578371973
2026_CURRENT,standard_spread_five_source_v1,Sagarin Rating,DRatings,41,6.138536585365853,4.779999999999995,12.370000000000005,0.8526538452416312
2026_CURRENT,standard_total_sp_massey_sagarin_v1,SP+,Massey Dual,0,,,,
2026_CURRENT,standard_total_sp_massey_sagarin_v1,SP+,Sagarin,0,,,,
2026_CURRENT,standard_total_sp_massey_sagarin_v1,Massey Dual,Sagarin,0,,,,
2026_CURRENT,shadow_spread_sp_sagarin_v1,Shadow SP+,Shadow Sagarin,0,,,,
2026_CURRENT,shadow_total_enhanced_spplus_od_v1,updated home SP+ offense,updated away SP+ offense,66,8.024242424242424,6.4,16.700000000000003,0.2270282117305459
2026_CURRENT,shadow_total_enhanced_spplus_od_v1,updated home SP+ offense,updated home SP+ defense,66,11.646969696969698,10.899999999999999,23.3,-0.7314993699122659
2026_CURRENT,shadow_total_enhanced_spplus_od_v1,updated home SP+ offense,updated away SP+ defense,66,9.074242424242424,7.299999999999999,19.099999999999998,-0.2696504404872072
2026_CURRENT,shadow_total_enhanced_spplus_od_v1,updated away SP+ offense,updated home SP+ defense,66,8.737878787878788,8.750000000000002,17.3,-0.17597957166607228
2026_CURRENT,shadow_total_enhanced_spplus_od_v1,updated away SP+ offense,updated away SP+ defense,66,11.81969696969697,11.05,23.199999999999996,-0.7008262614585374
2026_CURRENT,shadow_total_enhanced_spplus_od_v1,updated home SP+ defense,updated away SP+ defense,66,7.736363636363635,6.0,16.85,0.2725369143146275
