local_date,utc_date,provider_away,provider_home,provider_away_norm,provider_home_norm,same_date_canonical_games,compatible_matches,candidate_1_score,candidate_1_game_id,candidate_1_away,candidate_1_home,candidate_1_away_score,candidate_1_home_score,candidate_2_score,candidate_2_game_id,candidate_2_away,candidate_2_home,candidate_2_away_score,candidate_2_home_score,candidate_3_score,candidate_3_game_id,candidate_3_away,candidate_3_home,candidate_3_away_score,candidate_3_home_score
2026-09-03,2026-09-03,UMass Minutemen,Rutgers Scarlet Knights,umass minutemen,rutgers scarlet knights,10,0,0.4476,g16,Massachusetts,Rutgers,0.4286,0.4667,0.2364,g9,UAlbany,Buffalo,0.2727,0.2,0.2238,g14,Eastern Illinois,Minnesota,0.3226,0.125
2026-09-03,2026-09-03,Albany,Buffalo Bulls,albany,buffalo bulls,10,0,0.8115,g9,UAlbany,Buffalo,0.9231,0.7,0.3068,g18,Akron,Wake Forest,0.3636,0.25,0.25,g10,Bethune-Cookman,Central Florida,0.2857,0.2143
2026-09-03,2026-09-03,Bethune-Cookman Wildcats,UCF Knights,bethune cookman wildcats,ucf knights,10,0,0.5,g10,Bethune-Cookman,Central Florida,0.7692,0.2308,0.3,g14,Eastern Illinois,Minnesota,0.4,0.2,0.2748,g16,Massachusetts,Rutgers,0.2162,0.3333
2026-09-03,2026-09-04,Arkansas Pine Bluff Golden Lions,Missouri Tigers,arkansas pine bluff golden lions,missouri tigers,14,0,0.4312,g15,UAPB,Missouri,0.1667,0.6957,0.4061,g16,Massachusetts,Rutgers,0.2667,0.5455,0.375,g14,Eastern Illinois,Minnesota,0.3333,0.4167
2026-09-03,2026-09-04,UAB Blazers,Illinois Fighting Illini,uab blazers,illinois fighting illini,14,0,0.2938,g15,UAPB,Missouri,0.4,0.1875,0.2867,g9,UAlbany,Buffalo,0.4444,0.129,0.2694,g14,Eastern Illinois,Minnesota,0.2963,0.2424
2026-09-04,2026-09-04,Indiana State Sycamores,Purdue Boilermakers,indiana state sycamores,purdue boilermakers,4,0,0.3591,g19,San Jose State,Eastern Michigan,0.4324,0.2857,0.213,g22,Miami-FL,Stanford,0.2778,0.1481,0.1788,g20,North Carolina A&T,Georgia State,0.2326,0.125
2026-09-04,2026-09-05,Miami Hurricanes,Stanford Cardinal,miami hurricanes,stanford cardinal,78,0,0.6303,g22,Miami-FL,Stanford,0.6207,0.64,0.3685,g80,Florida International,South Florida,0.2703,0.4667,0.3672,g79,Kent State,South Carolina,0.1538,0.5806
2026-09-05,2026-09-05,Lafayette Leopards,UConn Huskies,lafayette leopards,uconn huskies,74,0,0.5417,g37,Lafayette,Connecticut,0.6667,0.4167,0.3519,g58,Toledo,Michigan State,0.3333,0.3704,0.3406,g49,Eastern Kentucky,Jacksonville State,0.2941,0.3871
2026-09-05,2026-09-05,Youngstown St Penguins,Kentucky Wildcats,youngstown st penguins,kentucky wildcats,74,0,0.6884,g51,Youngstown State,Kentucky,0.7368,0.64,0.4074,g35,Boston College,Cincinnati,0.4444,0.3704,0.3603,g93,Austin Peay,Vanderbilt,0.4242,0.2963
2026-09-05,2026-09-05,Citadel Bulldogs,Charlotte 49ers,citadel bulldogs,charlotte 49ers,74,0,0.6343,g34,The Citadel,Charlotte,0.5185,0.75,0.3887,g58,Toledo,Michigan State,0.3636,0.4138,0.3214,g27,Morgan State,Arizona State,0.2143,0.4286
2026-09-05,2026-09-05,UT Rio Grande Valley Vaqueros,UTSA Roadrunners,ut rio grande valley vaqueros,utsa roadrunners,74,0,0.3514,g59,Murray State,Middle Tennessee,0.3902,0.3125,0.3289,g91,UTRGV,UTSA,0.2941,0.3636,0.3247,g86,Missouri State,Texas A&M,0.2791,0.3704
2026-09-05,2026-09-05,Charleston Southern Buccaneers,Georgia Southern Eagles,charleston southern buccaneers,georgia southern eagles,74,0,0.7126,g41,Charleston So.,Georgia Southern,0.6047,0.8205,0.4444,g78,Southeastern La.,South Alabama,0.4444,0.4444,0.3992,g81,Alcorn State,Southern Miss,0.3333,0.4651
2026-09-05,2026-09-05,Houston Baptist Huskies,Rice Owls,houston baptist huskies,rice owls,74,0,0.43,g47,Southeast Missouri,Iowa State,0.439,0.4211,0.3846,g75,HCU,Rice,0.1538,0.6154,0.3765,g71,Boise State,Oregon,0.3529,0.4
2026-09-05,2026-09-05,Southeastern Louisiana Lions,South Alabama Jaguars,southeastern louisiana lions,south alabama jaguars,74,0,0.7312,g78,Southeastern La.,South Alabama,0.6977,0.7647,0.4695,g24,East Carolina,Alabama,0.439,0.5,0.4116,g47,Southeast Missouri,Iowa State,0.5652,0.2581
2026-09-05,2026-09-06,Mississippi Valley State Delta Devils,Sacramento State Hornets,mississippi valley state delta devils,sacramento state hornets,76,0,0.4488,g76,MVSU,Sacramento State,0.0976,0.8,0.4133,g77,Portland State,San Diego State,0.3137,0.5128,0.4065,g27,Morgan State,Arizona State,0.3265,0.4865
2026-09-06,2026-09-06,Washington State Cougars,Washington Huskies,washington state cougars,washington huskies,2,0,0.2262,g98,Louisville,Ole Miss,0.1765,0.2759,0.1926,g97,Wisconsin,Notre Dame,0.2424,0.1429,,,,,,
2026-09-06,2026-09-06,Louisville Cardinals,Ole Miss Rebels,louisville cardinals,ole miss rebels,2,0,0.5256,g98,Louisville,Ole Miss,0.6667,0.3846,0.3724,g97,Wisconsin,Notre Dame,0.3448,0.4,,,,,,
