Date,Account,Bet Description,Source,Sportsbook,Bet Amount,Sport,Bet,Bet Type,Bet Line,Bet Price,Result,Profit,Running Profit,Closing Line,Closing Price,CLV,EV,Notes,CLV %,missing_date,missing_sport,missing_bet_type,pulled_at,stake,bet_price,bet_line,closing_line,closing_price,profit_num,status,is_open,realized_profit,side,team_guess,line_clv,bet_implied_prob,closing_implied_prob,price_clv_pp,book_norm,current_market_match,current_market_source,current_market_book,current_market_line,current_market_price,current_market_note,line_clv_current,price_clv_current_pp,clv_pct_current,current_no_vig_prob,line_adjusted_fair_prob,ev_current_dollars,ev_current_pct,clv_grade,bet_id,closing_clv_frozen,closing_frozen_at,closing_kickoff_utc,closing_game,closing_market_source,closing_market_book,closing_market_line,closing_market_price,closing_line_clv,closing_price_clv_pp,closing_clv_pct,closing_ev_dollars,closing_ev_pct
3/14/2025,James,Win Total,Powers,Fan Duel,$57.5,NCAAF,Iowa state under 5.5,Total,5.5,-115.0,,-$57.5,-$58,,,,,,,False,False,False,2026-06-30T21:19:24,57.5,-115.0,5.5,,,-57.5,Open,True,0.0,Under,Iowa State,,0.5348837209302325,,,FanDuel,True,market_win_totals_import.csv,FanDuel,4.5,136.0,,1.0,2.062131716266491,0.0206213171626649,0.4055050380928974,0.5555050380928974,2.216791594986475,0.0385528973041126,Positive,715ef7e35c31536a,,,,,,,,,,,,,
3/14/2025,James,Win Total,Powers,Fan Duel,$55.0,NCAAF,Auburn under 6.5,Total,6.5,-110.0,,-$55.0,-$113,,,,,,,False,False,False,2026-06-30T21:19:24,55.0,-110.0,6.5,,,-55.0,Open,True,0.0,Under,Auburn,,0.5238095238095238,,,FanDuel,True,market_win_totals_import.csv,FanDuel,6.5,-105.0,,0.0,-3.464375999587271,-0.0346437599958727,0.4891657638136511,0.4891657638136511,-3.637594799566635,-0.0661380872648479,Neutral/Negative,01bfca8500c56643,,,,,,,,,,,,,
3/14/2025,James,Win Total,Powers,Fan Duel,$65.0,NCAAF,Georgia tech under 6.5,Total,6.5,-130.0,,-$65.0,-$178,,,,,,,False,False,False,2026-06-30T21:19:24,65.0,-130.0,6.5,,,-65.0,Open,True,0.0,Under,Georgia Tech,,0.5652173913043478,,,FanDuel,True,market_win_totals_import.csv,FanDuel,6.5,-132.0,,0.0,-2.320854733719679,-0.0232085473371967,0.542008843967151,0.542008843967151,-2.668982943777639,-0.0410612760581175,Neutral/Negative,ecdcdaa3afae89dc,,,,,,,,,,,,,
3/14/2025,James,Win Total,Powers,Fan Duel,$70.0,NCAAF,Colorado under 4.5,Total,4.5,-140.0,,-$70.0,-$248,,,,,,,False,False,False,2026-06-30T21:19:24,70.0,-140.0,4.5,,,-70.0,Open,True,0.0,Under,Colorado,,0.5833333333333334,,,FanDuel,True,market_win_totals_import.csv,FanDuel,4.5,-168.0,,0.0,1.3343767557588926,0.0133437675575889,0.5966771008909223,0.5966771008909223,1.6012521069106782,0.0228750300987239,Positive,332cd61f3426bd11,,,,,,,,,,,,,
3/14/2025,James,Win Total,Powers,Fan Duel,$79.0,NCAAF,Ohio state over 9.5,Total,9.5,-158.0,,-$79.0,-$327,,,,,,,False,False,False,2026-06-30T21:19:24,79.0,-158.0,9.5,,,-79.0,Open,True,0.0,Over,Ohio State,,0.6124031007751938,,,FanDuel,True,market_win_totals_import.csv,FanDuel,9.5,-164.0,,0.0,-1.9961455721470125,-0.0199614557214701,0.5924416450537237,0.5924416450537237,-2.5750277880696473,-0.0325952884565778,Neutral/Negative,c794cf400e7eedfa,,,,,,,,,,,,,
3/14/2025,James,Win Total,Powers,Fan Duel,$69.0,NCAAF,Georgia over 9.5,Total,9.5,-138.0,,-$69.0,-$396,,,,,,,False,False,False,2026-06-30T21:19:24,69.0,-138.0,9.5,,,-69.0,Open,True,0.0,Over,Georgia,,0.5798319327731093,,,FanDuel,True,market_win_totals_import.csv,FanDuel,9.5,-176.0,,0.0,2.6960864126822304,0.0269608641268223,0.6067927968999316,0.6067927968999316,3.2083428310918585,0.046497722189737,Positive,6854e19affdb8ba0,,,,,,,,,,,,,
3/14/2025,James,Win Total,Powers,Fan Duel,$70.0,NCAAF,Ole miss over 7.5,Total,7.5,-140.0,,-$70.0,-$466,,,,,,,False,False,False,2026-06-30T21:19:24,70.0,-140.0,7.5,,,-70.0,Open,True,0.0,Over,Ole Miss,,0.5833333333333334,,,FanDuel,True,market_win_totals_import.csv,FanDuel,7.5,-172.0,,0.0,1.947040498442354,0.0194704049844235,0.6028037383177569,0.6028037383177569,2.336448598130829,0.0333778371161547,Positive,98cd6aac4aa2e77c,,,,,,,,,,,,,
3/14/2025,James,Conf Title,Powers,Fan Duel,$70.0,NCAAF,Oregon win B10,Future,0.0,300.0,,-$70.0,-$536,,,,,,,False,False,False,2026-06-30T21:19:24,70.0,300.0,0.0,,,-70.0,Open,True,0.0,Yes,Oregon,,0.25,,,FanDuel,True,market_conference_futures_import.csv,FanDuel,,290.0,,,0.6410256410256387,0.0064102564102563,,0.2564102564102564,1.7948717948717885,0.0256410256410255,Positive,e030d3c51ba7192c,,,,,,,,,,,,,
3/14/2025,James,Conf Title,Powers,Fan Duel,$50.0,NCAAF,Georgia win SEC,Future,0.0,390.0,,-$50.0,-$586,,,,,,,False,False,False,2026-06-30T21:19:24,50.0,390.0,0.0,,,-50.0,Open,True,0.0,Yes,Georgia,,0.2040816326530612,,,FanDuel,True,market_conference_futures_import.csv,FanDuel,,370.0,,,0.8684324793747283,0.0086843247937472,,0.2127659574468085,2.1276595744680833,0.0425531914893616,Positive,b2f5a19e557f12ad,,,,,,,,,,,,,
3/14/2025,James,Conf Title,Powers,Fan Duel,$25.0,NCAAF,SMU win ACC,Future,0.0,700.0,,-$25.0,-$611,,,,,,,False,False,False,2026-06-30T21:19:24,25.0,700.0,0.0,,,-25.0,Open,True,0.0,Yes,SMU,,0.125,,,FanDuel,True,market_conference_futures_import.csv,FanDuel,,700.0,,,0.0,0.0,,0.125,0.0,0.0,Neutral/Negative,4a7fdd1ff320a0a6,,,,,,,,,,,,,
3/14/2025,James,Conf Title,Powers,Fan Duel,$115.0,NCAAF,Texas tech win big 12,Future,0.0,-115.0,,-$115.0,-$726,,,,,,,False,False,False,2026-06-30T21:19:24,115.0,-115.0,0.0,,,-115.0,Open,True,0.0,Yes,Texas Tech,,0.5348837209302325,,,FanDuel,True,market_conference_futures_import.csv,FanDuel,,-120.0,,,1.0570824524312905,0.0105708245243129,,0.5454545454545454,2.272727272727259,0.0197628458498022,Positive,5fb2e5bc4bafa93c,,,,,,,,,,,,,
