Date,Account,Bet Description,Source,Sportsbook,Bet Amount,Sport,Bet,Bet Type,Bet Line,Bet Price,Result,Profit,Running Profit,Closing Line,Closing Price,CLV,EV,Notes,CLV %,missing_date,missing_sport,missing_bet_type,pulled_at
3/14/2025,James,Win Total,Powers,Fan Duel,$57.5,NCAAF,Iowa state under 5.5,Total,5.5,-115.0,,-$57.5,-$58,,,,,,,False,False,False,2026-07-21T13:20:08
3/14/2025,James,Win Total,Powers,Fan Duel,$55.0,NCAAF,Auburn under 6.5,Total,6.5,-110.0,,-$55.0,-$113,,,,,,,False,False,False,2026-07-21T13:20:08
3/14/2025,James,Win Total,Powers,Fan Duel,$65.0,NCAAF,Georgia tech under 6.5,Total,6.5,-130.0,,-$65.0,-$178,,,,,,,False,False,False,2026-07-21T13:20:08
3/14/2025,James,Win Total,Powers,Fan Duel,$70.0,NCAAF,Colorado under 4.5,Total,4.5,-140.0,,-$70.0,-$248,,,,,,,False,False,False,2026-07-21T13:20:08
3/14/2025,James,Win Total,Powers,Fan Duel,$79.0,NCAAF,Ohio state over 9.5,Total,9.5,-158.0,,-$79.0,-$327,,,,,,,False,False,False,2026-07-21T13:20:08
3/14/2025,James,Win Total,Powers,Fan Duel,$69.0,NCAAF,Georgia over 9.5,Total,9.5,-138.0,,-$69.0,-$396,,,,,,,False,False,False,2026-07-21T13:20:08
3/14/2025,James,Win Total,Powers,Fan Duel,$70.0,NCAAF,Ole miss over 7.5,Total,7.5,-140.0,,-$70.0,-$466,,,,,,,False,False,False,2026-07-21T13:20:08
3/14/2025,James,Conf Title,Powers,Fan Duel,$70.0,NCAAF,Oregon win B10,Total,0.0,300.0,,-$70.0,-$536,,,,,,,False,False,False,2026-07-21T13:20:08
3/14/2025,James,Conf Title,Powers,Fan Duel,$50.0,NCAAF,Georgia win SEC,Total,0.0,390.0,,-$50.0,-$586,,,,,,,False,False,False,2026-07-21T13:20:08
3/14/2025,James,Conf Title,Powers,Fan Duel,$25.0,NCAAF,SMU win ACC,Total,0.0,700.0,,-$25.0,-$611,,,,,,,False,False,False,2026-07-21T13:20:08
3/14/2025,James,Conf Title,Powers,Fan Duel,$115.0,NCAAF,Texas tech win big 12,Total,0.0,-115.0,,-$115.0,-$726,,,,,,,False,False,False,2026-07-21T13:20:08
3/14/2025,James,Conf Title,Model,Draft Kings,$100.0,NCAAF,Boise win Pac12,Total,0.0,160.0,,-$100.0,-$826,,,,,,,False,False,False,2026-07-21T13:20:08
5/11/2026,James,Conf Title,Model,Fan Duel,$50.0,NCAAF,Miami OH win Mac,Total,0.0,420.0,,-$50.0,-$876,,,,,,,False,False,False,2026-07-21T13:20:08
5/11/2026,James,Conf Title,Model,Draft Kings,$50.0,NCAAF,Unlv win MW,Total,0.0,240.0,,-$50.0,-$926,,,,,,,False,False,False,2026-07-21T13:20:08
5/11/2026,James,Win Total,Powers,Draft Kings,$100.0,NCAAF,north dakota state under 9.5,Total,9.5,-135.0,,-$100.0,"-$1,026",,,,,,,False,False,False,2026-07-21T13:20:08
6/21/2026,James,Conf Title,Model,Fan Duel,$50.0,NCAAF,Navy win American,Total,0.0,490.0,,-$50.0,"-$1,076",,,,,,,False,False,False,2026-07-21T13:20:08
6/21/2026,James,Conf Title,Model,Fan Duel,$50.0,NCAAF,James Madison ,Total,0.0,300.0,,-$50.0,"-$1,126",,,,,,,False,False,False,2026-07-21T13:20:08
6/21/2026,James,Week 1,Powers,Draft Kings,$110.0,NCAAF,Miami oh,Side,16.5,-110.0,,-$110.0,"-$1,236",,,,,,,False,False,False,2026-07-21T13:20:08
6/21/2026,,Conf Title,Model,Fan Duel,$50.0,NCAAF,Western Kentucky ,Side,0.0,320.0,,-$50.0,"-$1,286",,,,,,,False,False,False,2026-07-21T13:20:08
6/21/2026,,Win Total,Model,Fan Duel,$90.0,NCAAF,southern miss under 4.5,Total,4.5,-180.0,,-$90.0,"-$1,376",,,,,,,False,False,False,2026-07-21T13:20:08
6/21/2026,,Win Total,Model,Fan Duel,$50.0,NCAAF,texas state under 6.5,Total,6.5,116.0,,-$50.0,"-$1,426",,,,,,,False,False,False,2026-07-21T13:20:08
6/25/2026,James,Win Total,Powers,Draft Kings,$136.0,NCAAF,Iowa state under 5.5,Total,5.5,-136.0,,-$136.0,"-$1,562",,,,,,,False,False,False,2026-07-21T13:20:08
6/25/2026,,Win Total,Powers,Draft Kings,$152.0,NCAAF,Missouri st under 4.5,Total,4.5,-152.0,,-$152.0,"-$1,714",,,,,,,False,False,False,2026-07-21T13:20:08
6/25/2026,,Win Total,Powers,Draft Kings,$110.0,NCAAF,Cal under 6.5,Total,6.5,-110.0,,-$110.0,"-$1,824",,,,,,,False,False,False,2026-07-21T13:20:08
6/25/2026,,Win Total,Powers,MGM,$85.0,NCAAF,UConn under 5.5 ,Total,5.5,115.0,,-$85.0,"-$1,909",,,,,,,False,False,False,2026-07-21T13:20:08
7/1/2026,,Win Total,Powers,MGM,$165.0,NCAAF,Air Force over 6.5 wins,Total,6.5,-165.0,,-$165.0,"-$2,074",,,,,,,False,False,False,2026-07-21T13:20:08
7/1/2026,,Win Total,Powers,MGM,$90.0,NCAAF,san jose state under 5.5 wins,Total,5.5,-175.0,,-$90.0,"-$2,164",,,,,,,False,False,False,2026-07-21T13:20:08
7/1/2026,,Win Total,Powers,Draft Kings,$90.0,NCAAF,san jose state under 5.5 wins,Total,5.5,-170.0,,-$90.0,"-$2,254",,,,,,,False,False,False,2026-07-21T13:20:08
7/5/2026,,Win Total,Powers,MGM,$125.0,NCAAF,Florida Atlantic over 5.5,Total,5.5,-125.0,,-$125.0,"-$2,379",,,,,,,False,False,False,2026-07-21T13:20:08
7/15/2026,,Week 1,Powers,Draft Kings,$112.0,NCAAF,West Virginia,Side,-17.5,-112.0,,-$112.0,"-$2,491",,,,,,,False,False,False,2026-07-21T13:20:08
7/15/2026,,Week 1,Powers,Caesers,$117.0,NCAAF,West Virginia,Side,-17.5,-117.0,,-$117.0,"-$2,608",,,,,,,False,False,False,2026-07-21T13:20:08
7/17/2026,,Heisman,Model ,Fan Duel,$10.0,NCAAF,Sayin ,Side,0.0,1300.0,,-$10.0,"-$2,618",,,,,,,False,False,False,2026-07-21T13:20:08
7/17/2026,,Heisman,Model,Fan Duel,$10.0,NCAAF,Mateer,Side,0.0,2500.0,,-$10.0,"-$2,628",,,,,,,False,False,False,2026-07-21T13:20:08
7/20/2026,,Week 2,Powers,Draft Kings,$110.0,NCAAF,Iowa,Side,-11.5,-110.0,,-$110.0,"-$2,738",,,,,,,False,False,False,2026-07-21T13:20:08
7/21/2026,,Win Total,Powers,Caesers,$140.0,NCAAF,Florida under 7.5 wins,Total,7.5,-140.0,,-$140.0,"-$2,878",,,,,,,False,False,False,2026-07-21T13:20:08
