as_of,team,conference,overall,offense,defense,qb,rb,wr,te,ol,dl,lb,db
2026-08-05,Air Force,MWC,F,F,F,B+,F,F,F,D,F,F,B+
2026-08-05,Akron,MAC,C+,B+,C,A,C+,B,C,C,C,C,A
2026-08-05,Alabama,SEC,B+,B,A,A,B,D,A+,D,B,A,A
2026-08-05,Appalachian State,SBC,A,A+,B+,A,A,B+,A,A,B,B+,A
2026-08-05,Arizona,Big12,C,C,C+,C+,C+,C+,B,D,D,C+,C+
2026-08-05,Arizona State,Big12,B+,A+,C,A,A+,C+,C+,B+,C+,C,A
2026-08-05,Arkansas,SEC,C,C+,D+,C,B+,B,D,C+,B+,D+,C
2026-08-05,Arkansas State,SBC,A+,A,A,A,A,A,A+,A+,A,A,A
2026-08-05,Army,Amer,F,F,F,D,C+,F,C,F,D+,F,D
2026-08-05,Auburn,SEC,A,B,A,D,A+,C,B+,B,A+,A,D
2026-08-05,Ball State,MAC,B,C+,B+,D+,C,B+,C+,B+,C+,B+,D+
2026-08-05,Baylor,Big12,A+,B,A,C+,B+,B+,C+,C,B,A,C+
2026-08-05,Boise State,Pac12,A,A+,A,B,A+,A+,B+,A+,B+,A,B
2026-08-05,Boston College,ACC,C+,D,B,C,D,C+,F,D+,B,B,C
2026-08-05,Bowling Green,MAC,F,F,D,C,D,F,A,F,D+,D,C
2026-08-05,Buffalo,MAC,D,D+,F,C+,C,D,D,B+,F,F,C+
2026-08-05,BYU,Big12,D,C,C,D,B,C,D+,B,A,C,D
2026-08-05,California,ACC,B+,B,A+,A,D+,B,D+,B,D,A+,A
2026-08-05,Central Michigan,MAC,C,B,D+,C+,B,C,D+,A+,C+,D+,C+
2026-08-05,Charlotte,Amer,C,C,C+,B+,D+,C,B,D,B,C+,B+
2026-08-05,Cincinnati,Big12,D,A,F,B+,D+,C,C,A+,F,F,B+
2026-08-05,Clemson,ACC,B,C,C+,F,B,B,C,A,B,C+,F
2026-08-05,Coastal Carolina,SBC,C,B,C,C+,B,B,F,F,A,C,C+
2026-08-05,Colorado,Big12,B+,D,A+,D,C,A,D,C,B+,A+,D
2026-08-05,Colorado State,Pac12,A+,A,A+,A+,B+,C+,A,B,B+,A+,A+
2026-08-05,Delaware,CUSA,C,C,C,C+,D+,D+,C,C,F,C,C+
2026-08-05,Duke,ACC,C+,C,C,B+,C+,D,C+,C,C+,C,B+
2026-08-05,East Carolina,Amer,D+,D+,D+,C,C,C,B+,C,D,D+,C
2026-08-05,Eastern Michigan,MAC,A,A+,B+,A+,B,C+,B+,C,A,B+,A+
2026-08-05,Florida,SEC,B,B+,C+,C+,C+,C+,B+,A,C+,C+,C+
2026-08-05,Florida Atlantic,Amer,B+,C+,A,C,F,A+,C+,B,A,A,C
2026-08-05,FIU,CUSA,B+,C+,B+,C,C+,B+,A,B+,A+,B+,C
2026-08-05,Florida State,ACC,B+,B,B+,D+,B+,C,A+,B,A+,B+,D+
2026-08-05,Fresno State,Pac12,B+,B+,B,A,B,C,B,B+,A+,B,A
2026-08-05,Georgia,SEC,A+,A+,B+,A,B,B,A,A+,D+,B+,A
2026-08-05,Georgia Southern,SBC,A,B+,A,A+,C+,A,B,C,C,A,A+
2026-08-05,Georgia State,SBC,D,C+,D,D+,B,C+,B,C+,F,D,D+
2026-08-05,Georgia Tech,ACC,D,C+,D,C,B,C+,A,C,B+,D,C
2026-08-05,Hawaii,MWC,C+,D+,B,D+,D,B+,C+,C,B,B,D+
2026-08-05,Houston,Big12,B,D,A,C,C+,F,B+,C,B+,A,C
2026-08-05,Illinois,Big10,C,B+,D+,D+,B+,B,B,A,D+,D+,D+
2026-08-05,Indiana,Big10,D+,F,B,D,D+,F,C,D+,A,B,D
2026-08-05,Iowa,Big10,F,C,F,D+,C,C,B,C+,D,F,D+
2026-08-05,Iowa State,Big12,C+,B,C,B,D,D,A+,B,A,C,B
2026-08-05,Jacksonville State,CUSA,A,A,C+,B+,A+,C+,C,A,C+,C+,B+
2026-08-05,James Madison,SBC,C+,A,D+,C+,B+,A+,C,B,D+,D+,C+
2026-08-05,Kansas,Big12,D+,C+,D+,B,A,C,C,D+,D,D+,B
2026-08-05,Kansas State,Big12,C,B+,D,C,A,B+,D,A,C,D,C
2026-08-05,Kennesaw State,CUSA,C,F,A+,F,F,B,C+,D+,A,A+,F
2026-08-05,Kent State,MAC,C+,C,C+,D,D+,C+,B+,B,B,C+,D
2026-08-05,Kentucky,SEC,D+,C,D,B+,D+,C+,C+,D,C,D,B+
2026-08-05,Liberty,CUSA,A+,A+,B+,A+,A,C,D,A+,B,B+,A+
2026-08-05,Louisiana,SBC,F,F,F,D,D,D+,A,A,C,F,D
2026-08-05,Louisiana Tech,SBC,B,B+,B,A,C+,C+,B+,B,D+,B,A
2026-08-05,Louisville,ACC,D+,D,C+,D,C+,C,C,B,D+,C+,D
2026-08-05,LSU,SEC,C,C,D,D,C+,A+,C,B,D,D,D
2026-08-05,Marshall,SBC,C+,C,B,B+,F,C+,D,C+,B+,B,B+
2026-08-05,Maryland,Big10,B,C+,C+,B,D,C,A,B,A,C+,B
2026-08-05,UMass,MAC,B+,B+,B,B,A,B,A+,B,B+,B,B
2026-08-05,Memphis,Amer,B,B,B+,C+,C+,C+,D+,C+,A,B+,C+
2026-08-05,Miami FL,ACC,A,B+,A,B,A,C,B+,D,B+,A,B
2026-08-05,Miami OH,MAC,A+,B,A+,C,B+,A,B,C+,A+,A+,C
2026-08-05,Michigan,Big10,A,D+,A+,B+,B,C+,D+,F,B+,A+,B+
2026-08-05,Michigan State,Big10,D,D,D,C+,C+,D,D,D+,B,D,C+
2026-08-05,Middle Tennessee,CUSA,C+,C+,C+,B,B+,C,B,D,C,C+,B
2026-08-05,Minnesota,Big10,C+,B,C,A+,A,D,C,D,C+,C,A+
2026-08-05,Mississippi State,SEC,C+,D+,B+,B,D,D+,C,A,C,B+,B
2026-08-05,Missouri,SEC,D,D,C,C,C,D,D+,C,F,C,C
2026-08-05,Missouri State,CUSA,D,C,D,C,B+,F,C+,F,D,D,C
2026-08-05,Navy,Amer,D,D,C,F,D,D,B,A+,F,C,F
2026-08-05,NC State,ACC,C,B,D+,D,B+,A,A,C+,C,D+,D
2026-08-05,Nebraska,Big10,D,C,D,F,C+,A+,F,B+,D+,D,F
2026-08-05,Nevada,MWC,D,C,D+,C+,C+,B,D+,D+,C+,D+,C+
2026-08-05,New Mexico,MWC,C+,C+,C,C,D+,C,A+,C,C,C,C
2026-08-05,New Mexico State,CUSA,F,D+,F,D+,B,D,B+,C+,C,F,D+
2026-08-05,North Carolina,ACC,D,C+,F,B,A,D+,B,D,D+,F,B
2026-08-05,North Dakota State,MWC,,,,,,,,,,,
2026-08-05,North Texas,Amer,C+,B,B,B,B,B,A,D+,C,B,B
2026-08-05,Northern Illinois,MWC,D+,D,C,B+,F,B+,C,D,D,C,B+
2026-08-05,Northwestern,Big10,B+,A+,C+,A,B,B,B+,C,C+,C+,A
2026-08-05,Notre Dame,Inde,A,A,B+,B,C,A,D+,A+,B,B+,B
2026-08-05,Ohio,MAC,B,C,A,B+,C+,C,F,C+,B+,A,B+
