as_of,team,conference,overall,offense,defense,passing,rushing,pass_block,run_block,oline,run_defense,pass_rush,pass_coverage,tackling,special_teams
2026-08-05,Texas,SEC,14.11,15.32,13.78,16.2,14.62,13.52,13.17,13.32,14.49,13.5,13.51,13.16,11.56
2026-08-05,Ohio State,Big10,14.0,15.13,13.22,16.38,14.1,13.31,12.23,12.72,13.97,12.52,13.43,12.58,12.94
2026-08-05,Miami FL,ACC,13.99,15.26,12.89,15.75,14.83,12.44,13.06,12.77,13.23,13.19,12.94,11.88,13.4
2026-08-05,Oregon,Big10,13.89,15.71,13.17,16.18,15.36,11.62,14.09,13.03,13.51,13.38,12.91,12.56,10.71
2026-08-05,Georgia,SEC,13.77,15.0,12.97,15.16,14.88,12.11,13.18,12.73,13.95,11.78,13.23,12.47,12.47
2026-08-05,Ole Miss,SEC,13.76,15.06,13.04,15.55,14.56,11.95,11.85,11.9,13.47,12.31,13.49,12.77,12.04
2026-08-05,Missouri,SEC,13.61,14.82,13.14,14.59,15.04,12.72,14.28,13.53,14.25,12.5,12.51,12.63,11.44
2026-08-05,Texas Tech,Big12,13.6,14.8,13.01,15.56,14.13,13.71,13.17,13.42,13.97,12.53,13.45,11.52,11.82
2026-08-05,Notre Dame,Inde,13.56,14.23,13.71,15.58,13.17,13.03,13.2,13.12,14.23,13.12,13.96,13.28,11.22
2026-08-05,LSU,SEC,13.52,14.85,13.17,15.75,13.75,12.12,12.49,12.29,13.44,13.25,12.58,13.17,10.68
2026-08-05,Oklahoma,SEC,13.51,13.85,13.34,14.45,13.28,11.95,13.17,12.57,14.03,13.28,12.8,12.75,13.02
2026-08-05,Michigan,Big10,13.49,14.36,12.61,14.7,14.08,13.7,12.9,13.27,12.76,12.73,12.68,12.13,13.44
2026-08-05,Texas A&M,SEC,13.39,13.94,13.04,14.42,13.47,11.37,13.27,12.32,13.33,12.8,12.91,12.97,12.8
2026-08-05,SMU,ACC,13.36,14.08,12.68,14.76,13.28,12.93,13.09,13.0,12.94,12.67,13.0,11.92,13.23
2026-08-05,Auburn,SEC,13.36,14.09,12.77,14.59,13.72,11.93,12.02,11.98,12.93,13.38,12.41,12.07,12.89
2026-08-05,Florida,SEC,13.33,14.01,12.92,14.35,13.73,12.57,11.55,12.01,13.41,12.15,12.67,13.26,12.52
2026-08-05,Indiana,Big10,13.29,13.99,13.15,15.37,13.07,13.85,10.8,12.02,13.78,12.7,12.95,12.8,11.69
2026-08-05,Nebraska,Big10,13.18,13.85,12.65,14.89,12.96,11.67,12.66,12.21,12.92,12.01,12.5,13.12,12.76
2026-08-05,Alabama,SEC,13.16,13.5,12.91,14.03,13.0,11.96,12.57,12.27,13.27,12.05,13.45,12.81,12.89
