as_of,team,conference,injury_number,injury_new,ofs,o,d,q,p,s,gtd,opt,ret,injury_impact,impact_pp
2026-08-05,Syracuse,ACC,2,0,0,1,0,0,1,0,0,0,0,3.9,2.0
2026-08-05,Miami FL,ACC,1,0,1,0,0,0,0,0,0,0,0,3.9,3.9
2026-08-05,Tennessee,SEC,3,0,1,0,0,0,1,1,0,0,0,3.3,1.1
2026-08-05,Boston College,ACC,2,0,1,0,0,0,1,0,0,0,0,3.1,1.6
2026-08-05,Notre Dame,Inde,11,0,0,0,1,5,5,0,0,0,0,3.1,0.3
2026-08-05,Houston,Big12,2,0,0,1,0,1,0,0,0,0,0,2.9,1.5
2026-08-05,Baylor,Big12,4,0,0,0,0,3,0,0,0,0,1,2.9,0.7
2026-08-05,USC,Big10,4,0,0,0,0,2,2,0,0,0,0,2.8,0.7
2026-08-05,Missouri,SEC,5,0,0,0,1,3,1,0,0,0,0,2.7,0.5
2026-08-05,Arizona,Big12,7,0,0,0,0,3,4,0,0,0,0,2.6,0.4
2026-08-05,Florida State,ACC,5,0,1,1,0,2,1,0,0,0,0,2.3,0.5
2026-08-05,Georgia,SEC,7,0,1,0,1,2,3,0,0,0,0,2.2,0.3
2026-08-05,South Alabama,SBC,3,0,0,0,0,3,0,0,0,0,0,1.8,0.6
2026-08-05,Arizona State,Big12,2,0,1,0,0,0,1,0,0,0,0,1.6,0.8
2026-08-05,New Mexico,MWC,5,0,0,0,0,4,1,0,0,0,0,1.3,0.3
2026-08-05,Kentucky,SEC,2,0,0,1,0,0,1,0,0,0,0,1.3,0.6
2026-08-05,Texas A&M,SEC,3,0,0,1,0,2,0,0,0,0,0,1.3,0.4
2026-08-05,Texas Tech,Big12,8,0,0,2,0,4,2,0,0,0,0,1.3,0.2
2026-08-05,Colorado,Big12,6,0,0,0,0,6,0,0,0,0,0,1.2,0.2
2026-08-05,Auburn,SEC,3,0,0,0,0,1,2,0,0,0,0,1.0,0.3
2026-08-05,Temple,Amer,3,0,1,0,0,2,0,0,0,0,0,0.9,0.3
2026-08-05,Hawaii,MWC,1,0,0,0,0,1,0,0,0,0,0,0.9,0.9
2026-08-05,Virginia,ACC,5,0,0,0,1,2,2,0,0,0,0,0.3,0.1
2026-08-05,Air Force,MWC,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0
2026-08-05,Akron,MAC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Appalachian State,SBC,2,0,0,0,0,2,0,0,0,0,0,0.0,0.0
2026-08-05,Arkansas,SEC,4,0,0,0,0,2,2,0,0,0,0,0.0,0.0
2026-08-05,Arkansas State,SBC,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
2026-08-05,Army,Amer,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Ball State,MAC,2,0,0,0,0,2,0,0,0,0,0,0.0,0.0
2026-08-05,Alabama,SEC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Bowling Green,MAC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Boise State,Pac12,2,0,0,0,0,2,0,0,0,0,0,0.0,0.0
2026-08-05,Buffalo,MAC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,BYU,Big12,4,0,0,0,0,3,1,0,0,0,0,0.0,0.0
2026-08-05,California,ACC,3,0,0,0,0,3,0,0,0,0,0,0.0,0.0
2026-08-05,Charlotte,Amer,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
2026-08-05,Cincinnati,Big12,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0
2026-08-05,Clemson,ACC,3,0,1,0,0,2,0,0,0,0,0,0.0,0.0
2026-08-05,Central Michigan,MAC,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0
2026-08-05,Coastal Carolina,SBC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Colorado State,Pac12,3,0,0,0,0,1,2,0,0,0,0,0.0,0.0
2026-08-05,Connecticut,Inde,2,0,0,0,0,2,0,0,0,0,0,0.0,0.0
2026-08-05,Delaware,CUSA,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Duke,ACC,5,0,0,0,0,4,1,0,0,0,0,0.0,0.0
2026-08-05,East Carolina,Amer,3,0,0,0,0,0,3,0,0,0,0,0.0,0.0
2026-08-05,Eastern Michigan,MAC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Florida Atlantic,Amer,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
2026-08-05,FIU,CUSA,2,0,0,0,1,1,0,0,0,0,0,0.0,0.0
2026-08-05,Florida,SEC,2,0,0,0,0,2,0,0,0,0,0,0.0,0.0
2026-08-05,Fresno State,Pac12,2,0,2,0,0,0,0,0,0,0,0,0.0,0.0
2026-08-05,Georgia Southern,SBC,3,0,0,0,0,3,0,0,0,0,0,0.0,0.0
2026-08-05,Georgia State,SBC,2,0,0,0,0,2,0,0,0,0,0,0.0,0.0
2026-08-05,Georgia Tech,ACC,6,0,0,0,0,6,0,0,0,0,0,0.0,0.0
2026-08-05,Iowa State,Big12,3,0,2,0,0,1,0,0,0,0,0,0.0,0.0
2026-08-05,Illinois,Big10,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Indiana,Big10,2,0,0,0,0,2,0,0,0,0,0,0.0,0.0
2026-08-05,Iowa,Big10,3,0,0,0,0,0,3,0,0,0,0,0.0,0.0
2026-08-05,Jacksonville State,CUSA,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,James Madison,SBC,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
2026-08-05,Kennesaw State,CUSA,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Kent State,MAC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Kansas State,Big12,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
2026-08-05,Kansas,Big12,3,0,1,0,0,2,0,0,0,0,0,0.0,0.0
2026-08-05,Louisiana Tech,SBC,3,0,0,0,0,1,2,0,0,0,0,0.0,0.0
2026-08-05,Liberty,CUSA,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
2026-08-05,Louisville,ACC,4,0,2,0,0,1,1,0,0,0,0,0.0,0.0
2026-08-05,LSU,SEC,5,0,1,0,0,1,3,0,0,0,0,0.0,0.0
2026-08-05,Marshall,SBC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Maryland,Big10,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,UMass,MAC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Memphis,Amer,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Miami OH,MAC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Michigan,Big10,3,0,0,0,0,1,2,0,0,0,0,0.0,0.0
2026-08-05,Michigan State,Big10,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Minnesota,Big10,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0
2026-08-05,Ole Miss,SEC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Mississippi State,SEC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Missouri State,CUSA,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Middle Tennessee,CUSA,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Navy,Amer,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0
2026-08-05,NC State,ACC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,North Dakota State,MWC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Nebraska,Big10,2,0,0,0,0,1,1,0,0,0,0,0.0,0.0
2026-08-05,Nevada,MWC,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
2026-08-05,Northern Illinois,MWC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,New Mexico State,CUSA,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,North Texas,Amer,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0
2026-08-05,Northwestern,Big10,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Old Dominion,SBC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Ohio,MAC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Oklahoma State,Big12,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Oregon,Big10,3,0,0,0,1,2,0,0,0,0,0,0.0,0.0
2026-08-05,Oregon State,Pac12,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
2026-08-05,Ohio State,Big10,5,0,0,0,0,1,4,0,0,0,0,0.0,0.0
2026-08-05,Oklahoma,SEC,4,0,0,0,0,3,1,0,0,0,0,0.0,0.0
2026-08-05,Pittsburgh,ACC,4,0,0,0,0,4,0,0,0,0,0,0.0,0.0
2026-08-05,Penn State,Big10,10,0,0,0,0,2,8,0,0,0,0,0.0,0.0
2026-08-05,Purdue,Big10,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
2026-08-05,Rice,Amer,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
2026-08-05,Rutgers,Big10,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
2026-08-05,Sacramento State,MAC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,San Diego State,Pac12,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
2026-08-05,Sam Houston,CUSA,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0
2026-08-05,San Jose State,MWC,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0
2026-08-05,Southern Miss,SBC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,SMU,ACC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,South Carolina,SEC,4,0,0,1,1,2,0,0,0,0,0,0.0,0.0
2026-08-05,Stanford,ACC,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
2026-08-05,TCU,Big12,2,0,0,0,0,1,1,0,0,0,0,0.0,0.0
2026-08-05,Texas,SEC,2,0,0,0,0,1,1,0,0,0,0,0.0,0.0
2026-08-05,Texas State,Pac12,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Toledo,MAC,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0
2026-08-05,Troy,SBC,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,Tulane,Amer,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0
2026-08-05,Tulsa,Amer,0,0,0,0,0,0,0,0,0,0,0,0.0,
2026-08-05,UAB,Amer,2,0,0,0,0,1,1,0,0,0,0,0.0,0.0
2026-08-05,UCF,Big12,3,0,0,0,0,2,1,0,0,0,0,0.0,0.0
2026-08-05,UCLA,Big10,2,0,0,0,0,1,1,0,0,0,0,0.0,0.0
