type,quality,team,win_total,side_1,book_1,odds_1,side_2,book_2,odds_2,implied_sum_pct,edge_pct,middle_score,notes,total_1,total_2,middle_gap_calc
Middle,Strong middle,LSU,5.5 / 8.5,Over 5.5,DraftKings,115,Under 8.5,BetMGM,-110,,,99.4,Middle gap of 3 wins.,5.5,8.5,3.0
Middle,Strong middle,LSU,5.5 / 8.5,Over 5.5,DraftKings,115,Under 8.5,Caesars,-110,,,99.4,Middle gap of 3 wins.,5.5,8.5,3.0
Middle,Strong middle,LSU,5.5 / 8.5,Over 5.5,DraftKings,115,Under 8.5,FanDuel,-110,,,99.4,Middle gap of 3 wins.,5.5,8.5,3.0
Middle,Strong middle,Kansas State,5.5 / 8.5,Over 5.5,DraftKings,105,Under 8.5,BetMGM,-120,,,98.1,Middle gap of 3 wins.,5.5,8.5,3.0
Middle,Strong middle,Kansas State,5.5 / 8.5,Over 5.5,DraftKings,105,Under 8.5,FanDuel,-114,,,98.1,Middle gap of 3 wins.,5.5,8.5,3.0
Middle,Strong middle,USC,5.5 / 8.5,Over 5.5,DraftKings,105,Under 8.5,BetMGM,-125,,,98.1,Middle gap of 3 wins.,5.5,8.5,3.0
Middle,Strong middle,USC,5.5 / 8.5,Over 5.5,DraftKings,105,Under 8.5,Caesars,-115,,,98.1,Middle gap of 3 wins.,5.5,8.5,3.0
Middle,Strong middle,Alabama,5.5 / 8.5,Over 5.5,DraftKings,-120,Under 8.5,BetMGM,100,,,97.5,Middle gap of 3 wins.,5.5,8.5,3.0
Middle,Strong middle,Alabama,5.5 / 8.5,Over 5.5,DraftKings,-120,Under 8.5,Caesars,-110,,,95.0,Middle gap of 3 wins.,5.5,8.5,3.0
Middle,Strong middle,Alabama,5.5 / 8.5,Over 5.5,DraftKings,-120,Under 8.5,FanDuel,-104,,,95.0,Middle gap of 3 wins.,5.5,8.5,3.0
Middle,Strong middle,Florida,4.5 / 7.5,Over 4.5,DraftKings,-110,Under 7.5,Caesars,-130,,,95.0,Middle gap of 3 wins.,4.5,7.5,3.0
Middle,Strong middle,Indiana,7.5 / 10.5,Over 7.5,DraftKings,-110,Under 10.5,BetMGM,-120,,,95.0,Middle gap of 3 wins.,7.5,10.5,3.0
Middle,Strong middle,Indiana,7.5 / 10.5,Over 7.5,DraftKings,-110,Under 10.5,FanDuel,-105,,,95.0,Middle gap of 3 wins.,7.5,10.5,3.0
Middle,Strong middle,Northwestern,2.5 / 5.5,Over 2.5,DraftKings,-125,Under 5.5,BetMGM,-110,,,95.0,Middle gap of 3 wins.,2.5,5.5,3.0
Middle,Strong middle,Northwestern,2.5 / 5.5,Over 2.5,DraftKings,-125,Under 5.5,Caesars,-115,,,95.0,Middle gap of 3 wins.,2.5,5.5,3.0
Middle,Strong middle,Northwestern,2.5 / 5.5,Over 2.5,DraftKings,-125,Under 5.5,FanDuel,-112,,,95.0,Middle gap of 3 wins.,2.5,5.5,3.0
Middle,Strong middle,Texas,6.5 / 9.5,Over 6.5,DraftKings,-130,Under 9.5,BetMGM,-125,,,95.0,Middle gap of 3 wins.,6.5,9.5,3.0
Middle,Strong middle,Texas,6.5 / 9.5,Over 6.5,DraftKings,-130,Under 9.5,Caesars,-130,,,95.0,Middle gap of 3 wins.,6.5,9.5,3.0
Middle,Strong middle,Texas A&M,5.5 / 8.5,Over 5.5,DraftKings,-120,Under 8.5,BetMGM,-110,,,95.0,Middle gap of 3 wins.,5.5,8.5,3.0
Middle,Strong middle,Texas A&M,5.5 / 8.5,Over 5.5,DraftKings,-120,Under 8.5,Caesars,-115,,,95.0,Middle gap of 3 wins.,5.5,8.5,3.0
