snapshot_date,season,team,conference,book,win_total,over_odds,under_odds,source_url,notes
2026-06-19,2026,Alabama,,BetMGM,8.5,-125.0,100.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,Alabama,Southeastern,Caesars,8.5,-120.0,-110.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=14a0b88a9ff5a54379450f685b901950; over_updated=2026-06-19 11:49:49; under_updated=2026-06-19 11:49:49
2026-06-19,2026,Alabama,,DraftKings,5.5,-120.0,100.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Alabama,,FanDuel,8.5,-118.0,-104.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159438746; over_selection=96283335; under_selection=96283334
2026-06-19,2026,Arizona,,BetMGM,7.5,115.0,-145.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,Arizona,Big 12,Caesars,7.5,105.0,-135.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=9f0e518133949bddf74124d285c999e0; over_updated=2026-06-19 11:49:49; under_updated=2026-06-19 11:49:49
2026-06-19,2026,Arizona,,DraftKings,4.5,-125.0,105.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Arizona,,DraftKings,7.5,105.0,,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK CT DK; best_under=None None
2026-06-19,2026,Arizona,,FanDuel,7.5,114.0,-140.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439302; over_selection=96283350; under_selection=96283351
2026-06-19,2026,Arizona State,,BetMGM,6.5,-130.0,100.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,Arizona State,Big 12,Caesars,6.5,-150.0,115.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=653564e20b40b93ce41b8b96a9265d6d; over_updated=2026-06-19 11:49:48; under_updated=2026-06-19 11:49:48
2026-06-19,2026,Arizona State,,DraftKings,4.5,-136.0,115.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Arizona State,,FanDuel,6.5,-110.0,-110.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439126; over_selection=96283340; under_selection=96283341
2026-06-19,2026,Arkansas,,BetMGM,4.5,135.0,-175.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,Arkansas,Southeastern,Caesars,4.5,125.0,-160.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=635c90061a3b180132fcec036bf5822c; over_updated=2026-06-19 11:49:49; under_updated=2026-06-19 11:49:49
2026-06-19,2026,Arkansas,,DraftKings,2.5,130.0,-156.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Arkansas,,FanDuel,4.5,140.0,-172.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439129; over_selection=96283343; under_selection=96283342
2026-06-19,2026,Auburn,,BetMGM,6.5,-120.0,-110.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,Auburn,Southeastern,Caesars,6.5,-120.0,-110.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=ecc9d66315cfa023a368e2bb1e432567; over_updated=2026-06-19 11:49:48; under_updated=2026-06-19 11:49:48
2026-06-19,2026,Auburn,,DraftKings,3.5,-156.0,130.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Auburn,,FanDuel,6.5,-110.0,-110.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439224; over_selection=96283346; under_selection=96283347
2026-06-19,2026,BYU,,BetMGM,8.5,-125.0,100.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,BYU,Big 12,Caesars,8.5,-125.0,-105.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=8d974c7765e1bcfaaa40d1e3a0c20093; over_updated=2026-06-19 11:49:49; under_updated=2026-06-19 11:49:49
2026-06-19,2026,BYU,,DraftKings,6.5,100.0,-120.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,BYU,,FanDuel,8.5,-122.0,100.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439239; over_selection=96283349; under_selection=96283348
2026-06-19,2026,Baylor,,BetMGM,6.5,135.0,-175.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,Baylor,Big 12,Caesars,6.5,130.0,-160.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=291c5b2729328246c0aaeb397590f1cf; over_updated=2026-06-19 11:49:49; under_updated=2026-06-19 11:49:49
2026-06-19,2026,Baylor,,DraftKings,3.5,-160.0,134.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Baylor,,DraftKings,5.5,-166.0,134.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK KS DK; best_under=DK KS DK
2026-06-19,2026,Baylor,,FanDuel,6.5,140.0,-172.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439352; over_selection=96283353; under_selection=96283352
2026-06-19,2026,Boston College,,BetMGM,3.5,120.0,-155.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,Boston College,Atlantic Coast,Caesars,3.5,-105.0,-125.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=2a13ed374ba1e8f3b1ed4d6df93b7941; over_updated=2026-06-19 11:49:48; under_updated=2026-06-19 11:49:48
2026-06-19,2026,Boston College,,DraftKings,1.5,-200.0,164.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Boston College,,FanDuel,3.5,116.0,-142.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439378; over_selection=96283355; under_selection=96283354
2026-06-19,2026,California,,BetMGM,6.5,110.0,-145.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,California,Atlantic Coast,Caesars,6.5,-110.0,-120.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=8c8335166e25378362f9c46595201ef6; over_updated=2026-06-19 11:49:48; under_updated=2026-06-19 11:49:48
2026-06-19,2026,California,,DraftKings,4.5,115.0,-136.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,California,,FanDuel,6.5,112.0,-138.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439421; over_selection=96321691; under_selection=96321692
2026-06-19,2026,Central Florida,,BetMGM,5.5,-170.0,130.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,Central Florida,Big 12,Caesars,5.5,-160.0,120.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=7af263fc0b2e1dce8ec505970cb7d3ed; over_updated=2026-06-19 11:49:49; under_updated=2026-06-19 11:49:49
2026-06-19,2026,Central Florida,,DraftKings,3.5,-115.0,-105.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Central Florida,,DraftKings,5.5,-130.0,110.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK CO DK; best_under=DK CO DK
2026-06-19,2026,Central Florida,,FanDuel,5.5,-158.0,128.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159441059; over_selection=96283541; under_selection=96283540
2026-06-19,2026,Cincinnati,,BetMGM,5.5,115.0,-150.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,Cincinnati,Big 12,Caesars,5.5,110.0,-140.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=3fb149c4997f7d3935f381857288b0b9; over_updated=2026-06-19 11:49:48; under_updated=2026-06-19 11:49:48
2026-06-19,2026,Cincinnati,,DraftKings,3.5,100.0,-120.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Cincinnati,,FanDuel,5.5,120.0,-148.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439520; over_selection=96283360; under_selection=96283361
2026-06-19,2026,Clemson,,BetMGM,7.5,-135.0,105.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
