rank,team,bradpowers_start,bradpowers,bradpowers_diff,team_raw,bradpowers_raw,bradpowers_avg
1,Ohio State,92.65,29.186739130434773,0.93,Ohio State,93.58,64.39326086956522
2,Notre Dame,92.28,28.416739130434777,0.53,Notre Dame,92.81,64.39326086956522
3,Oregon,89.5,26.86673913043478,1.76,Oregon,91.26,64.39326086956522
4,Georgia,86.75,26.08673913043478,3.73,Georgia,90.48,64.39326086956522
5,Indiana,96.4,25.636739130434776,-6.37,Indiana,90.03,64.39326086956522
6,Texas,83.56,25.326739130434774,6.16,Texas,89.72,64.39326086956522
7,Miami-FL,89.59,23.23673913043477,-1.96,Miami (FL),87.63,64.39326086956522
8,Oklahoma,81.64,20.526739130434777,3.28,Oklahoma,84.92,64.39326086956522
9,Texas Tech,89.47,20.356739130434775,-4.72,Texas Tech,84.75,64.39326086956522
10,Ole Miss,84.36,20.026739130434777,0.06,Ole Miss,84.42,64.39326086956522
11,Texas A&M,84.9,19.86673913043478,-0.64,Texas A&M,84.26,64.39326086956522
12,USC,81.03,19.84673913043477,3.21,USC,84.24,64.39326086956522
13,Alabama,82.1,19.76673913043477,2.06,Alabama,84.16,64.39326086956522
14,Michigan,78.48,18.216739130434775,4.13,Michigan,82.61,64.39326086956522
15,LSU,74.65,17.31673913043477,7.06,LSU,81.71,64.39326086956522
16,Tennessee,78.57,16.046739130434773,1.87,Tennessee,80.44,64.39326086956522
17,Penn State,79.79,15.876739130434771,0.48,Penn State,80.27,64.39326086956522
18,South Carolina,74.03,14.946739130434779,5.31,South Carolina,79.34,64.39326086956522
19,BYU,77.33,14.84673913043477,1.91,BYU,79.24,64.39326086956522
20,Washington,77.75,14.326739130434774,0.97,Washington,78.72,64.39326086956522
21,Florida,73.36,13.86673913043478,4.9,Florida,78.26,64.39326086956522
22,SMU,75.5,13.446739130434779,2.34,SMU,77.84,64.39326086956522
23,Utah,82.86,13.036739130434782,-5.43,Utah,77.43,64.39326086956522
24,Iowa,80.35,13.00673913043478,-2.95,Iowa,77.4,64.39326086956522
25,Auburn,77.11,12.856739130434775,0.14,Auburn,77.25,64.39326086956522
26,Clemson,74.55,12.75673913043478,2.6,Clemson,77.15,64.39326086956522
27,Missouri,79.16,12.246739130434776,-2.52,Missouri,76.64,64.39326086956522
28,Houston,71.52,10.856739130434775,3.73,Houston,75.25,64.39326086956522
29,Vanderbilt,82.39,10.796739130434773,-7.2,Vanderbilt,75.19,64.39326086956522
30,Louisville,73.37,10.556739130434778,1.58,Louisville,74.95,64.39326086956522
31,Florida State,72.62,10.156739130434772,1.93,Florida State,74.55,64.39326086956522
32,TCU,74.63,9.936739130434773,-0.3,TCU,74.33,64.39326086956522
33,Virginia Tech,62.38,9.906739130434772,11.9,Virginia Tech,74.3,64.39326086956522
34,Arizona,75.28,9.496739130434776,-1.39,Arizona,73.89,64.39326086956522
35,Pittsburgh,72.73,9.216739130434775,0.88,Pittsburgh,73.61,64.39326086956522
36,Illinois,75.45,8.25673913043478,-2.8,Illinois,72.65,64.39326086956522
37,Wisconsin,67.06,8.246739130434776,5.58,Wisconsin,72.64,64.39326086956522
38,Nebraska,68.16,8.026739130434777,4.26,Nebraska,72.42,64.39326086956522
39,Kansas State,71.76,8.026739130434777,0.66,Kansas State,72.42,64.39326086956522
40,Virginia,73.46,7.556739130434778,-1.51,Virginia,71.95,64.39326086956522
41,UCLA,62.2,6.986739130434771,9.18,UCLA,71.38,64.39326086956522
42,Mississippi State,69.31,6.396739130434781,1.48,Mississippi State,70.79,64.39326086956522
43,Kentucky,68.63,6.296739130434773,2.06,Kentucky,70.69,64.39326086956522
44,Arkansas,72.94,6.236739130434771,-2.31,Arkansas,70.63,64.39326086956522
45,Minnesota,64.22,5.9667391304347746,6.14,Minnesota,70.36,64.39326086956522
46,Georgia Tech,72.41,5.84673913043477,-2.17,Georgia Tech,70.24,64.39326086956522
47,Oklahoma State,53.61,5.826739130434774,16.6,Oklahoma State,70.22,64.39326086956522
48,Boise State,67.23,5.736739130434771,2.9,Boise State,70.13,64.39326086956522
49,Northwestern,69.23,5.416739130434777,0.58,Northwestern,69.81,64.39326086956522
50,NC State,68.75,5.34673913043477,0.99,NC State,69.74,64.39326086956522
51,Arizona State,71.83,5.336739130434779,-2.1,Arizona State,69.73,64.39326086956522
52,Baylor,68.59,4.84673913043477,0.65,Baylor,69.24,64.39326086956522
53,Kansas,68.94,4.536739130434782,-0.01,Kansas,68.93,64.39326086956522
54,Maryland,63.18,4.426739130434768,5.64,Maryland,68.82,64.39326086956522
55,Central Florida,63.14,3.356739130434775,4.61,UCF,67.75,64.39326086956522
56,West Virginia,61.26,3.34673913043477,6.48,West Virginia,67.74,64.39326086956522
57,Cincinnati,69.6,3.066739130434769,-2.14,Cincinnati,67.46,64.39326086956522
58,Rutgers,66.15,2.836739130434779,1.08,Rutgers,67.23,64.39326086956522
59,Wake Forest,69.13,2.7667391304347717,-1.97,Wake Forest,67.16,64.39326086956522
60,Duke,70.0,2.34673913043477,-3.26,Duke,66.74,64.39326086956522
61,Colorado,59.37,1.7767391304347768,6.8,Colorado,66.17,64.39326086956522
62,Michigan State,65.68,1.6367391304347763,0.35,Michigan State,66.03,64.39326086956522
63,California,62.87,1.5167391304347717,3.04,California,65.91,64.39326086956522
64,North Carolina,59.81,0.6667391304347774,5.25,North Carolina,65.06,64.39326086956522
65,Navy,65.95,0.326739130434774,-1.23,Navy,64.72,64.39326086956522
66,UNLV,62.47,0.0867391304347791,2.01,UNLV,64.48,64.39326086956522
67,Fresno State,60.23,-0.20326086956522715,3.96,Fresno State,64.19,64.39326086956522
68,New Mexico,61.93,-0.46326086956522516,2.0,New Mexico,63.93,64.39326086956522
69,Syracuse,53.12,-0.5332608695652254,10.7,Syracuse,63.86,64.39326086956522
70,UTSA,63.04,-0.7532608695652243,0.6,UTSA,63.64,64.39326086956522
71,James Madison,74.06,-0.8332608695652226,-10.5,James Madison,63.56,64.39326086956522
72,Iowa State,72.52,-1.0032608695652243,-9.13,Iowa State,63.39,64.39326086956522
73,South Florida,73.53,-1.183260869565224,-10.3,USF,63.21,64.39326086956522
74,Purdue,59.56,-1.4532608695652272,3.38,Purdue,62.94,64.39326086956522
75,Tulane,68.17,-1.4932608695652263,-5.27,Tulane,62.9,64.39326086956522
76,Stanford,60.56,-1.5632608695652266,2.27,Stanford,62.83,64.39326086956522
77,Texas State,62.71,-1.7732608695652274,-0.09,Texas State,62.62,64.39326086956522
78,San Diego State,62.82,-1.7732608695652274,-0.2,San Diego State,62.62,64.39326086956522
79,Army,61.52,-2.0832608695652226,0.79,Army,62.31,64.39326086956522
80,Memphis,63.38,-2.883260869565227,-1.87,Memphis,61.51,64.39326086956522
81,Old Dominion,69.87,-3.0732608695652246,-8.55,Old Dominion,61.32,64.39326086956522
82,North Dakota State,67.0,-3.5932608695652277,-6.2,North Dakota State,60.8,64.39326086956522
83,Washington State,65.81,-3.6132608695652237,-5.03,Washington State,60.78,64.39326086956522
84,Boston College,60.34,-3.943260869565222,0.11,Boston College,60.45,64.39326086956522
85,East Carolina,66.93,-4.143260869565225,-6.68,East Carolina,60.25,64.39326086956522
86,Air Force,54.77,-4.213260869565225,5.41,Air Force,60.18,64.39326086956522
87,Western Michigan,60.34,-4.913260869565228,-0.86,Western Michigan,59.48,64.39326086956522
88,Hawaii,60.38,-5.8032608695652215,-1.79,Hawaii,58.59,64.39326086956522
89,Florida Atlantic,52.43,-5.983260869565228,5.98,Florida Atlantic,58.41,64.39326086956522
90,Utah State,59.61,-6.163260869565228,-1.38,Utah State,58.23,64.39326086956522
91,Toledo,67.54,-6.5432608695652235,-9.69,Toledo,57.85,64.39326086956522
92,Liberty,52.6,-6.833260869565223,4.96,Liberty,57.56,64.39326086956522
93,Marshall,54.6,-7.483260869565228,2.31,Marshall,56.91,64.39326086956522
94,Miami-OH,53.85,-7.633260869565227,2.91,Miami (OH),56.76,64.39326086956522
95,Troy,54.51,-7.743260869565226,2.14,Troy,56.65,64.39326086956522
96,Western Kentucky,55.6,-8.393260869565225,0.4,Western Kentucky,56.0,64.39326086956522
97,Oregon State,52.18,-8.723260869565223,3.49,Oregon State,55.67,64.39326086956522
98,Tulsa,51.94,-8.753260869565224,3.7,Tulsa,55.64,64.39326086956522
99,Temple,54.03,-8.773260869565227,1.59,Temple,55.62,64.39326086956522
100,Louisiana,52.15,-8.853260869565226,3.39,UL-Lafayette,55.54,64.39326086956522
101,North Texas,71.95,-9.313260869565227,-16.9,North Texas,55.08,64.39326086956522
102,Jacksonville State,53.1,-9.313260869565227,1.98,Jacksonville State,55.08,64.39326086956522
