snapshot_date,season,source,team,raw_team,conference,record,record_decimal,rank,rating,power_rank,power,off_rank,off_rating,def_rank,def_rating,hfa,sos_rank,sos,ssf_rank,ssf,expected_wins,expected_losses,source_url,pulled_at,notes
2026-07-29,2026,Massey Ratings,Ohio State,Ohio St,Big 10,0-0,0.0,1,9.3,1,80.22,4,65.36,1,42.82,2.26,1,0.0,10,61.48,10.2,1.8,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Indiana,Indiana,Big 10,0-0,0.0,2,9.18,2,78.68,1,66.63,2,40.02,2.12,1,0.0,29,58.62,10.4,1.6,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Notre Dame,Notre Dame,FBS Indep,0-0,0.0,3,9.02,3,76.49,3,65.84,3,38.61,2.19,1,0.0,66,53.42,10.87,1.13,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Oregon,Oregon,Big 10,0-0,0.0,4,9.0,4,75.8,2,65.93,5,37.83,2.22,1,0.0,24,60.06,9.75,2.25,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Georgia,Georgia,Southeastern,0-0,0.0,5,8.89,5,73.87,6,63.61,4,38.23,2.2,1,0.0,25,59.91,9.4,2.6,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Ole Miss,Mississippi,Southeastern,0-0,0.0,6,8.74,6,71.71,5,64.55,16,35.13,2.24,1,0.0,17,60.93,8.68,3.32,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Alabama,Alabama,Southeastern,0-0,0.0,7,8.74,7,71.38,11,62.6,9,36.74,2.33,1,0.0,23,60.19,8.84,3.16,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Penn State,Penn St,Big 10,0-0,0.0,8,8.73,8,71.29,13,62.12,8,37.14,2.25,1,0.0,58,55.23,9.81,2.19,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Texas,Texas,Southeastern,0-0,0.0,9,8.7,9,70.86,12,62.44,11,36.39,2.28,1,0.0,1,63.23,8.02,3.98,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
2026-07-29,2026,Massey Ratings,Miami-FL,Miami FL,Atlantic Coast,0-0,0.0,10,8.68,11,70.25,14,61.79,10,36.42,2.14,1,0.0,63,54.27,9.79,2.21,https://masseyratings.com/cf/fbs/ratings,2026-07-29T12:37:06Z,Parsed from manually copied/rendered Massey ratings table.
