missing_team_name,games,example
Mercyhurst,3,2026-09-05 W1: Mercyhurst at New Mexico State
Merrimack,2,2026-09-03 W1: Merrimack at Delaware
West Georgia,2,2026-09-03 W1: West Georgia at Kennesaw State
LIU,2,2026-09-04 W1: LIU at Kansas
Duquesne,2,2026-09-05 W1: Duquesne at Air Force
Maine,2,2026-09-05 W1: Maine at Appalachian State
The Citadel,2,2026-09-05 W1: The Citadel at Charlotte
Charleston So.,2,2026-09-05 W1: Charleston So. at Georgia Southern
Nicholls,2,2026-09-05 W1: Nicholls at Kansas State
Murray State,2,2026-09-05 W1: Murray State at Middle Tennessee
Towson,2,2026-09-05 W1: Towson at Navy
Fordham,2,2026-09-05 W1: Fordham at North Dakota State
Norfolk State,2,2026-09-05 W1: Norfolk State at Old Dominion
HCU,2,2026-09-05 W1: HCU at Rice
Portland State,2,2026-09-05 W1: Portland State at San Diego State
Southeastern La.,2,2026-09-05 W1: Southeastern La. at South Alabama
Robert Morris,2,2026-09-12 W2: Robert Morris at Akron
Howard,2,2026-09-12 W2: Howard at Indiana
Wagner,2,2026-09-12 W2: Wagner at James Madison
Wofford,2,2026-09-12 W2: Wofford at Kent State
Gardner-Webb,2,2026-09-12 W2: Gardner-Webb at Liberty
Lindenwood,2,2026-09-12 W2: Lindenwood at Missouri State
Texas Southern,2,2026-09-12 W2: Texas Southern at UTEP
UT Martin,2,2026-09-12 W2: UT Martin at West Virginia
Stonehill,2,2026-09-19 W3: Stonehill at Massachusetts
Samford,2,2026-10-03 W5: Samford at UAB
UAlbany,1,2026-09-03 W1: UAlbany at Buffalo
Bethune-Cookman,1,2026-09-03 W1: Bethune-Cookman at Central Florida
Eastern Illinois,1,2026-09-03 W1: Eastern Illinois at Minnesota
UAPB,1,2026-09-03 W1: UAPB at Missouri
Idaho,1,2026-09-03 W1: Idaho at Utah
North Carolina A&T,1,2026-09-04 W1: North Carolina A&T at Georgia State
Northern Arizona,1,2026-09-05 W1: Northern Arizona at Arizona
Morgan State,1,2026-09-05 W1: Morgan State at Arizona State
North Alabama,1,2026-09-05 W1: North Alabama at Arkansas
Bryant,1,2026-09-05 W1: Bryant at Army
Utah Tech,1,2026-09-05 W1: Utah Tech at BYU
Tarleton State,1,2026-09-05 W1: Tarleton State at Bowling Green
Lafayette,1,2026-09-05 W1: Lafayette at Connecticut
Tennessee State,1,2026-09-05 W1: Tennessee State at Georgia
