team,power_rating,power_rank,spplus,fpi,teamrankings,kford,bradpowers,source_count,spplus_weight,fpi_weight,teamrankings_weight,kford_weight,bradpowers_weight
Ohio State,31.8,1,31.8,,,,,1,1.0,0.0,0.0,0.0,0.0
Oregon,28.3,2,28.3,,,,,1,1.0,0.0,0.0,0.0,0.0
Notre Dame,25.8,3,25.8,,,,,1,1.0,0.0,0.0,0.0,0.0
Georgia,25.5,4,25.5,,,,,1,1.0,0.0,0.0,0.0,0.0
Indiana,24.5,5,24.5,,,,,1,1.0,0.0,0.0,0.0,0.0
Texas,23.7,6,23.7,,,,,1,1.0,0.0,0.0,0.0,0.0
Texas Tech,23.1,7,23.1,,,,,1,1.0,0.0,0.0,0.0,0.0
Miami-FL,21.0,8,21.0,,,,,1,1.0,0.0,0.0,0.0,0.0
Texas A&M,20.3,9,20.3,,,,,1,1.0,0.0,0.0,0.0,0.0
LSU,20.2,10,20.2,,,,,1,1.0,0.0,0.0,0.0,0.0
Alabama,18.2,11,18.2,,,,,1,1.0,0.0,0.0,0.0,0.0
Oklahoma,17.2,12,17.2,,,,,1,1.0,0.0,0.0,0.0,0.0
USC,16.8,13,16.8,,,,,1,1.0,0.0,0.0,0.0,0.0
Michigan,16.1,14,16.1,,,,,1,1.0,0.0,0.0,0.0,0.0
Tennessee,16.0,15,16.0,,,,,1,1.0,0.0,0.0,0.0,0.0
Ole Miss,15.9,16,15.9,,,,,1,1.0,0.0,0.0,0.0,0.0
Penn State,15.7,17,15.7,,,,,1,1.0,0.0,0.0,0.0,0.0
BYU,15.5,18,15.5,,,,,1,1.0,0.0,0.0,0.0,0.0
Florida,14.9,19,14.9,,,,,1,1.0,0.0,0.0,0.0,0.0
Missouri,14.8,20,14.8,,,,,1,1.0,0.0,0.0,0.0,0.0
Washington,14.5,21,14.5,,,,,1,1.0,0.0,0.0,0.0,0.0
Iowa,13.6,22,13.6,,,,,1,1.0,0.0,0.0,0.0,0.0
Clemson,12.8,23,12.8,,,,,1,1.0,0.0,0.0,0.0,0.0
South Carolina,12.1,24,12.1,,,,,1,1.0,0.0,0.0,0.0,0.0
Utah,11.9,25,11.9,,,,,1,1.0,0.0,0.0,0.0,0.0
Auburn,11.2,26,11.2,,,,,1,1.0,0.0,0.0,0.0,0.0
Louisville,11.0,27,11.0,,,,,1,1.0,0.0,0.0,0.0,0.0
SMU,10.9,28,10.9,,,,,1,1.0,0.0,0.0,0.0,0.0
Kansas State,10.4,29,10.4,,,,,1,1.0,0.0,0.0,0.0,0.0
Arizona,10.2,30,10.2,,,,,1,1.0,0.0,0.0,0.0,0.0
Vanderbilt,10.0,31,10.0,,,,,1,1.0,0.0,0.0,0.0,0.0
Virginia Tech,9.4,32,9.4,,,,,1,1.0,0.0,0.0,0.0,0.0
Illinois,9.3,33,9.3,,,,,1,1.0,0.0,0.0,0.0,0.0
TCU,9.1,34,9.1,,,,,1,1.0,0.0,0.0,0.0,0.0
Florida State,8.8,35,8.8,,,,,1,1.0,0.0,0.0,0.0,0.0
Houston,8.2,36,8.2,,,,,1,1.0,0.0,0.0,0.0,0.0
Nebraska,7.7,37,7.7,,,,,1,1.0,0.0,0.0,0.0,0.0
Oklahoma State,7.1,38,7.1,,,,,1,1.0,0.0,0.0,0.0,0.0
Boise State,6.8,39,6.8,,,,,1,1.0,0.0,0.0,0.0,0.0
Virginia,6.6,40,6.6,,,,,1,1.0,0.0,0.0,0.0,0.0
Pittsburgh,6.5,41,6.5,,,,,1,1.0,0.0,0.0,0.0,0.0
Arizona State,6.4,42,6.4,,,,,1,1.0,0.0,0.0,0.0,0.0
Georgia Tech,6.0,43,6.0,,,,,1,1.0,0.0,0.0,0.0,0.0
Duke,5.7,44,5.7,,,,,1,1.0,0.0,0.0,0.0,0.0
Minnesota,5.2,45,5.2,,,,,1,1.0,0.0,0.0,0.0,0.0
UCLA,5.1,46,5.1,,,,,1,1.0,0.0,0.0,0.0,0.0
Arkansas,5.0,47,5.0,,,,,1,1.0,0.0,0.0,0.0,0.0
NC State,4.9,48,4.9,,,,,1,1.0,0.0,0.0,0.0,0.0
Northwestern,4.6,49,4.6,,,,,1,1.0,0.0,0.0,0.0,0.0
Cincinnati,4.5,50,4.5,,,,,1,1.0,0.0,0.0,0.0,0.0
Baylor,4.5,51,4.5,,,,,1,1.0,0.0,0.0,0.0,0.0
Mississippi State,3.9,52,3.9,,,,,1,1.0,0.0,0.0,0.0,0.0
Kentucky,3.8,53,3.8,,,,,1,1.0,0.0,0.0,0.0,0.0
North Carolina,3.8,54,3.8,,,,,1,1.0,0.0,0.0,0.0,0.0
Maryland,3.8,55,3.8,,,,,1,1.0,0.0,0.0,0.0,0.0
California,3.7,56,3.7,,,,,1,1.0,0.0,0.0,0.0,0.0
Kansas,3.7,57,3.7,,,,,1,1.0,0.0,0.0,0.0,0.0
Wake Forest,3.6,58,3.6,,,,,1,1.0,0.0,0.0,0.0,0.0
UNLV,2.8,59,2.8,,,,,1,1.0,0.0,0.0,0.0,0.0
Central Florida,2.3,60,2.3,,,,,1,1.0,0.0,0.0,0.0,0.0
Wisconsin,1.8,61,1.8,,,,,1,1.0,0.0,0.0,0.0,0.0
Rutgers,1.8,62,1.8,,,,,1,1.0,0.0,0.0,0.0,0.0
Navy,1.1,63,1.1,,,,,1,1.0,0.0,0.0,0.0,0.0
