season,team,conference,total_ppa,total_passing_ppa,total_receiving_ppa,total_rushing_ppa,percent_ppa,percent_passing_ppa,percent_receiving_ppa,percent_rushing_ppa,usage,passing_usage,receiving_usage,rushing_usage,year
2023,Air Force,Mountain West,121.7,12.9,11.3,97.5,0.358,0.295,0.148,0.444,0.267,0.032,0.339,0.292,2023
2023,Akron,Mid-American,261.0,118.0,124.3,18.7,0.723,0.952,0.586,0.739,0.758,0.996,0.568,0.625,2023
2023,Alabama,SEC,233.1,23.9,158.8,50.3,0.396,0.133,0.519,0.492,0.388,0.147,0.494,0.54,2023
2023,App State,Sun Belt,208.3,11.6,134.2,62.6,0.474,0.089,0.721,0.508,0.392,0.028,0.723,0.468,2023
2023,Arizona,Pac-12,472.7,174.5,222.4,75.8,0.846,0.995,0.72,1.013,0.924,0.996,0.752,0.99,2023
2023,Arizona State,Pac-12,252.0,96.2,150.9,4.8,0.612,0.753,0.685,0.075,0.411,0.482,0.656,0.103,2023
2023,Arkansas,SEC,273.0,132.3,55.1,85.6,0.581,0.904,0.233,0.983,0.777,0.914,0.267,0.928,2023
2023,Arkansas State,Sun Belt,52.0,4.0,54.4,-6.5,0.179,0.045,0.269,5.909,0.221,0.028,0.351,0.361,2023
2023,Army,FBS Independents,122.5,-0.6,52.1,71.0,0.5,-0.019,0.826,0.472,0.485,0.028,0.71,0.543,2023
2023,Auburn,SEC,231.3,32.8,113.9,84.5,0.787,0.794,0.735,0.86,0.657,0.833,0.553,0.573,2023
2023,Ball State,Mid-American,65.9,0.0,60.1,5.8,0.262,0.0,0.461,0.132,0.145,0.0,0.313,0.148,2023
2023,Baylor,Big 12,255.6,89.3,111.1,55.2,0.645,0.755,0.615,0.565,0.691,0.937,0.561,0.578,2023
2023,Boise State,Mountain West,395.3,117.7,156.7,120.9,0.921,0.93,0.849,1.026,0.853,0.743,0.875,0.921,2023
2023,Boston College,ACC,121.9,54.1,88.9,-21.1,0.372,0.511,0.369,1.128,0.526,0.458,0.467,0.669,2023
2023,Bowling Green,Mid-American,100.6,10.1,88.3,2.2,0.299,0.087,0.442,0.104,0.465,0.137,0.491,0.869,2023
2023,Buffalo,Mid-American,196.2,104.8,59.0,32.5,0.575,0.876,0.317,0.915,0.791,0.99,0.307,0.926,2023
2023,BYU,FBS Independents,139.1,12.9,126.7,-0.4,0.294,0.084,0.551,-0.004,0.224,0.017,0.505,0.21,2023
2023,California,Pac-12,178.4,0.0,156.6,21.8,0.443,0.0,0.654,0.58,0.34,0.0,0.593,0.616,2023
2023,Central Michigan,Mid-American,104.3,-4.6,36.6,72.3,0.358,-0.073,0.236,0.997,0.323,0.163,0.302,0.516,2023
2023,Charlotte,Conference USA,59.0,4.1,37.4,17.5,0.144,0.035,0.155,0.33,0.222,0.041,0.186,0.503,2023
2023,Cincinnati,American Athletic,27.6,-3.0,7.8,22.8,0.067,-0.024,0.033,0.429,0.261,0.178,0.048,0.537,2023
2023,Clemson,ACC,238.4,31.4,124.0,83.1,0.551,0.296,0.577,0.741,0.505,0.219,0.621,0.704,2023
2023,Coastal Carolina,Sun Belt,416.2,152.7,196.7,66.8,0.915,0.982,0.819,1.128,0.893,0.971,0.843,0.861,2023
