status,line_index,away,home
parsed,1,Colorado,Georgia Tech
parsed,15,Eastern Illinois,Minnesota
parsed,29,Massachusetts,Rutgers
parsed,43,Bethune-Cookman,Central Florida
parsed,57,Idaho,Utah
parsed,71,Akron,Wake Forest
parsed,85,SUNY Albany,Buffalo
parsed,99,West Georgia,Kennesaw State
parsed,113,LIU Post,Kansas
parsed,127,Miami-FL,Stanford
parsed,141,East Carolina,Alabama
parsed,155,Northern Arizona,Arizona
parsed,169,Morgan St,Arizona State
parsed,183,North Alabama,Arkansas
parsed,197,Bryant,Army
parsed,211,Baylor,Auburn
parsed,226,Utah Tech,BYU
parsed,240,UCLA,California
parsed,254,Citadel,Charlotte
parsed,268,Boston College,Cincinnati
parsed,282,Wyoming,Colorado State
parsed,296,Lafayette,Connecticut
parsed,310,Tulane,Duke
parsed,324,Florida Atlantic,Florida
parsed,338,Tennessee State,Georgia
parsed,352,Oregon State,Houston
parsed,366,UAB,Illinois
parsed,380,North Texas,Indiana
parsed,394,Northern Illinois,Iowa
parsed,408,Southeast Missouri State,Iowa State
parsed,422,Nicholls,Kansas State
parsed,436,Youngstown State,Kentucky
parsed,450,Clemson,LSU
parsed,464,Arkansas St,Memphis
parsed,478,Western Michigan,Michigan
parsed,492,Toledo,Michigan State
parsed,506,UL-Monroe,Mississippi State
parsed,520,UAPB,Missouri
parsed,534,Towson,Navy
parsed,548,Ohio,Nebraska
