game_id,week,date,away_team,home_team,projected_margin_home,projected_total,market_spread_home,market_spread_text,market_spread_book,market_spread_price,market_line_source,market_price_status,market_line_note,market_books_count,market_books_available,market_total,market_total_book,market_total_over_price,market_total_under_price,market_total_last_update,has_actual_market_spread,has_actual_market_total,spread_edge_home_if_actual,total_edge_if_actual
g1,0,2026-08-29,Sacramento State,Eastern Michigan,3.6303,51.8,-7.5,Eastern Michigan -7.5,fanduel,-115.0,SportsGameOdds,actual,,15.0,"1xbet,betmgm,betonline,betsson,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,sportsbet",53.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,-3.8697,-1.7000000000000028
g2,0,2026-08-29,New Mexico State,Florida State,27.9675,50.35,-29.5,Florida State -29.5,fanduel,-110.0,SportsGameOdds,actual,,15.0,"1xbet,betmgm,betonline,betsson,bovada,caesars,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,pointsbet,sportsbet",52.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,-1.5324999999999989,-2.1499999999999986
g3,0,2026-08-29,Jacksonville State,North Dakota State,7.7563,53.5,-7.5,North Dakota State -7.5,fanduel,-110.0,SportsGameOdds,actual,,16.0,"1xbet,betmgm,betonline,betsson,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,pointsbet,sportsbet",47.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,0.2563000000000004,6.0
g4,0,2026-08-29,Hawaii,Stanford,2.42,50.9,-3.5,Stanford -3.5,betmgm,-110.0,SportsGameOdds,actual,,16.0,"1xbet,betmgm,betonline,betsson,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,pointsbet,sportsbet",50.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,-1.08,0.3999999999999986
g5,0,2026-08-29,North Carolina,TCU,6.98,49.4,-6.5,TCU -6.5,fanduel,-110.0,SportsGameOdds,actual,,28.0,"1xbet,ballybet,betfairsportsbook,betmgm,betonline,betparx,betrivers,betsson,bovada,caesars,casumo,coolbet,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,nordicbet,paddypower,pointsbet,sportsbet,tabtouch,unibet,virginbet",49.5,fanduel,-114.0,-106.0,2026-07-03T00:15:22.288Z,True,True,0.4800000000000004,-0.10000000000000142
g6,0,2026-08-29,Memphis,UNLV,3.6975,58.95,-4.5,UNLV -4.5,fanduel,-115.0,SportsGameOdds,actual,,26.0,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,betsson,bovada,caesars,casumo,coolbet,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,nordicbet,pointsbet,sportsbet,tabtouch,unibet,virginbet",58.5,fanduel,-115.0,-105.0,2026-07-03T00:15:22.288Z,True,True,-0.8025000000000002,0.45000000000000284
g7,0,2026-08-29,San Jose State,USC,34.77,55.2,-35.5,USC -35.5,fanduel,-105.0,SportsGameOdds,actual,,15.0,"1xbet,betmgm,betonline,betsson,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,sportsbet",58.5,fanduel,-115.0,-105.0,2026-07-03T00:15:22.288Z,True,True,-0.7299999999999969,-3.299999999999997
g8,0,2026-08-29,NC State,Virginia,3.6025,51.1,-5.5,Virginia -5.5,fanduel,-110.0,SportsGameOdds,actual,,25.0,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,betsson,bovada,caesars,casumo,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,nordicbet,pointsbet,sportsbet,tabtouch,unibet,virginbet",54.5,betmgm,-110.0,-110.0,2026-07-03T00:15:04.000Z,True,True,-1.8975,-3.3999999999999986
g9,1,2026-09-03,UAlbany,Buffalo,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g10,1,2026-09-03,Bethune-Cookman,Central Florida,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g11,1,2026-09-03,Merrimack,Delaware,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g12,1,2026-09-03,Colorado,Georgia Tech,7.66,51.7,-7.5,Georgia Tech -7.5,fanduel,-102.0,SportsGameOdds,actual,,16.0,"1xbet,betmgm,betonline,betsson,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,pointsbet,sportsbet",51.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,0.16000000000000014,0.20000000000000284
g13,1,2026-09-03,West Georgia,Kennesaw State,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g14,1,2026-09-03,Eastern Illinois,Minnesota,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g15,1,2026-09-03,UAPB,Missouri,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g16,1,2026-09-03,Massachusetts,Rutgers,31.105,54.4,-30.5,Rutgers -30.5,fanduel,-115.0,SportsGameOdds,actual,,15.0,"1xbet,betmgm,betonline,betsson,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,pointsbet,sportsbet",54.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,0.6050000000000004,-0.10000000000000142
g17,1,2026-09-03,Idaho,Utah,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g18,1,2026-09-03,Akron,Wake Forest,24.805,44.9,-22.5,Wake Forest -22.5,fanduel,-115.0,SportsGameOdds,actual,,16.0,"1xbet,betmgm,betonline,betsson,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,pointsbet,sportsbet",49.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,2.3049999999999997,-4.600000000000001
g19,1,2026-09-04,San Jose State,Eastern Michigan,0.6075,51.4,-3.5,Eastern Michigan -3.5,fanduel,-106.0,SportsGameOdds,actual,,12.0,"1xbet,betonline,betsson,bovada,caesars,coolbet,draftkings,fanduel,hardrockbet,lowvig,nordicbet,sportsbet",54.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,-2.8925,-3.1000000000000014
g20,1,2026-09-04,North Carolina A&T,Georgia State,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g21,1,2026-09-04,LIU,Kansas,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g22,1,2026-09-04,Miami-FL,Stanford,-24.8075,47.4,21.5,Miami-FL -21.5,fanduel,-115.0,SportsGameOdds,actual,,12.0,"1xbet,betonline,betsson,bovada,caesars,draftkings,fanduel,hardrockbet,lowvig,nordicbet,pointsbet,sportsbet",49.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,-3.307500000000001,-2.1000000000000014
g23,1,2026-09-05,Duquesne,Air Force,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g24,1,2026-09-05,East Carolina,Alabama,23.7925,47.05,-25.5,Alabama -25.5,fanduel,-115.0,SportsGameOdds,actual,,24.0,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,bovada,caesars,casumo,coolbet,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,pointsbet,sportsbet,tabtouch,unibet,virginbet",54.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,-1.7074999999999996,-7.450000000000003
g25,1,2026-09-05,Maine,Appalachian State,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g26,1,2026-09-05,Northern Arizona,Arizona,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g27,1,2026-09-05,Morgan State,Arizona State,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g28,1,2026-09-05,North Alabama,Arkansas,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g29,1,2026-09-05,Bryant,Army,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g30,1,2026-09-05,Baylor,Auburn,7.255,53.2,-7.5,Auburn -7.5,fanduel,-110.0,SportsGameOdds,actual,,28.0,"1xbet,ballybet,betfairsportsbook,betmgm,betonline,betparx,betrivers,betsson,bovada,caesars,casumo,coolbet,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,nordicbet,paddypower,pointsbet,sportsbet,tabtouch,unibet,virginbet",59.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,-0.2450000000000001,-6.299999999999997
g31,1,2026-09-05,Utah Tech,BYU,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g32,1,2026-09-05,Tarleton State,Bowling Green,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g33,1,2026-09-05,UCLA,California,1.6675,53.65,-1.5,California -1.5,fanduel,-110.0,SportsGameOdds,actual,,26.0,"1xbet,ballybet,betfairsportsbook,betmgm,betonline,betparx,betrivers,bovada,caesars,casumo,coolbet,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,paddypower,pointsbet,sportsbet,tabtouch,unibet,virginbet",54.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,0.16749999999999998,-0.8500000000000014
g34,1,2026-09-05,The Citadel,Charlotte,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g35,1,2026-09-05,Boston College,Cincinnati,9.44,53.9,-7.5,Cincinnati -7.5,fanduel,100.0,SportsGameOdds,actual,,14.0,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",53.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,1.9399999999999995,0.3999999999999986
