team,conference,rank,combo,avg_total_wins,avg_conference_wins,make_title_game_pct,conference_title_pct,lose_title_game_pct,bowl_eligibility_pct
Ohio State,B1G,1,30.9333,10.4497,7.8088,0.7494,0.5087,0.2408,1.0
Oregon,B1G,2,27.7,9.4083,7.5443,0.6193,0.3088,0.3106,0.9996
Notre Dame,Independent,3,26.9333,11.0528,0.0,0.0,0.0,0.0,1.0
Georgia,SEC,5,26.2333,9.0628,7.1287,0.6376,0.4104,0.2273,0.996
Indiana,B1G,6,25.5333,9.1141,7.1191,0.3606,0.1333,0.2273,0.9989
Texas,SEC,4,26.3333,8.8312,6.5041,0.3933,0.2135,0.1799,0.9921
Texas Tech,B12,8,22.3,10.0255,8.058,0.9061,0.6974,0.2087,0.9997
Miami-FL,ACC,7,22.7,8.9646,7.6896,0.8367,0.6551,0.1816,0.9974
Texas A&M,SEC,9,21.0,7.4556,5.5762,0.1782,0.0791,0.0991,0.9173
LSU,SEC,10,20.7667,7.9131,6.1326,0.287,0.125,0.162,0.9565
Alabama,SEC,11,19.9667,7.3399,5.5715,0.1631,0.064,0.0991,0.8978
Oklahoma,SEC,12,19.0,7.4455,5.0677,0.0859,0.0311,0.0548,0.9075
USC,B1G,13,18.2333,7.9403,5.0327,0.0447,0.01,0.0347,0.97
Michigan,B1G,15,17.2667,7.6303,5.1135,0.0388,0.0073,0.0316,0.9449
Tennessee,SEC,16,15.9667,6.7896,5.063,0.0874,0.0276,0.0598,0.814
Ole Miss,SEC,14,18.0667,6.196,4.565,0.0492,0.0165,0.0327,0.6854
Penn State,B1G,18,15.2667,9.3886,6.4988,0.1194,0.0225,0.0969,0.9985
BYU,B12,19,14.4,7.8926,6.6695,0.4474,0.156,0.2913,0.9537
Florida,SEC,17,15.3,6.0823,4.5021,0.0343,0.0106,0.0237,0.6553
Missouri,SEC,20,14.1333,6.3294,4.646,0.0473,0.0144,0.033,0.7188
Washington,B1G,21,13.6,6.9159,5.0173,0.0315,0.0048,0.0267,0.8575
Iowa,B1G,22,12.7,7.1722,5.3219,0.0252,0.0042,0.0211,0.8968
Clemson,ACC,23,12.6,6.9229,5.1623,0.1385,0.0549,0.0836,0.8375
South Carolina,SEC,26,12.0,5.4776,4.0766,0.0176,0.0041,0.0135,0.49
Utah,B12,28,11.0667,7.6179,5.903,0.2325,0.059,0.1735,0.9251
Auburn,SEC,24,12.2,5.4235,3.7457,0.0109,0.0025,0.0085,0.4737
Louisville,ACC,27,11.4,7.1042,6.1078,0.3223,0.0979,0.2245,0.8486
SMU,ACC,25,12.1333,7.318,6.22,0.3228,0.0992,0.2236,0.9082
Kansas State,B12,32,8.5667,7.5887,5.753,0.1418,0.033,0.1088,0.9194
Arizona,B12,30,8.7,6.6081,4.8113,0.0722,0.0169,0.0552,0.7848
Vanderbilt,SEC,29,9.6,5.3171,3.6654,0.0076,0.0014,0.0062,0.4446
Virginia Tech,ACC,34,8.3333,6.4634,4.9757,0.0896,0.0288,0.0608,0.7463
Illinois,B1G,35,8.2667,6.0338,4.4162,0.0052,0.0004,0.0048,0.6545
TCU,B12,37,7.9667,6.1231,4.5517,0.0596,0.0122,0.0474,0.6651
Florida State,ACC,33,8.4667,5.5246,3.9674,0.0319,0.0091,0.0228,0.5029
Houston,B12,31,8.6333,6.2758,4.5662,0.0368,0.0083,0.0285,0.7057
Nebraska,B1G,36,8.1667,5.0711,3.1761,0.0007,0.0,0.0007,0.3655
Oklahoma State,B12,43,5.7,5.5761,4.6432,0.0381,0.0077,0.0304,0.5243
Boise State,PAC12,42,5.8333,8.0574,6.4406,0.8721,0.6974,0.1746,0.97
Virginia,ACC,38,7.8333,6.4604,4.8205,0.0655,0.0135,0.052,0.7397
Pittsburgh,ACC,39,7.7,5.8325,4.3717,0.0348,0.0101,0.0247,0.5896
Arizona State,B12,40,6.6333,4.9841,4.0492,0.0193,0.0036,0.0156,0.3613
Georgia Tech,ACC,44,5.3333,5.0046,3.9967,0.0162,0.0036,0.0126,0.368
Duke,ACC,53,3.7,5.6485,4.4374,0.0319,0.0074,0.0245,0.5402
Minnesota,B1G,50,4.6333,4.9843,3.4097,0.0011,0.0,0.0011,0.3555
UCLA,B1G,51,4.6,5.9174,3.8261,0.0014,0.0001,0.0013,0.6106
Arkansas,SEC,49,4.7,3.066,1.9727,0.0003,0.0,0.0003,0.0362
NC State,ACC,47,4.9333,6.1217,4.8621,0.0638,0.0129,0.0509,0.6579
Northwestern,B1G,54,3.6,4.3686,2.7238,0.0001,0.0,0.0001,0.1912
Baylor,B12,45,5.2,4.9102,3.7285,0.0101,0.0017,0.0084,0.3426
Cincinnati,B12,57,3.0667,4.7683,3.3518,0.0091,0.0013,0.0077,0.3086
Mississippi State,SEC,48,4.8,3.3671,1.9839,0.0002,0.0,0.0002,0.0559
Kentucky,SEC,41,6.0333,3.0931,1.7989,0.0001,0.0,0.0001,0.0372
Maryland,B1G,60,2.5667,4.8161,3.5853,0.0011,0.0,0.0011,0.3207
North Carolina,ACC,55,3.6,4.2787,3.0225,0.0056,0.0011,0.0045,0.198
California,ACC,58,2.8667,5.0422,4.033,0.0225,0.0036,0.0189,0.3837
Kansas,B12,52,3.9667,4.6357,3.3681,0.0082,0.001,0.0072,0.2725
Wake Forest,ACC,56,3.1333,5.1674,3.5539,0.0142,0.0024,0.0117,0.4053
UNLV,MW,63,1.2667,8.9176,5.9831,0.6782,0.4437,0.2345,0.9891
Central Florida,B12,59,2.5667,4.951,3.6383,0.0103,0.001,0.0093,0.3514
Rutgers,B1G,64,0.8,4.2449,2.7191,0.0004,0.0,0.0004,0.182
Wisconsin,B1G,46,5.0,4.3359,3.3837,0.0007,0.0,0.0007,0.1993
Navy,American,65,0.4333,7.3202,6.15,0.5759,0.3595,0.2164,0.912
Iowa State,B12,68,0.0333,4.1395,3.1091,0.0041,0.0004,0.0037,0.173
Colorado,B12,62,1.3333,3.4795,2.8118,0.0024,0.0003,0.0021,0.0917
West Virginia,B12,61,1.8333,4.231,2.9872,0.0022,0.0001,0.0021,0.1851
Michigan State,B1G,67,0.1333,4.2903,2.5394,0.0001,0.0,0.0001,0.1889
New Mexico,MW,75,-2.0333,7.0188,5.2505,0.4456,0.209,0.2366,0.8627
Syracuse,ACC,69,-0.5667,3.5033,2.7275,0.003,0.0003,0.0027,0.0847
Memphis,American,71,-1.5,6.5508,5.2343,0.2956,0.1527,0.1429,0.77
San Diego State,PAC12,66,0.4,6.07,4.5062,0.3479,0.1101,0.2378,0.6473
North Dakota State,MW,84,-4.1667,7.6801,5.1845,0.0,0.0,0.0,0.9466
Boston College,ACC,81,-3.4667,2.8237,2.0558,0.0002,0.0,0.0002,0.0285
UTSA,American,79,-2.7667,6.6527,5.3369,0.2979,0.1488,0.1491,0.7879
Stanford,ACC,78,-2.7333,2.606,1.9961,0.0004,0.0001,0.0003,0.0183
East Carolina,American,77,-2.1,6.9418,5.5286,0.2819,0.1284,0.1535,0.8538
James Madison,Sun Belt,72,-1.8667,7.0902,5.9676,0.5128,0.3486,0.1642,0.8795
Fresno State,PAC12,70,-0.9333,6.9684,4.3141,0.2759,0.0833,0.1926,0.8373
Air Force,MW,87,-5.5333,7.1853,5.4266,0.4496,0.2065,0.2431,0.8753
South Florida,American,75,-2.0333,7.2026,4.6538,0.1493,0.0668,0.0825,0.8816
Miami-OH,MAC,91,-6.8333,7.762,6.4674,0.7322,0.5253,0.2068,0.9561
Purdue,B1G,73,-1.9667,2.1451,1.7643,0.0,0.0,0.0,0.0055
Army,American,80,-3.2667,6.1664,4.6699,0.1468,0.0613,0.0855,0.6607
Hawaii,MW,85,-4.2,7.5137,5.0831,0.3039,0.1148,0.1891,0.9177
Washington State,PAC12,82,-3.6667,4.1057,3.7731,0.1574,0.0382,0.1192,0.169
Western Kentucky,CUSA,89,-6.2,6.9244,6.2494,0.6487,0.3777,0.271,0.8889
Tulane,American,74,-2.0,6.6474,4.6988,0.1154,0.0451,0.0703,0.7908
Old Dominion,Sun Belt,86,-4.9333,6.3747,5.2357,0.2777,0.1419,0.1359,0.7241
Texas State,PAC12,83,-4.0667,4.8081,3.6389,0.1253,0.0264,0.0989,0.3204
Troy,Sun Belt,92,-7.0333,6.5188,5.0226,0.2182,0.1042,0.114,0.7727
Oregon State,PAC12,96,-8.1333,4.5193,3.5688,0.118,0.0249,0.0931,0.2468
Liberty,CUSA,93,-7.5333,7.7635,6.1068,0.5687,0.3089,0.2598,0.9644
Marshall,Sun Belt,95,-8.0,6.9791,5.1582,0.208,0.0978,0.1102,0.875
Florida Atlantic,American,101,-9.0333,5.2792,3.5962,0.0403,0.0124,0.028,0.4397
Western Michigan,MAC,90,-6.5,6.165,5.3026,0.372,0.1826,0.1894,0.6854
Tulsa,American,98,-8.9667,5.1984,3.9701,0.0433,0.0128,0.0305,0.4098
Jacksonville State,CUSA,98,-8.9667,7.1366,5.6934,0.3378,0.1502,0.1876,0.8852
Utah State,PAC12,88,-6.0667,3.4825,2.8605,0.0504,0.0099,0.0405,0.0793
Colorado State,PAC12,106,-10.4667,3.8139,2.8977,0.053,0.0098,0.0432,0.1323
Louisiana Tech,Sun Belt,97,-8.8333,5.3465,4.7821,0.1598,0.0658,0.094,0.4577
Arkansas State,Sun Belt,104,-9.5667,6.2707,5.3178,0.2102,0.0847,0.1255,0.7127
Temple,American,103,-9.4,5.1298,3.9005,0.0324,0.0087,0.0236,0.386
Georgia Southern,Sun Belt,105,-9.7667,4.946,4.3697,0.1057,0.0456,0.0602,0.352
Louisiana,Sun Belt,102,-9.2333,7.1007,5.3467,0.218,0.0849,0.133,0.8825
Kennesaw State,CUSA,108,-10.8333,6.7031,5.3831,0.2943,0.121,0.1733,0.8282
Wyoming,MW,113,-12.0,5.2029,3.6324,0.0759,0.0181,0.0578,0.4201
Connecticut,Independent,111,-11.1,4.1613,0.0,0.0,0.0,0.0,0.1665
Toledo,MAC,94,-7.7,6.1274,5.1845,0.267,0.0914,0.1755,0.6657
North Texas,American,98,-8.9667,4.2325,3.7451,0.0178,0.0032,0.0147,0.168
Buffalo,MAC,115,-13.0667,5.2156,4.7017,0.1695,0.0595,0.11,0.4239
Appalachian State,Sun Belt,110,-10.9333,5.1403,3.9274,0.0383,0.0122,0.0261,0.3884
Nevada,MW,118,-14.0667,4.3518,3.1075,0.0314,0.0058,0.0256,0.2049
Central Michigan,MAC,114,-12.6,5.1036,4.4533,0.1234,0.0437,0.0797,0.3925
Delaware,CUSA,107,-10.7,4.5911,3.9423,0.067,0.021,0.046,0.2546
Bowling Green,MAC,120,-14.9,4.8849,4.4553,0.0966,0.0314,0.0652,0.3137
South Alabama,Sun Belt,112,-11.5333,4.6263,3.7442,0.0333,0.0096,0.0237,0.2719
Ohio,MAC,108,-10.8333,5.5301,4.6671,0.1285,0.0402,0.0884,0.5102
Florida International,CUSA,117,-13.7667,5.0619,4.2267,0.0472,0.0127,0.0345,0.3647
Coastal Carolina,Sun Belt,116,-13.2333,3.9833,3.1783,0.0175,0.0047,0.0127,0.1541
Rice,American,119,-14.4333,2.7131,2.199,0.0026,0.0003,0.0023,0.026
Eastern Michigan,MAC,122,-15.0667,5.1187,4.3612,0.0783,0.0205,0.0578,0.3944
San Jose State,MW,120,-14.9,3.4524,2.5758,0.0123,0.0018,0.0105,0.0774
New Mexico State,CUSA,125,-16.8333,3.7945,3.5754,0.0338,0.0081,0.0257,0.1063
UAB,American,126,-17.2667,3.0145,2.0256,0.0007,0.0,0.0007,0.0233
Northern Illinois,MW,128,-17.7667,2.6364,1.9716,0.0021,0.0002,0.0019,0.0116
Missouri State,CUSA,124,-15.9667,2.5182,2.3311,0.0023,0.0003,0.0019,0.0078
Akron,MAC,129,-18.1,2.9413,2.82,0.0094,0.002,0.0074,0.0261
Kent State,MAC,132,-20.0333,3.0841,2.9976,0.0108,0.0022,0.0086,0.0324
UTEP,MW,130,-19.3667,1.9935,1.7851,0.0009,0.0,0.0009,0.0025
Sacramento State,MAC,127,-17.4333,3.259,3.0541,0.0102,0.0011,0.0091,0.0504
Southern Miss,Sun Belt,123,-15.3667,1.8127,1.5099,0.0003,0.0,0.0003,0.0021
UL-Monroe,Sun Belt,134,-21.1333,1.831,1.4494,0.0001,0.0,0.0001,0.0028
Georgia State,Sun Belt,131,-19.9,1.4103,0.9903,0.0,0.0,0.0,0.0006
Ball State,MAC,135,-21.8333,2.3423,2.3099,0.0021,0.0002,0.0019,0.0068
Middle Tennessee,CUSA,133,-21.0,1.4022,1.2011,0.0001,0.0,0.0,0.0004
Sam Houston,CUSA,136,-22.9333,1.3851,1.2907,0.0001,0.0,0.0001,0.0001
Massachusetts,MAC,138,-26.0667,1.2934,1.2252,0.0,0.0,0.0,0.0003
Charlotte,American,137,-23.4333,0.4094,0.2913,0.0,0.0,0.0,0.0
