rating_date,season,team,spplus,fpi,teamrankings,kford,bradpowers,power_rating,spplus_weight,fpi_weight,teamrankings_weight,kford_weight,bradpowers_weight,power_rank
2026-04-29,2026,Air Force,-2.4,,,,,-2.4,1.0,0.0,0.0,0.0,0.0,79
2026-04-29,2026,Akron,-19.5,,,,,-19.5,1.0,0.0,0.0,0.0,0.0,127
2026-04-29,2026,Alabama,18.2,,,,,18.2,1.0,0.0,0.0,0.0,0.0,11
2026-04-29,2026,Appalachian State,-12.1,,,,,-12.1,1.0,0.0,0.0,0.0,0.0,111
2026-04-29,2026,Arizona,10.2,,,,,10.2,1.0,0.0,0.0,0.0,0.0,30
2026-04-29,2026,Arizona State,6.4,,,,,6.4,1.0,0.0,0.0,0.0,0.0,42
2026-04-29,2026,Arkansas,5.0,,,,,5.0,1.0,0.0,0.0,0.0,0.0,47
2026-04-29,2026,Arkansas State,-8.5,,,,,-8.5,1.0,0.0,0.0,0.0,0.0,101
2026-04-29,2026,Army,-3.0,,,,,-3.0,1.0,0.0,0.0,0.0,0.0,83
2026-04-29,2026,Auburn,11.2,,,,,11.2,1.0,0.0,0.0,0.0,0.0,26
2026-04-29,2026,BYU,15.5,,,,,15.5,1.0,0.0,0.0,0.0,0.0,18
2026-04-29,2026,Ball State,-25.2,,,,,-25.2,1.0,0.0,0.0,0.0,0.0,134
2026-04-29,2026,Baylor,4.5,,,,,4.5,1.0,0.0,0.0,0.0,0.0,50
2026-04-29,2026,Boise State,6.8,,,,,6.8,1.0,0.0,0.0,0.0,0.0,39
2026-04-29,2026,Boston College,-1.5,,,,,-1.5,1.0,0.0,0.0,0.0,0.0,73
2026-04-29,2026,Bowling Green,-13.3,,,,,-13.3,1.0,0.0,0.0,0.0,0.0,115
2026-04-29,2026,Buffalo,-11.9,,,,,-11.9,1.0,0.0,0.0,0.0,0.0,110
2026-04-29,2026,California,3.7,,,,,3.7,1.0,0.0,0.0,0.0,0.0,56
2026-04-29,2026,Central Florida,2.3,,,,,2.3,1.0,0.0,0.0,0.0,0.0,60
2026-04-29,2026,Central Michigan,-12.4,,,,,-12.4,1.0,0.0,0.0,0.0,0.0,113
2026-04-29,2026,Charlotte,-32.4,,,,,-32.4,1.0,0.0,0.0,0.0,0.0,138
2026-04-29,2026,Cincinnati,4.5,,,,,4.5,1.0,0.0,0.0,0.0,0.0,50
2026-04-29,2026,Clemson,12.8,,,,,12.8,1.0,0.0,0.0,0.0,0.0,23
2026-04-29,2026,Coastal Carolina,-13.8,,,,,-13.8,1.0,0.0,0.0,0.0,0.0,119
2026-04-29,2026,Colorado,0.9,,,,,0.9,1.0,0.0,0.0,0.0,0.0,65
2026-04-29,2026,Colorado State,-8.3,,,,,-8.3,1.0,0.0,0.0,0.0,0.0,99
2026-04-29,2026,Connecticut,-11.2,,,,,-11.2,1.0,0.0,0.0,0.0,0.0,107
2026-04-29,2026,Delaware,-13.0,,,,,-13.0,1.0,0.0,0.0,0.0,0.0,114
2026-04-29,2026,Duke,5.7,,,,,5.7,1.0,0.0,0.0,0.0,0.0,44
2026-04-29,2026,East Carolina,-2.0,,,,,-2.0,1.0,0.0,0.0,0.0,0.0,76
2026-04-29,2026,Eastern Michigan,-15.0,,,,,-15.0,1.0,0.0,0.0,0.0,0.0,121
2026-04-29,2026,Florida,14.9,,,,,14.9,1.0,0.0,0.0,0.0,0.0,19
2026-04-29,2026,Florida Atlantic,-7.1,,,,,-7.1,1.0,0.0,0.0,0.0,0.0,94
2026-04-29,2026,Florida International,-13.7,,,,,-13.7,1.0,0.0,0.0,0.0,0.0,118
2026-04-29,2026,Florida State,8.8,,,,,8.8,1.0,0.0,0.0,0.0,0.0,35
2026-04-29,2026,Fresno State,-2.3,,,,,-2.3,1.0,0.0,0.0,0.0,0.0,78
2026-04-29,2026,Georgia,25.5,,,,,25.5,1.0,0.0,0.0,0.0,0.0,4
2026-04-29,2026,Georgia Southern,-8.9,,,,,-8.9,1.0,0.0,0.0,0.0,0.0,103
2026-04-29,2026,Georgia State,-25.1,,,,,-25.1,1.0,0.0,0.0,0.0,0.0,133
2026-04-29,2026,Georgia Tech,6.0,,,,,6.0,1.0,0.0,0.0,0.0,0.0,43
2026-04-29,2026,Hawaii,-3.9,,,,,-3.9,1.0,0.0,0.0,0.0,0.0,84
2026-04-29,2026,Houston,8.2,,,,,8.2,1.0,0.0,0.0,0.0,0.0,36
2026-04-29,2026,Illinois,9.3,,,,,9.3,1.0,0.0,0.0,0.0,0.0,33
2026-04-29,2026,Indiana,24.5,,,,,24.5,1.0,0.0,0.0,0.0,0.0,5
2026-04-29,2026,Iowa,13.6,,,,,13.6,1.0,0.0,0.0,0.0,0.0,22
2026-04-29,2026,Iowa State,1.0,,,,,1.0,1.0,0.0,0.0,0.0,0.0,64
2026-04-29,2026,Jacksonville State,-7.7,,,,,-7.7,1.0,0.0,0.0,0.0,0.0,97
