path,market,relevant_columns,max_populated_rows,rows,games
/Users/jameslindesmith/NCAAF_AUTO/data/audit/actionnetwork_visible_dk_win_totals_audit.csv,total,body_has_total_wins,1,1,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/draftkings_win_total_anomalies_vs_other_books.csv,total,win_total | win_total_num,59,59,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/duplicate_team_book_win_total_rows_latest.csv,total,win_total,54,54,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/duplicate_team_book_win_totals_latest.csv,total,unique_win_totals,27,27,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260620_030138.csv,total,win_total,470,470,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260620_120026.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260621_014037.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260621_120036.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260622_120302.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260623_120357.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260624_121028.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260625_121417.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260626_121329.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_120706.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_140800.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_141557.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_152014.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260628_120743.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260629_120553.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260630_121943.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260630_151344.csv,total,win_total,277,277,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_120025.csv,total,win_total,277,277,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_155557.csv,total,win_total,277,277,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_161300.csv,total,win_total,277,277,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_162952.csv,total,win_total,277,277,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_163224.csv,total,win_total,277,277,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_163835.csv,total,win_total,277,277,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_164022.csv,total,win_total,277,277,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_165639.csv,total,win_total,277,277,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_180752.csv,total,win_total,277,277,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_185701.csv,total,win_total,277,277,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_195610.csv,total,win_total,277,277,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_200752.csv,total,win_total,277,277,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260702_120949.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260703_050345.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260703_120405.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260704_120308.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260705_121112.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260706_120020.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260707_120940.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260708_120343.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260709_120419.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260710_120052.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260711_121150.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260712_012558.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260712_120221.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260713_120346.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260714_120051.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260715_120025.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260716_120021.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260717_120025.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260717_170905.csv,total,win_total,279,279,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260718_120022.csv,total,win_total,279,279,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260719_120021.csv,total,win_total,279,279,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260720_120454.csv,total,win_total,279,279,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_120026.csv,total,win_total,279,279,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_143625.csv,total,win_total,279,279,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_145229.csv,total,win_total,279,279,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_151508.csv,total,win_total,279,279,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_171856.csv,total,win_total,279,279,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260722_022024.csv,total,win_total,279,279,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260722_120024.csv,total,win_total,279,279,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260723_120021.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260724_120025.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260725_032646.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260725_120026.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260726_120024.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260727_120025.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260728_120024.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/projection_market_edge_audit.csv,spread,market_spread_home | market_spread_home_source | market_spread_home_raw | has_projection_spread | has_market_spread,902,902,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/audit/projection_market_edge_audit.csv,total,projected_total | projected_total_source | projected_total_raw | market_total | market_total_source | market_total_raw | total_edge | total_side | has_projection_total | has_market_total | has_total_edge,902,902,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/audit/quarantined_market_win_totals_history.csv,total,win_total,138,138,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/quarantined_market_win_totals_import.csv,total,win_total,138,138,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/sgo_odds_inventory.csv,spread,book_spread,132,462,68.0
/Users/jameslindesmith/NCAAF_AUTO/data/audit/sgo_odds_inventory.csv,total,book_over_under,176,462,68.0
/Users/jameslindesmith/NCAAF_AUTO/data/audit/site_market_data_audit.csv,spread,market_spread_home | market_spread_text | market_spread_book | market_spread_price | has_actual_market_spread | spread_edge_home_if_actual,902,902,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/audit/site_market_data_audit.csv,total,projected_total | market_total | market_total_book | market_total_over_price | market_total_under_price | market_total_last_update | has_actual_market_total | total_edge_if_actual,902,902,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/audit/suspect_current_win_total_board_by_book.csv,total,win_total,261,261,
/Users/jameslindesmith/NCAAF_AUTO/data/audits/game_line_history_audit.csv,spread,spread_columns,1,2,
/Users/jameslindesmith/NCAAF_AUTO/data/audits/game_line_history_audit.csv,total,total_columns,1,2,
/Users/jameslindesmith/NCAAF_AUTO/data/bets/market_clv_match_audit.csv,total,win_total_rows,7,7,
/Users/jameslindesmith/NCAAF_AUTO/data/history/game_line_model_history.csv,spread,market_spread_home | market_spread_open_home | model_spread_home | market_spread_book | market_spread_last_update,765,902,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/history/game_line_model_history.csv,total,market_total | market_total_open | projected_total | market_total_book | market_total_last_update,765,902,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/history/matchup_line_history_clean.csv,spread,market_spread_home | market_spread_open_home | market_spread_text | market_spread_price | market_spread_book | market_spread_last_update | model_spread_home,4233,4541,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/history/matchup_line_history_clean.csv,total,market_total | market_total_open | market_total_book | market_total_over_price | market_total_under_price | market_total_last_update | projected_total,4233,4541,902.0
