rule_id,category,market,trigger,historical_record,historical_pct,sample_size,source,source_quality,validated,current_2026_occurrences,strength_values,example_evidence,score_literal,provisional_priority,priority_rationale
P4_G6_EITHER_COMPONENT_25_PLUS,Returning production,Spread,Primary full-game directional signal,50-31,61.7,81.0,Validated RP 2021-2025,Validated,True,11.0,,,,High candidate,Validated rule with 50+ games and 58%+ ATS
P4_G6_DEFENSE_15_PLUS,Returning production,Spread,Supporting context only,46-32,59.0,78.0,Validated RP 2021-2025,Validated,True,5.0,,,,High candidate,Validated rule with 50+ games and 58%+ ATS
P4_P4_OVERALL_15_TO_24_9__FAVORITE_CONTEXT,Returning production,Spread,RP team is favorite; context only,17-17-1,50.0,35.0,Validated RP 2021-2025,Validated,True,0.0,,,,Exclude or context,Historical performance/sample does not clear provisional floor
P4_P4_OVERALL_15_TO_24_9,Returning production,Spread,Directional only when RP team is underdog,12-5,70.6,17.0,Validated RP 2021-2025,Validated,True,4.0,,,,Medium candidate,15+ games and 60%+ ATS/O-U
travel_1h,Schedule spot,1H,Travel / 1H travel angle,2024-25,29.0,2049.0,matchups_view angles,Historical angle,False,30.0,medium,"1H Travel: road fav start: 2024-25 Big Ten/ACC 3+ TZ traveler favorites went 17-7 1H ATS, 70.8%, +3.73 ATS margin. Supports traveler 1H favorite only.",,Exclude or context,Historical performance/sample does not clear provisional floor
coach_ats,Coach trend,Total,Coach ATS support,49-38-4,59.4,117.0,matchups_view angles,Historical angle,False,246.0,high | medium,"Mike Norvell Full Game Favorite: 44-36 ATS (55.0%), avg ATS margin +2.0 over 80 games. Supports Florida State.",,Medium candidate,30+ games and 55%+ ATS/O-U
coach_ats,Coach trend,Total,Coach ATS fade,16-21-1,42.2,67.0,matchups_view angles,Historical angle,False,57.0,high | medium,"Chris Creighton Full Game Favorite: 21-27 ATS (43.8%), avg ATS margin -2.9 over 48 games. Supports Sacramento State by fading Eastern Michigan.",,Exclude or context,Historical performance/sample does not clear provisional floor
High Overall RP vs Low Overall RP,Returning production,Total,Notre Dame returning production edge,18-21-1,72.0,40.0,matchups_view angles,Historical angle,False,1.0,Fade,"Notre Dame triggers High Overall RP vs Low Overall RP vs Rice. 2026 RP: Notre Dame overall 72.0% #1, off 67.0% #19, def 77.0% #2. Opponent RP: overall 39.0% #120, off 40.0% #113, def 38.0% #113. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Overall RP vs Low Overall RP,Returning production,Total,Maryland returning production edge,18-21-1,71.0,40.0,matchups_view angles,Historical angle,False,1.0,Fade,"Maryland triggers High Overall RP vs Low Overall RP vs Connecticut. 2026 RP: Maryland overall 71.0% #2, off 68.0% #17, def 74.0% #4. Opponent RP: overall 31.0% #134, off 25.0% #131, def 37.0% #117. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
High Overall RP vs Low Overall RP,Returning production,Total,Nebraska returning production edge,18-21-1,69.0,40.0,matchups_view angles,Historical angle,False,2.0,Fade,"Nebraska triggers High Overall RP vs Low Overall RP vs Ohio. 2026 RP: Nebraska overall 69.0% #3, off 69.0% #14, def 69.0% #7. Opponent RP: overall 33.0% #129, off 18.0% #138, def 48.0% #81. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.",,Medium candidate,30+ games and 55%+ ATS/O-U
