season,game_id,date,team,opponent,home_away,team_spread,team_points,opp_points,team_margin,total_line,total_points,book,team_key,fav_dog,ats_margin,ats_result,total_margin,total_result,historical_team,coach,current_team,historical_team_key
2013,332412579,2013-08-29T22:00:00.000Z,South Carolina,North Carolina,Home,-11.5,27.0,10.0,17.0,,37.0,consensus,south carolina,Favorite,5.5,W,,,South Carolina,Steve Spurrier,South Carolina,south carolina
2013,332412579,2013-08-29T22:00:00.000Z,North Carolina,South Carolina,Away,11.5,10.0,27.0,-17.0,,37.0,consensus,north carolina,Underdog,-5.5,L,,,North Carolina,Larry Fedora,North Carolina,north carolina
2013,332410062,2013-08-30T03:00:00.000Z,Hawai'i,USC,Home,21.5,13.0,30.0,-17.0,,43.0,consensus,hawaii,Underdog,4.5,W,,,Hawaii,Norm Chow,Hawaii,hawaii
2013,332410062,2013-08-30T03:00:00.000Z,USC,Hawai'i,Away,-21.5,30.0,13.0,17.0,,43.0,consensus,usc,Favorite,-4.5,L,,,USC,Clay Helton,Georgia Southern,usc
2013,332410062,2013-08-30T03:00:00.000Z,USC,Hawai'i,Away,-21.5,30.0,13.0,17.0,,43.0,consensus,usc,Favorite,-4.5,L,,,USC,Ed Orgeron,LSU,usc
2013,332410062,2013-08-30T03:00:00.000Z,USC,Hawai'i,Away,-21.5,30.0,13.0,17.0,,43.0,consensus,usc,Favorite,-4.5,L,,,USC,Lane Kiffin,Ole Miss,usc
2013,332410189,2013-08-29T23:00:00.000Z,Bowling Green,Tulsa,Home,3.0,34.0,7.0,27.0,,41.0,consensus,bowling green,Underdog,30.0,W,,,Bowling Green,Dave Clawson,Wake Forest,bowling green
2013,332410189,2013-08-29T23:00:00.000Z,Tulsa,Bowling Green,Away,-3.0,7.0,34.0,-27.0,,41.0,consensus,tulsa,Favorite,-30.0,L,,,Tulsa,Bill Blankenship,Tulsa,tulsa
2013,332410135,2013-08-29T23:00:00.000Z,Minnesota,UNLV,Home,-17.0,51.0,23.0,28.0,,74.0,consensus,minnesota,Favorite,11.0,W,,,Minnesota,Jerry Kill,New Mexico State,minnesota
2013,332410135,2013-08-29T23:00:00.000Z,UNLV,Minnesota,Away,17.0,23.0,51.0,-28.0,,74.0,consensus,unlv,Underdog,-11.0,L,,,UNLV,Bobby Hauck,UNLV,unlv
