_source_file,_game_date,away_team,home_team,_away_norm,_home_norm,rows,snapshots,first_snapshot,last_snapshot
data/markets/sgo/sgo_ncaaf_game_odds.csv,2026-08-29,Hawaii,Stanford,hawaii,stanford,1,1,nan,nan
data/markets/sgo/sgo_ncaaf_game_odds.csv,2026-08-29,Jacksonville State,North Dakota State,jacksonville state,north dakota state,1,1,nan,nan
data/markets/sgo/sgo_ncaaf_game_odds.csv,2026-08-29,NC State,Virginia,nc state,virginia,1,1,nan,nan
data/markets/sgo/sgo_ncaaf_game_odds.csv,2026-08-29,New Mexico State,Florida State,new mexico state,florida state,1,1,nan,nan
data/markets/sgo/sgo_ncaaf_game_odds.csv,2026-08-29,North Carolina,TCU,north carolina,tcu,1,1,nan,nan
data/markets/sgo/sgo_ncaaf_game_odds.csv,2026-08-29,Sacramento State,Eastern Michigan,sacramento state,eastern michigan,1,1,nan,nan
data/markets/sgo/sgo_ncaaf_game_odds.csv,2026-08-29,San Jose State,USC,san jose state,usc,1,1,nan,nan
data/markets/sgo/sgo_ncaaf_game_odds.csv,2026-09-03,Akron,Wake Forest,akron,wake forest,1,1,nan,nan
data/markets/sgo/sgo_ncaaf_game_odds.csv,2026-09-04,San Jose State,Eastern Michigan,san jose state,eastern michigan,1,1,nan,nan
data/markets/sgo/sgo_ncaaf_game_odds.csv,2026-09-05,Arkansas State,Memphis,arkansas state,memphis,1,1,nan,nan
data/markets/sgo/sgo_ncaaf_game_odds.csv,2026-09-05,Ball State,Ohio State,ball state,ohio state,1,1,nan,nan
data/markets/sgo/sgo_ncaaf_game_odds.csv,2026-09-05,Baylor,Auburn,baylor,auburn,1,1,nan,nan
data/markets/sgo/sgo_ncaaf_game_odds.csv,2026-09-05,Boise State,Oregon,boise state,oregon,1,1,nan,nan
data/markets/sgo/sgo_ncaaf_game_odds.csv,2026-09-05,Boston College,Cincinnati,boston college,cincinnati,1,1,nan,nan
