team,gap_type,note
Arkansas State,has_qb_rows_no_qb1,Promoted top available QB row from depth_rank=3 as estimated QB1 for injury-alert purposes
Coastal Carolina,no_qb_rows,No QB rows parsed from Ourlads for this team
Connecticut,has_qb_rows_no_qb1,Promoted top available QB row from depth_rank=2 as estimated QB1 for injury-alert purposes
FIU,has_qb_rows_no_qb1,Promoted top available QB row from depth_rank=2 as estimated QB1 for injury-alert purposes
Georgia Southern,has_qb_rows_no_qb1,Promoted top available QB row from depth_rank=2 as estimated QB1 for injury-alert purposes
James Madison,has_qb_rows_no_qb1,Promoted top available QB row from depth_rank=2 as estimated QB1 for injury-alert purposes
Kennesaw State,no_qb_rows,No QB rows parsed from Ourlads for this team
Ohio,has_qb_rows_no_qb1,Promoted top available QB row from depth_rank=2 as estimated QB1 for injury-alert purposes
Sam Houston,no_qb_rows,No QB rows parsed from Ourlads for this team
San Jose State,has_qb_rows_no_qb1,Promoted top available QB row from depth_rank=2 as estimated QB1 for injury-alert purposes
Toledo,has_qb_rows_no_qb1,Promoted top available QB row from depth_rank=2 as estimated QB1 for injury-alert purposes
UMass,no_qb_rows,No QB rows parsed from Ourlads for this team
UNLV,has_qb_rows_no_qb1,Promoted top available QB row from depth_rank=2 as estimated QB1 for injury-alert purposes
UTEP,no_qb_rows,No QB rows parsed from Ourlads for this team
