source,date,away,home,matched,game_id,variant,status,rows
Massey Games,2026-08-29,Hawaii,Stanford,True,g4,,,
Massey Games,2026-08-29,Jacksonville State,North Dakota State,True,g3,,,
Massey Games,2026-08-29,Memphis,UNLV,True,g6,,,
Massey Games,2026-08-29,NC State,Virginia,True,g8,,,
Massey Games,2026-08-29,New Mexico State,Florida State,True,g2,,,
Massey Games,2026-08-29,North Carolina,TCU,True,g5,,,
Massey Games,2026-08-29,Sacramento State,Eastern Michigan,True,g1,,,
Massey Games,2026-08-29,San Jose State,USC,True,g7,,,
Massey Games,2026-09-03,Akron,Wake Forest,True,g18,,,
Massey Games,2026-09-03,Bethune-Cookman,Central Florida,True,g10,,,
Massey Games,2026-09-03,Colorado,Georgia Tech,True,g12,,,
Massey Games,2026-09-03,Eastern Illinois,Minnesota,True,g14,,,
Massey Games,2026-09-03,Idaho,Utah,True,g17,,,
Massey Games,2026-09-03,Massachusetts,Rutgers,True,g16,,,
Massey Games,2026-09-03,UAlbany,Buffalo,True,g9,,,
Massey Games,2026-09-03,West Georgia,Kennesaw State,True,g13,,,
Sagarin Predictions,,Indiana,Miami-FL,False,,standard,,
Sagarin Predictions,,Indiana,Miami-FL,False,,home_away_experimental,,
DRatings Predictions,,,,,,,missing/inactive,0.0
