team,spplus_2025,fpi_2025,teamrankings_2025,kford_2025,bradpowers_2025,source_count_2025,missing_sources_2025,rating_2025_eoy,rank_2025_eoy
Indiana,32.4,31.5,36.3,30.7,32.507941176470595,5,,32.681588235294114,1
Ohio State,30.1,27.6,32.1,30.0,29.257941176470595,5,,29.811588235294117,2
Notre Dame,24.4,25.3,29.8,27.0,28.38794117647059,5,,26.977588235294114,3
Oregon,25.9,23.9,28.6,26.5,25.60794117647059,5,,26.101588235294116,4
Texas Tech,27.6,21.5,28.0,25.7,25.57794117647059,5,,25.675588235294118,5
Miami-FL,20.7,22.4,25.5,22.0,24.697941176470593,5,,23.059588235294118,6
Georgia,24.1,21.4,23.6,22.5,22.85794117647059,5,,22.891588235294115,7
Utah,22.2,20.1,24.0,21.1,18.96794117647059,5,,21.27358823529412,8
Ole Miss,24.0,19.3,21.7,18.9,19.96794117647059,5,,20.77358823529412,9
Texas A&M,20.7,18.4,21.4,20.2,21.507941176470595,5,,20.441588235294116,10
Alabama,14.8,19.0,22.8,21.5,18.207941176470584,5,,19.261588235294116,11
Vanderbilt,20.3,17.0,19.2,17.8,18.49794117647059,5,,18.559588235294118,12
Texas,16.2,18.6,19.6,18.0,20.167941176470592,5,,18.51358823529412,13
USC,16.9,18.0,19.9,19.2,17.13794117647059,5,,18.227588235294117,14
Oklahoma,18.3,15.9,19.1,18.1,17.74794117647059,5,,17.829588235294118,15
Iowa,19.7,15.3,20.0,16.4,16.457941176470584,5,,17.57158823529412,16
Penn State,18.1,15.9,19.5,16.9,15.397941176470596,5,,17.15958823529412,17
Washington,18.4,14.0,17.9,14.6,13.85794117647059,5,,15.751588235294117,18
BYU,15.9,15.3,17.4,15.8,13.437941176470588,5,,15.567588235294119,19
Tennessee,15.0,14.3,15.4,14.9,15.177941176470584,5,,14.955588235294119,20
Michigan,12.4,14.2,16.6,15.9,14.587941176470594,5,,14.737588235294117,21
Missouri,14.4,13.1,14.7,14.3,15.767941176470586,5,,14.453588235294117,22
SMU,13.4,12.5,13.9,12.1,11.60794117647059,5,,12.701588235294118,23
Auburn,11.6,11.1,13.3,12.0,13.717941176470587,5,,12.343588235294117,24
Illinois,12.9,10.0,13.6,11.0,11.557941176470592,5,,11.811588235294119,25
Arizona,12.0,10.1,12.7,11.2,11.38794117647059,5,,11.477588235294117,26
LSU,10.3,10.7,13.5,12.4,9.757941176470595,5,,11.331588235294118,27
Louisville,12.4,10.2,12.0,10.7,9.477941176470594,5,,10.955588235294119,28
South Florida,11.6,11.1,11.2,11.7,9.13794117647059,5,,10.947588235294116,29
Clemson,9.5,9.5,12.9,10.8,10.657941176470588,5,,10.671588235294118,30
James Madison,12.3,10.3,10.8,9.6,9.667941176470592,5,,10.53358823529412,31
Florida State,7.2,9.4,13.3,10.8,9.227941176470594,5,,9.98558823529412,32
TCU,8.3,9.4,10.3,9.0,11.737941176470583,5,,9.747588235294117,33
Virginia,11.1,8.2,9.8,7.5,9.567941176470583,5,,9.233588235294116,34
Iowa State,9.9,8.6,10.2,9.0,8.127941176470586,5,,9.165588235294118,35
North Texas,13.8,7.0,8.3,7.6,8.057941176470592,5,,8.95158823529412,36
South Carolina,5.9,9.0,10.5,9.1,10.13794117647059,5,,8.927588235294118,37
Pittsburgh,8.4,7.7,10.9,9.0,8.337941176470594,5,,8.867588235294118,38
Georgia Tech,9.3,7.6,10.1,7.9,8.517941176470586,5,,8.683588235294117,39
Florida,3.5,8.2,11.7,9.5,10.467941176470587,5,,8.673588235294117,40
Kansas State,7.0,7.8,9.5,8.4,7.867941176470595,5,,8.11358823529412,41
Arkansas,5.1,6.6,8.6,7.8,9.547941176470587,5,,7.529588235294116,42
Duke,6.6,6.4,7.5,5.9,6.6079411764705895,5,,6.601588235294118,43
Nebraska,6.2,5.5,9.7,7.7,3.267941176470586,5,,6.473588235294116,44
Arizona State,3.9,6.3,8.6,7.5,5.937941176470588,5,,6.447588235294117,45
