team,player,position,depth_rank,starter_flag,role,snap_share,usage_share,returning_starter,importance_score,source,last_updated,notes
Ohio State,"Henry Jr., Chris",WR-X,1,True,WR1,,,,5.0,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
Ohio State,"Boyd, Brock",WR-X,2,False,WR2,,,,3.0,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
Ohio State,"Bell, Phillip",WR-X,3,False,WR3,,,,1.5,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
Ohio State,"Adolph, David",WR-X,4,False,WR4,,,,0.5,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
Ohio State,"Smith, Jeremiah",WR-Z,1,True,WR1,,,,5.0,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
Ohio State,"McCuin, Devin",WR-Z,2,False,WR2,,,,3.0,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
Ohio State,"Guilford, Jerquaden",WR-Z,3,False,WR3,,,,1.5,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
Ohio State,"Inniss, Brandon",WR-SL,1,True,WR1,,,,5.0,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
Ohio State,"Parker, Kyle",WR-SL,2,False,WR2,,,,3.0,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
Ohio State,"Jones, De'Zie",WR-SL,3,False,WR3,,,,1.5,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
Ohio State,"Moore, Ian",LT,1,True,OL1,,,,4.0,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
Ohio State,"Greer, Sam",LT,2,False,OL2,,,,2.0,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
Ohio State,"Montgomery, Luke",LG,1,True,OL1,,,,4.0,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
Ohio State,"Cook, Jake",LG,2,False,OL2,,,,2.0,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
Ohio State,"Hinzman, Carson",C,1,True,OL1,,,,4.0,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
Ohio State,"Padilla, Joshua",C,2,False,OL2,,,,2.0,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
Ohio State,"Siereveld, Austin",RG,1,True,OL1,,,,4.0,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
Ohio State,"VanSickle, Gabe",RG,2,False,OL2,,,,2.0,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
Ohio State,"Daniels, Phillip",RT,1,True,OL1,,,,4.0,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
Ohio State,"Lowe, Carter",RT,2,False,OL2,,,,2.0,Ourlads,05/28/2026 12:22PM ET,Ourlads depth chart import
