snapshot_date,season,source,source_file,game_date,game_time,away_team,home_team,raw_away_team,raw_home_team,neutral_site,neutral_location,away_rank,home_rank,away_score_current,home_score_current,away_projected_points,home_projected_points,away_win_prob,home_win_prob,mov_display,projected_spread_home,projected_total,source_url,pulled_at,notes
2026-05-12,2026,Massey Games,massey_games_20260903.txt,2026-08-29,4:00 PM ET,Hawaii,Stanford,Hawaii,Stanford,False,,97.0,83,0.0,0.0,21.0,28.0,0.32,0.68,-7.5,7.0,52.5,https://masseyratings.com/cf/fbs/games,2026-05-13T02:03:10Z,Parsed from manually copied/rendered Massey games table. projected_spread_home calculated from projected points.
2026-05-12,2026,Massey Games,massey_games_20260903.txt,2026-08-29,4:00 PM ET,Jacksonville State,North Dakota State,Jacksonville St,N Dakota St,False,,104.0,71,0.0,0.0,21.0,35.0,0.18,0.82,-14.5,14.0,55.5,https://masseyratings.com/cf/fbs/games,2026-05-13T02:03:10Z,Parsed from manually copied/rendered Massey games table. projected_spread_home calculated from projected points.
2026-05-12,2026,Massey Games,massey_games_20260903.txt,2026-08-29,4:00 PM ET,Memphis,UNLV,Memphis,UNLV,False,,65.0,78,0.0,0.0,29.0,28.0,0.51,0.49,-0.5,-1.0,59.5,https://masseyratings.com/cf/fbs/games,2026-05-13T02:03:10Z,Parsed from manually copied/rendered Massey games table. projected_spread_home calculated from projected points.
2026-05-12,2026,Massey Games,massey_games_20260903.txt,2026-08-29,4:00 PM ET,NC State,Virginia,NC State,Virginia,True,"Rio de Janeiro, Brazil",46.0,44,0.0,0.0,27.0,28.0,0.49,0.51,-1.5,1.0,53.5,https://masseyratings.com/cf/fbs/games,2026-05-13T02:03:10Z,Parsed from manually copied/rendered Massey games table. projected_spread_home calculated from projected points.
2026-05-12,2026,Massey Games,massey_games_20260903.txt,2026-08-29,4:00 PM ET,New Mexico State,Florida State,New Mexico St,Florida St,False,,130.0,36,0.0,0.0,7.0,38.0,0.03,0.97,-30.5,31.0,51.5,https://masseyratings.com/cf/fbs/games,2026-05-13T02:03:10Z,Parsed from manually copied/rendered Massey games table. projected_spread_home calculated from projected points.
2026-05-12,2026,Massey Games,massey_games_20260903.txt,2026-08-29,4:00 PM ET,North Carolina,TCU,North Carolina,TCU,True,"Dublin, Ireland",73.0,28,0.0,0.0,20.0,31.0,0.23,0.77,-11.5,11.0,52.5,https://masseyratings.com/cf/fbs/games,2026-05-13T02:03:10Z,Parsed from manually copied/rendered Massey games table. projected_spread_home calculated from projected points.
2026-05-12,2026,Massey Games,massey_games_20260903.txt,2026-08-29,4:00 PM ET,Sacramento State,Eastern Michigan,CS Sacramento,E Michigan,False,,126.0,123,0.0,0.0,26.0,29.0,0.42,0.58,-3.5,3.0,56.5,https://masseyratings.com/cf/fbs/games,2026-05-13T02:03:10Z,Parsed from manually copied/rendered Massey games table. projected_spread_home calculated from projected points.
2026-05-12,2026,Massey Games,massey_games_20260903.txt,2026-08-29,4:00 PM ET,San Jose State,USC,San Jose St,USC,False,,103.0,14,0.0,0.0,10.0,41.0,0.03,0.97,-30.5,31.0,55.5,https://masseyratings.com/cf/fbs/games,2026-05-13T02:03:10Z,Parsed from manually copied/rendered Massey games table. projected_spread_home calculated from projected points.
2026-05-12,2026,Massey Games,massey_games_20260903.txt,2026-09-03,4:00 PM ET,Akron,Wake Forest,Akron,Wake Forest,False,,131.0,61,0.0,0.0,10.0,37.0,0.05,0.95,-26.5,27.0,50.5,https://masseyratings.com/cf/fbs/games,2026-05-13T02:03:10Z,Parsed from manually copied/rendered Massey games table. projected_spread_home calculated from projected points.
2026-05-12,2026,Massey Games,massey_games_20260903.txt,2026-09-03,4:00 PM ET,Bethune-Cookman,Central Florida,Bethune-Cookman,UCF,False,,,63,0.0,0.0,3.0,48.0,0.0,1.0,-44.5,45.0,53.5,https://masseyratings.com/cf/fbs/games,2026-05-13T02:03:10Z,Parsed from manually copied/rendered Massey games table. projected_spread_home calculated from projected points.
