team,rating,rank,snapshot_date
Ohio State,30.496684782608693,1,2026-07-29
Oregon,27.491684782608694,2,2026-07-29
Notre Dame,27.304184782608694,3,2026-07-29
Georgia,26.196684782608692,4,2026-07-29
Texas,26.081684782608697,5,2026-07-29
Indiana,25.559184782608696,6,2026-07-29
Miami-FL,22.83418478260869,7,2026-07-29
Texas Tech,21.814184782608695,8,2026-07-29
Texas A&M,20.716684782608695,9,2026-07-29
Alabama,19.91668478260869,10,2026-07-29
LSU,19.904184782608695,11,2026-07-29
Oklahoma,19.381684782608694,12,2026-07-29
USC,18.63668478260869,13,2026-07-29
Ole Miss,18.556684782608695,14,2026-07-29
Michigan,17.504184782608693,15,2026-07-29
Tennessee,15.986684782608695,16,2026-07-29
Penn State,15.419184782608692,17,2026-07-29
Florida,14.941684782608695,18,2026-07-29
BYU,14.511684782608693,19,2026-07-29
Washington,13.781684782608693,20,2026-07-29
Missouri,13.661684782608694,21,2026-07-29
Iowa,12.776684782608696,22,2026-07-29
South Carolina,12.736684782608695,23,2026-07-29
Clemson,12.639184782608696,24,2026-07-29
SMU,12.461684782608694,25,2026-07-29
Auburn,12.364184782608694,26,2026-07-29
Utah,11.559184782608696,27,2026-07-29
Louisville,11.189184782608695,28,2026-07-29
Vanderbilt,9.899184782608693,29,2026-07-29
Houston,9.189184782608693,30,2026-07-29
Arizona,8.899184782608693,31,2026-07-29
Florida State,8.889184782608693,32,2026-07-29
Virginia Tech,8.726684782608693,33,2026-07-29
TCU,8.459184782608693,34,2026-07-29
Kansas State,8.431684782608695,35,2026-07-29
Illinois,8.264184782608694,36,2026-07-29
Nebraska,8.131684782608694,37,2026-07-29
Pittsburgh,8.079184782608694,38,2026-07-29
Virginia,7.7641847826086945,39,2026-07-29
Arizona State,6.309184782608695,40,2026-07-29
Kentucky,6.099184782608694,41,2026-07-29
Wisconsin,5.811684782608694,42,2026-07-29
Boise State,5.809184782608693,43,2026-07-29
Oklahoma State,5.731684782608693,44,2026-07-29
Georgia Tech,5.4616847826086925,45,2026-07-29
Mississippi State,5.199184782608695,46,2026-07-29
UCLA,5.196684782608692,47,2026-07-29
Baylor,5.111684782608693,48,2026-07-29
Arkansas,5.084184782608693,49,2026-07-29
NC State,5.036684782608693,50,2026-07-29
Minnesota,4.966684782608693,51,2026-07-29
Kansas,4.109184782608695,52,2026-07-29
Northwestern,4.0541847826086945,53,2026-07-29
Duke,3.3616847826086924,54,2026-07-29
Cincinnati,3.0666847826086925,55,2026-07-29
Wake Forest,3.041684782608693,56,2026-07-29
Maryland,3.0316847826086923,57,2026-07-29
North Carolina,2.866684782608694,58,2026-07-29
Central Florida,2.7641847826086936,59,2026-07-29
California,2.529184782608693,60,2026-07-29
West Virginia,2.2116847826086925,61,2026-07-29
Colorado,1.4441847826086942,62,2026-07-29
Rutgers,1.3091847826086946,63,2026-07-29
UNLV,0.9716847826086947,64,2026-07-29
Michigan State,0.5091847826086942,65,2026-07-29
Navy,0.40668478260869356,66,2026-07-29
San Diego State,-0.14331521739130687,67,2026-07-29
Iowa State,-0.22581521739130606,68,2026-07-29
Syracuse,-0.5583152173913064,69,2026-07-29
Fresno State,-0.7508152173913067,70,2026-07-29
James Madison,-1.6083152173913056,71,2026-07-29
New Mexico,-1.6408152173913062,72,2026-07-29
South Florida,-1.820815217391306,73,2026-07-29
Purdue,-1.8383152173913069,74,2026-07-29
Memphis,-1.8458152173913067,75,2026-07-29
Tulane,-1.8733152173913066,76,2026-07-29
UTSA,-2.2633152173913063,77,2026-07-29
Stanford,-2.4408152173913065,78,2026-07-29
North Dakota State,-2.5977536231884093,79,2026-07-29
East Carolina,-2.6108152173913064,80,2026-07-29
Army,-2.9708152173913054,81,2026-07-29
Texas State,-3.4933152173913067,82,2026-07-29
Boston College,-3.585815217391305,83,2026-07-29
Washington State,-3.6533152173913055,84,2026-07-29
Old Dominion,-4.468315217391305,85,2026-07-29
Hawaii,-4.600815217391306,86,2026-07-29
Air Force,-5.203315217391307,87,2026-07-29
Utah State,-6.090815217391307,88,2026-07-29
Western Michigan,-6.103315217391307,89,2026-07-29
Western Kentucky,-6.748315217391307,90,2026-07-29
Miami-OH,-7.033315217391307,91,2026-07-29
Troy,-7.210815217391306,92,2026-07-29
Liberty,-7.358315217391306,93,2026-07-29
Toledo,-7.410815217391306,94,2026-07-29
Marshall,-7.870815217391308,95,2026-07-29
Florida Atlantic,-8.270815217391306,96,2026-07-29
Oregon State,-8.280815217391307,97,2026-07-29
Tulsa,-8.913315217391307,98,2026-07-29
Jacksonville State,-9.053315217391306,99,2026-07-29
North Texas,-9.053315217391308,100,2026-07-29
Louisiana,-9.138315217391305,101,2026-07-29
Temple,-9.243315217391308,102,2026-07-29
Louisiana Tech,-9.280815217391305,103,2026-07-29
Arkansas State,-9.583315217391307,104,2026-07-29
Georgia Southern,-10.300815217391307,105,2026-07-29
Colorado State,-10.543315217391307,106,2026-07-29
Delaware,-10.825815217391307,107,2026-07-29
Ohio,-11.000815217391306,108,2026-07-29
Kennesaw State,-11.038315217391306,109,2026-07-29
Appalachian State,-11.408315217391307,110,2026-07-29
Connecticut,-11.530815217391305,111,2026-07-29
Wyoming,-11.683315217391307,112,2026-07-29
South Alabama,-11.815815217391307,113,2026-07-29
Central Michigan,-12.708315217391306,114,2026-07-29
Coastal Carolina,-13.545815217391308,115,2026-07-29
Nevada,-13.638315217391307,116,2026-07-29
Florida International,-13.748315217391305,117,2026-07-29
Buffalo,-14.100815217391307,118,2026-07-29
Rice,-14.488315217391307,119,2026-07-29
Eastern Michigan,-14.605815217391305,120,2026-07-29
San Jose State,-15.120815217391305,121,2026-07-29
Bowling Green,-15.138315217391305,122,2026-07-29
Southern Miss,-16.62331521739131,123,2026-07-29
New Mexico State,-16.743315217391306,124,2026-07-29
Missouri State,-16.74831521739131,125,2026-07-29
UAB,-17.018315217391308,126,2026-07-29
Akron,-17.863315217391303,127,2026-07-29
Northern Illinois,-18.268315217391304,128,2026-07-29
Georgia State,-19.380815217391305,129,2026-07-29
UTEP,-19.480815217391307,130,2026-07-29
Kent State,-19.920815217391308,131,2026-07-29
UL-Monroe,-20.260815217391304,132,2026-07-29
Middle Tennessee,-20.503315217391304,133,2026-07-29
Sacramento State,-20.894420289855077,134,2026-07-29
Ball State,-22.278315217391306,135,2026-07-29
Sam Houston,-22.368315217391306,136,2026-07-29
Charlotte,-22.515815217391303,137,2026-07-29
Massachusetts,-25.953315217391307,138,2026-07-29
