team,spplus,spplus_off,spplus_def,team_raw
Air Force,-2.4,25.3,27.7,79. Air Force
Akron,-19.5,13.0,31.9,127. Akron
Alabama,18.2,31.3,12.6,11. Alabama
Appalachian State,-12.1,21.2,33.6,111. App. St.
Arizona,10.2,31.5,20.8,30. Arizona
Arizona State,6.4,28.2,21.2,42. Arizona St.
Arkansas,5.0,34.1,29.3,47. Arkansas
Arkansas State,-8.5,23.7,32.3,101. Arkansas St.
Army,-3.0,24.5,27.6,83. Army
Auburn,11.2,28.4,17.5,26. Auburn
BYU,15.5,33.3,18.1,18. BYU
Ball State,-25.2,12.2,36.7,134. Ball State
Baylor,4.5,32.2,28.3,51. Baylor
Boise State,6.8,29.9,22.8,39. Boise State
Boston College,-1.5,25.4,27.4,74. Boston Coll.
Bowling Green,-13.3,14.8,28.3,115. BGSU
Buffalo,-11.9,15.7,28.1,110. Buffalo
California,3.7,29.2,25.2,56. California
Central Florida,2.3,24.5,22.1,60. UCF
Central Michigan,-12.4,17.4,29.6,113. CMU
Charlotte,-32.4,10.4,42.3,138. Charlotte
Cincinnati,4.5,29.6,25.4,50. Cincinnati
Clemson,12.8,29.5,17.0,23. Clemson
Coastal Carolina,-13.8,21.1,34.4,119. Coastal Caro.
Colorado,0.9,26.3,24.9,65. Colorado
Colorado State,-8.3,18.8,27.0,99. Colorado St.
Connecticut,-11.2,20.3,32.1,107. UConn
Delaware,-13.0,22.7,35.4,114. Delaware
Duke,5.7,32.8,27.5,44. Duke
East Carolina,-2.0,24.2,26.0,76. ECU
Eastern Michigan,-15.0,17.8,32.8,121. EMU
Florida,14.9,30.2,15.9,19. Florida
Florida Atlantic,-7.1,27.2,34.9,94. FAU
Florida International,-13.7,21.5,35.0,118. FIU
Florida State,8.8,29.7,20.6,35. Florida St.
Fresno State,-2.3,20.6,22.9,78. Fresno St.
Georgia,25.5,38.2,13.3,4. Georgia
Georgia Southern,-8.9,23.2,32.1,103. Ga. Southern
Georgia State,-25.1,17.0,41.4,133. Georgia St.
Georgia Tech,6.0,28.8,23.4,43. Ga. Tech
Hawaii,-3.9,25.3,29.8,84. Hawaii
Houston,8.2,31.3,22.8,36. Houston
Illinois,9.3,31.5,22.7,33. Illinois
Indiana,24.5,37.4,13.5,5. Indiana
Iowa,13.6,30.3,17.3,22. Iowa
Iowa State,1.0,22.9,22.4,64. Iowa State
Jacksonville State,-7.7,24.8,32.0,98. J'ville State
James Madison,-2.1,25.0,26.7,77. JMU
Kansas,3.7,29.0,25.9,57. Kansas
Kansas State,10.4,33.1,23.0,29. Kansas St.
Kennesaw State,-9.3,21.3,30.1,105. Kennesaw St.
Kent State,-20.1,15.9,35.5,128. Kent St.
Kentucky,3.8,25.0,21.2,53. Kentucky
LSU,20.2,32.5,12.5,10. LSU
Liberty,-6.4,25.5,31.7,93. Liberty
Louisiana,-9.1,25.2,33.9,104. Louisiana
Louisiana Tech,-8.3,22.3,30.6,100. La. Tech
Louisville,11.0,30.6,19.7,27. Louisville
Marshall,-6.4,28.5,35.2,92. Marshall
Maryland,3.8,26.1,22.7,55. Maryland
Massachusetts,-30.9,9.6,40.1,137. UMass
Memphis,-1.1,28.3,30.0,70. Memphis
Miami-FL,21.0,34.4,13.7,8. Miami
Miami-OH,-2.9,19.5,22.9,81. Miami-OH
Michigan,16.1,32.8,16.2,14. Michigan
Michigan State,0.4,26.7,25.9,67. Michigan St.
Middle Tennessee,-26.0,13.7,39.9,135. MTSU
Minnesota,5.2,25.3,19.5,45. Minnesota
Mississippi State,3.9,30.1,26.7,52. Miss. St.
Missouri,14.8,32.2,16.9,20. Missouri
Missouri State,-18.7,16.7,34.9,126. Missouri St.
NC State,4.9,30.7,25.3,48. NC State
Navy,1.1,27.8,26.9,63. Navy
Nebraska,7.7,29.2,21.5,37. Nebraska
Nevada,-12.2,17.4,30.0,112. Nevada
New Mexico,-0.5,25.3,26.4,68. New Mexico
New Mexico State,-16.4,17.0,33.4,123. NMSU
North Carolina,3.8,24.5,21.1,54. N. Carolina
North Dakota State,-1.4,24.4,25.8,72. NDSU
North Texas,-11.8,23.6,35.2,109. North Texas
Northern Illinois,-18.2,13.8,31.8,125. NIU
Northwestern,4.6,24.5,20.4,49. Northwestern
Notre Dame,25.8,40.2,14.6,3. Notre Dame
Ohio,-13.6,13.3,26.2,117. Ohio
Ohio State,31.8,40.6,8.8,1. Ohio State
Oklahoma,17.2,31.6,14.7,12. Oklahoma
Oklahoma State,7.1,30.0,23.4,38. Oklahoma St.
Old Dominion,-5.8,20.2,25.3,88. ODU
Ole Miss,15.9,35.0,19.7,16. Ole Miss
Oregon,28.3,40.7,12.6,2. Oregon
Oregon State,-6.3,20.9,26.5,91. Oregon St.
Penn State,15.7,33.6,18.6,17. Penn St.
Pittsburgh,6.5,30.2,23.8,41. Pittsburgh
Purdue,-2.9,23.8,27.4,82. Purdue
Rice,-14.7,17.0,32.2,120. Rice
Rutgers,1.8,30.4,28.7,62. Rutgers
SMU,10.9,31.9,20.7,28. SMU
Sacramento State,-22.7,15.1,37.9,130. Sac State
Sam Houston,-26.3,14.1,40.0,136. Sam Houston
San Diego State,-1.3,23.1,25.0,71. SDSU
San Jose State,-15.5,18.6,33.6,122. SJSU
South Alabama,-13.3,22.7,35.4,116. S. Alabama
South Carolina,12.1,29.9,18.4,24. S. Carolina
South Florida,-2.8,27.5,30.1,80. USF
Southern Miss,-23.3,16.4,39.2,131. So. Miss
Stanford,-1.9,22.7,24.0,75. Stanford
Syracuse,-0.7,23.9,25.0,69. Syracuse
TCU,9.1,31.3,21.9,34. TCU
Temple,-8.7,25.2,34.3,102. Temple
Tennessee,16.0,38.7,23.0,15. Tennessee
Texas,23.7,37.6,14.3,6. Texas
Texas A&M,20.3,37.3,16.7,9. Texas A&M
Texas State,-5.9,31.8,37.8,89. Texas St.
Texas Tech,23.1,37.6,14.7,7. Texas Tech
Toledo,-11.5,16.7,27.9,108. Toledo
Troy,-6.0,23.6,29.8,90. Troy
Tulane,-5.5,22.2,28.3,87. Tulane
Tulsa,-7.6,23.5,31.7,96. Tulsa
UAB,-18.1,20.3,37.9,124. UAB
UCLA,5.1,29.0,23.9,46. UCLA
UL-Monroe,-24.3,14.3,37.9,132. UL-Monroe
UNLV,2.8,31.2,28.4,59. UNLV
USC,16.8,37.7,20.5,13. USC
UTEP,-20.5,14.7,34.7,129. UTEP
UTSA,-1.5,29.5,31.2,73. UTSA
Utah,11.9,33.0,21.1,25. Utah
Utah State,-7.7,23.7,30.9,97. Utah St.
Vanderbilt,10.0,33.4,24.1,31. Vanderbilt
Virginia,6.6,26.3,19.9,40. Virginia
Virginia Tech,9.4,31.1,21.5,32. Va. Tech
Wake Forest,3.6,24.2,20.7,58. Wake Forest
Washington,14.5,32.4,17.6,21. Washington
Washington State,-5.3,19.9,25.1,85. Wash. St.
West Virginia,0.8,26.3,25.6,66. W. Virginia
Western Kentucky,-5.3,25.2,31.0,86. WKU
Western Michigan,-7.2,19.0,25.8,95. WMU
Wisconsin,1.8,20.6,18.5,61. Wisconsin
Wyoming,-9.6,16.0,25.0,106. Wyoming
