path,book,rows_for_book,market_types,stage2_matrix_candidate
/Users/jameslindesmith/NCAAF_AUTO/data/audit/bad_win_total_line_moves_2plus.csv,DraftKings,36.0,,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/draftkings_win_total_anomalies_vs_other_books.csv,DraftKings,59.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/duplicate_team_book_win_total_rows_latest.csv,DraftKings,54.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/duplicate_team_book_win_totals_latest.csv,DraftKings,27.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260620_030138.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260620_030138.csv,Caesars,127.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260620_030138.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260620_030138.csv,FanDuel,68.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260620_120026.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260620_120026.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260620_120026.csv,DraftKings,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260621_014037.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260621_014037.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260621_014037.csv,DraftKings,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260621_120036.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260621_120036.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260621_120036.csv,DraftKings,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260622_120302.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260622_120302.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260622_120302.csv,DraftKings,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260623_120357.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260623_120357.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260623_120357.csv,DraftKings,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260624_121028.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260624_121028.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260624_121028.csv,DraftKings,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260625_121417.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260625_121417.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260625_121417.csv,DraftKings,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260626_121329.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260626_121329.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260626_121329.csv,DraftKings,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_120706.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_120706.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_120706.csv,DraftKings,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_140800.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_140800.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_140800.csv,DraftKings,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_141557.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_141557.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_141557.csv,DraftKings,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_152014.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_152014.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_152014.csv,DraftKings,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260628_120743.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260628_120743.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260628_120743.csv,DraftKings,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260629_120553.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260629_120553.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260629_120553.csv,DraftKings,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260630_121943.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260630_121943.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260630_121943.csv,DraftKings,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260630_151344.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260630_151344.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260630_151344.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_120025.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_120025.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_120025.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_155557.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_155557.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_155557.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_161300.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_161300.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_161300.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_162952.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_162952.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_162952.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_163224.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_163224.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_163224.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_163835.csv,BetMGM,137.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_163835.csv,Caesars,2.0,total,False
