metric,value
weeks_1_4_games,323
games_with_both_rp,191
games_with_any_spread_like_field,229
candidate_a_rp_only_team_sides,0
candidate_b_rp_only_team_sides,0
spread_field::projected_margin_home,207
spread_field::projection_spread_home,207
spread_field::site_spread_home,207
spread_field::blend_spread_home,207
spread_field::market_spread_home,82
spread_field::market_spread_price,82
spread_field::market_best_home_spread_home,80
spread_field::market_best_home_spread_price,80
spread_field::market_best_away_spread_home,80
spread_field::market_best_away_spread_price,80
spread_field::market_spread_hold_pct,77
spread_field::market_spread_hold_home_line,59
spread_field::market_spread_hold_away_line,59
spread_field::market_spread_open_home,58
