season,team,overall,overall_rank,offense,offense_rank,defense,defense_rank,source
2023,Florida St.,87,1,80,12,94,2,Bill Connelly/SP+ returning production 2023
2023,Kansas,85,2,91,1,80,10,Bill Connelly/SP+ returning production 2023
2023,FAU,83,3,68,59,99,1,Bill Connelly/SP+ returning production 2023
2023,Wyoming,83,4,82,7,84,4,Bill Connelly/SP+ returning production 2023
2023,Michigan,81,5,84,4,78,16,Bill Connelly/SP+ returning production 2023
2023,UConn,80,6,89,2,71,39,Bill Connelly/SP+ returning production 2023
2023,Texas A&M,80,7,82,8,77,19,Bill Connelly/SP+ returning production 2023
2023,Boston Coll.,78,8,78,17,79,13,Bill Connelly/SP+ returning production 2023
2023,Missouri,78,9,77,25,80,9,Bill Connelly/SP+ returning production 2023
2023,Temple,77,10,79,15,76,22,Bill Connelly/SP+ returning production 2023
2023,Toledo,77,11,82,6,72,32,Bill Connelly/SP+ returning production 2023
2023,NIU,77,12,75,33,79,12,Bill Connelly/SP+ returning production 2023
2023,S. Alabama,77,13,71,50,82,5,Bill Connelly/SP+ returning production 2023
2023,USC,76,14,75,32,78,15,Bill Connelly/SP+ returning production 2023
2023,UMass,76,15,77,23,75,26,Bill Connelly/SP+ returning production 2023
2023,Utah,76,16,83,5,69,45,Bill Connelly/SP+ returning production 2023
2023,Navy,75,17,76,29,74,29,Bill Connelly/SP+ returning production 2023
2023,FIU,74,18,71,52,78,14,Bill Connelly/SP+ returning production 2023
2023,Texas,74,19,85,3,63,68,Bill Connelly/SP+ returning production 2023
2023,N. Texas,74,20,76,27,71,36,Bill Connelly/SP+ returning production 2023
2023,Rice,73,21,72,42,74,28,Bill Connelly/SP+ returning production 2023
2023,Washington,73,22,74,34,73,30,Bill Connelly/SP+ returning production 2023
2023,Rutgers,73,23,73,37,72,31,Bill Connelly/SP+ returning production 2023
2023,Syracuse,73,24,73,39,72,33,Bill Connelly/SP+ returning production 2023
2023,Coastal Caro.,72,25,79,14,65,60,Bill Connelly/SP+ returning production 2023
2023,La. Tech,72,26,62,80,81,6,Bill Connelly/SP+ returning production 2023
2023,Wisconsin,72,27,75,30,68,48,Bill Connelly/SP+ returning production 2023
2023,Auburn,71,28,72,44,71,38,Bill Connelly/SP+ returning production 2023
2023,Sam Houston,71,29,68,57,75,27,Bill Connelly/SP+ returning production 2023
2023,Ole Miss,71,30,80,13,62,69,Bill Connelly/SP+ returning production 2023
2023,Tulane,71,31,73,35,68,46,Bill Connelly/SP+ returning production 2023
2023,LSU,71,32,81,10,60,72,Bill Connelly/SP+ returning production 2023
2023,Duke,71,33,82,9,60,73,Bill Connelly/SP+ returning production 2023
