unnamed_0_level_0_w_l,power_index_fpi,power_index_rk,power_index_trend,projections_proj_w_l,projections_win_out,projections_6wins,projections_win_div,projections_win_conf,projections_playoff,projections_make_nc,projections_win_nc
0-0,28.7,1,--,10.2-2.4,9.2,99.4,0.0,38.8,75.7,28.2,17.1
0-0,26.9,2,--,9.8-2.7,6.8,98.0,0.0,29.7,69.9,22.8,13.2
0-0,25.9,3,--,10.7-1.3,32.7,100.0,0.0,0.0,74.4,19.7,10.5
0-0,25.3,4,--,10.2-2.3,8.5,99.4,0.0,24.2,64.7,17.7,9.8
0-0,24.8,5,--,9.9-2.5,10.9,98.5,0.0,22.9,63.7,17.3,9.0
0-0,23.1,6,--,10.1-2.3,9.5,99.4,0.0,18.7,57.0,12.8,6.6
0-0,21.8,7,--,10.4-2.3,8.8,99.4,0.0,48.4,61.4,11.6,5.4
0-0,20.1,8,--,8.6-3.6,1.6,93.1,0.0,10.4,41.3,8.1,3.7
0-0,20.0,9,--,8.4-3.8,1.1,91.9,0.0,8.9,39.7,7.5,3.5
0-0,20.0,10,--,10.8-1.8,25.2,99.5,0.0,45.9,57.9,8.5,3.7
0-0,20.0,11,--,8.4-3.8,0.8,92.6,0.0,8.4,39.1,7.3,3.4
0-0,17.8,12,--,7.5-4.6,0.1,83.2,0.0,5.3,28.2,4.5,2.0
0-0,17.0,13,--,8.2-3.9,0.3,93.2,0.0,5.1,27.7,3.9,1.7
0-0,16.0,14,--,7.3-4.8,0.1,81.0,0.0,3.8,22.8,3.1,1.3
0-0,15.9,15,--,7.8-4.3,0.1,89.7,0.0,3.8,23.2,3.0,1.2
0-0,15.1,16,--,7.3-4.7,0.1,80.8,0.0,3.3,20.5,2.5,1.0
0-0,13.7,17,--,9.0-3.2,2.5,95.8,0.0,4.5,22.0,2.0,0.8
0-0,13.6,18,--,6.7-5.3,0.0,71.5,0.0,2.0,15.2,1.7,0.7
0-0,13.4,19,--,8.1-4.1,0.5,89.3,0.0,9.5,21.1,1.9,0.7
0-0,13.1,20,--,8.7-3.6,1.4,93.1,0.0,16.5,25.7,2.2,0.7
0-0,12.2,21,--,6.7-5.3,0.0,71.9,0.0,1.6,12.1,1.2,0.5
0-0,12.0,22,--,6.6-5.4,0.0,69.8,0.0,1.4,12.0,1.2,0.4
0-0,11.7,23,--,6.4-5.6,0.0,66.6,0.0,1.3,10.7,1.0,0.4
