team_a,coach_a,team_a_tendency,team_a_toss_wins_sample,team_a_receive_if_wins_toss_pct,team_a_projected_receive_opening_kick_pct,team_b,coach_b,team_b_tendency,team_b_toss_wins_sample,team_b_receive_if_wins_toss_pct,team_b_projected_receive_opening_kick_pct,projected_opening_receiver,edge_pct_points
South Carolina,Shane Beamer,Likely defer,10,30.0,45.0,Oregon,Dan Lanning,Likely defer,5,40.0,55.0,Oregon,10.0
South Carolina,Shane Beamer,Likely defer,10,30.0,45.0,Western Michigan,Lance Taylor,Likely defer,5,40.0,55.0,Western Michigan,10.0
South Carolina,Shane Beamer,Likely defer,10,30.0,46.2,Georgia State,Dell McGee,Likely defer,8,37.5,53.8,Georgia State,7.6
South Carolina,Shane Beamer,Likely defer,10,30.0,46.2,Miami-FL,Mario Cristobal,Likely defer,8,37.5,53.8,Miami-FL,7.6
South Carolina,Shane Beamer,Likely defer,10,30.0,46.8,Missouri,Eli Drinkwitz,Likely defer,11,36.4,53.2,Missouri,6.4
South Carolina,Shane Beamer,Likely defer,10,30.0,48.4,Clemson,Dabo Swinney,Likely defer,9,33.3,51.6,Clemson,3.2
South Carolina,Shane Beamer,Likely defer,10,30.0,48.4,Iowa,Kirk Ferentz,Likely defer,9,33.3,51.6,Iowa,3.2
South Carolina,Shane Beamer,Likely defer,10,30.0,48.4,Tennessee,Josh Heupel,Likely defer,6,33.3,51.6,Tennessee,3.2
South Carolina,Shane Beamer,Likely defer,10,30.0,50.7,Oklahoma State,Eric Morris,Likely defer,7,28.6,49.3,South Carolina,1.4
South Carolina,Shane Beamer,Likely defer,10,30.0,52.5,Maryland,Mike Locksley,Likely defer,8,25.0,47.5,South Carolina,5.0
South Carolina,Shane Beamer,Likely defer,10,30.0,52.5,UTEP,Scotty Walden,Likely defer,8,25.0,47.5,South Carolina,5.0
South Carolina,Shane Beamer,Likely defer,10,30.0,52.5,Vanderbilt,Clark Lea,Likely defer,8,25.0,47.5,South Carolina,5.0
South Carolina,Shane Beamer,Likely defer,10,30.0,53.9,Virginia Tech,James Franklin,Likely defer,9,22.2,46.1,South Carolina,7.8
South Carolina,Shane Beamer,Likely defer,10,30.0,33.8,Utah State,Bronco Mendenhall,Likely take-ball,8,62.5,66.2,Utah State,32.4
South Carolina,Shane Beamer,Likely defer,10,30.0,31.6,USC,Lincoln Riley,Likely take-ball,9,66.7,68.3,USC,36.7
South Carolina,Shane Beamer,Likely defer,10,30.0,31.6,East Carolina,Blake Harrell,Mixed,3,66.7,68.3,East Carolina,36.7
South Carolina,Shane Beamer,Likely defer,10,30.0,40.0,Georgia,Kirby Smart,Mixed,10,50.0,60.0,Georgia,20.0
South Carolina,Shane Beamer,Likely defer,10,30.0,40.0,Georgia Tech,Brent Key,Mixed,8,50.0,60.0,Georgia Tech,20.0
South Carolina,Shane Beamer,Likely defer,10,30.0,40.0,Pittsburgh,Pat Narduzzi,Mixed,8,50.0,60.0,Pittsburgh,20.0
South Carolina,Shane Beamer,Likely defer,10,30.0,40.0,Texas Tech,Joey McGuire,Mixed,8,50.0,60.0,Texas Tech,20.0
South Carolina,Shane Beamer,Likely defer,10,30.0,40.0,Alabama,Kalen DeBoer,Mixed,6,50.0,60.0,Alabama,20.0
South Carolina,Shane Beamer,Likely defer,10,30.0,40.0,Arkansas,Ryan Silverfield,Mixed,4,50.0,60.0,Arkansas,20.0
South Carolina,Shane Beamer,Likely defer,10,30.0,40.0,Oklahoma,Brent Venables,Mixed,4,50.0,60.0,Oklahoma,20.0
South Carolina,Shane Beamer,Likely defer,10,30.0,43.5,Cincinnati,Scott Satterfield,Mixed,7,42.9,56.5,Cincinnati,13.0
South Carolina,Shane Beamer,Likely defer,10,30.0,43.5,Middle Tennessee,Derek Mason,Mixed,7,42.9,56.5,Middle Tennessee,13.0
South Carolina,Shane Beamer,Likely defer,10,30.0,43.5,Troy,Gerad Parker,Mixed,7,42.9,56.5,Troy,13.0
South Carolina,Shane Beamer,Likely defer,10,30.0,48.4,Arkansas State,Butch Jones,Mixed,3,33.3,51.6,Arkansas State,3.2
South Carolina,Shane Beamer,Likely defer,10,30.0,48.4,Florida International,Willie Simmons,Mixed,3,33.3,51.6,Florida International,3.2
South Carolina,Shane Beamer,Likely defer,10,30.0,48.4,Marshall,Tony Gibson,Mixed,3,33.3,51.6,Marshall,3.2
South Carolina,Shane Beamer,Likely defer,10,30.0,52.5,Syracuse,Fran Brown,Mixed,4,25.0,47.5,South Carolina,5.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Indiana,Curt Cignetti,Mixed,4,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Kansas,Lance Leipold,Mixed,4,0.0,35.0,South Carolina,30.0
