game_id_example,week_example,away_team_example,home_team_example,team,coach,segment,role,ats_record,ats_pct,ats_sample_size,ou_record,over_pct,ou_sample_size,ats_margin,total_margin
g1,0.0,Sacramento State,Eastern Michigan,Sacramento State,Alonzo Carter,Full game role,Favorite,,,,,,,,
g1,0.0,Sacramento State,Eastern Michigan,Sacramento State,Alonzo Carter,Full game role,Underdog,,,,,,,,
g1,0.0,Sacramento State,Eastern Michigan,Eastern Michigan,Chris Creighton,Full game role,Favorite,21-27-0,43.75,48.0,22-20-1,52.38,43.0,-2.9,3.14
g1,0.0,Sacramento State,Eastern Michigan,Eastern Michigan,Chris Creighton,Full game role,Underdog,48-40-1,54.55,89.0,27-30-2,47.370000000000005,59.0,1.02,-0.9
g1,0.0,Sacramento State,Eastern Michigan,Eastern Michigan,Chris Creighton,Full game role,Favorite,1-6-0,14.29,7.0,2-5-0,28.57,7.0,-6.93,-0.29
g1,0.0,Sacramento State,Eastern Michigan,Eastern Michigan,Chris Creighton,Full game role,Underdog,9-6-0,60.0,15.0,9-5-1,64.29,15.0,1.8,1.97
g1,0.0,Sacramento State,Eastern Michigan,Eastern Michigan,Chris Creighton,Full game role,Favorite,3-5-0,37.5,8.0,6-2-0,75.0,8.0,-1.81,-0.31
g1,0.0,Sacramento State,Eastern Michigan,Eastern Michigan,Chris Creighton,Full game role,Underdog,8-6-0,57.14,14.0,9-5-0,64.29,14.0,1.39,0.71
g2,0.0,New Mexico State,Florida State,New Mexico State,Tony Sanchez,Full game role,Favorite,8-15-0,34.78,23.0,8-6-0,57.14,14.0,-6.15,1.93
g2,0.0,New Mexico State,Florida State,New Mexico State,Tony Sanchez,Full game role,Underdog,33-27-1,55.00000000000001,61.0,23-25-1,47.92,49.0,1.62,1.59
g2,0.0,New Mexico State,Florida State,New Mexico State,Tony Sanchez,Full game role,Favorite,2-2-0,50.0,4.0,0-4-0,0.0,4.0,-2.25,-7.0
g2,0.0,New Mexico State,Florida State,New Mexico State,Tony Sanchez,Full game role,Underdog,8-10-0,44.440000000000005,18.0,11-7-0,61.11,18.0,-1.75,2.47
