market,snapshot_prev,snapshot_latest,season,conference,team,book,field,previous,latest,change,implied_prob_change_pct,summary
Win Total,2026-05-11,2026-05-12,2026,,K State,BetMGM,Over Odds,-175,-110,65.0,-11.26,K State BetMGM over -175 → -110
Win Total,2026-05-11,2026-05-12,2026,,K State,BetMGM,Under Odds,+135,-120,-255.0,11.99,K State BetMGM under +135 → -120
Win Total,2026-05-11,2026-05-12,2026,,K State,BetMGM,Win Total,7.5,8.5,1.0,,K State BetMGM win total 7.5 → 8.5
Win Total,2026-05-11,2026-05-12,2026,,Minnesota,BetMGM,Over Odds,-175,+130,305.0,-20.16,Minnesota BetMGM over -175 → +130
Win Total,2026-05-11,2026-05-12,2026,,Minnesota,BetMGM,Under Odds,+135,-170,-305.0,20.41,Minnesota BetMGM under +135 → -170
Win Total,2026-05-11,2026-05-12,2026,,Minnesota,BetMGM,Win Total,5.5,6.5,1.0,,Minnesota BetMGM win total 5.5 → 6.5
Win Total,2026-05-11,2026-05-12,2026,,Penn State,BetMGM,Over Odds,+150,-135,-285.0,17.45,Penn State BetMGM over +150 → -135
Win Total,2026-05-11,2026-05-12,2026,,Penn State,BetMGM,Under Odds,-200,+105,305.0,-17.89,Penn State BetMGM under -200 → +105
Win Total,2026-05-11,2026-05-12,2026,,Penn State,BetMGM,Win Total,9.5,8.5,-1.0,,Penn State BetMGM win total 9.5 → 8.5
Win Total,2026-05-11,2026-05-12,2026,Mid-American,Sacramento St.,Caesars,Over Odds,+180,-130,-310.0,20.81,Sacramento St. Caesars over +180 → -130
Win Total,2026-05-11,2026-05-12,2026,Mid-American,Sacramento St.,Caesars,Under Odds,-240,+100,340.0,-20.59,Sacramento St. Caesars under -240 → +100
Win Total,2026-05-11,2026-05-12,2026,Mid-American,Sacramento St.,Caesars,Win Total,5.5,4.5,-1.0,,Sacramento St. Caesars win total 5.5 → 4.5
