snapshot_date,snapshot_ts,source_file,source,game_id,game_date,week,conference,away_team,home_team,market_spread_home,market_spread_open_home,market_spread_text,market_spread_price,market_spread_book,market_spread_last_update,market_total,market_total_open,market_total_book,market_total_over_price,market_total_under_price,market_total_last_update,projected_margin_home,model_spread_home,projected_total,books_available,_has_price
2026-05-24,2026-05-24,data/odds/game_line_history.csv,The Odds API,g1,2026-08-29,0.0,,Sacramento State,Eastern Michigan,-8.5,,Eastern Michigan -8.5,-108.0,DraftKings,,,,,,,,,,,"BetOnline.ag,DraftKings,LowVig.ag",1
2026-06-04,2026-06-04T12:00:28+00:00,data/odds/game_line_history.csv,Action Network,g1,2026-08-29,0.0,,Sacramento State,Eastern Michigan,-8.5,,Eastern Michigan -8.5,-108.0,DraftKings,2026-05-24T17:59:01.102938+00:00,,,,,,,,,,DraftKings,1
2026-06-05,2026-06-05T12:00:26+00:00,data/odds/game_line_history.csv,Action Network,g1,2026-08-29,0.0,,Sacramento State,Eastern Michigan,-8.5,,Eastern Michigan -8.5,-108.0,DraftKings,2026-05-24T17:59:01.102938+00:00,,,,,,,,,,DraftKings,1
2026-06-06,2026-06-06T03:38:01+00:00,data/odds/game_line_history.csv,Action Network,g1,2026-08-29,0.0,,Sacramento State,Eastern Michigan,-8.5,,Eastern Michigan -8.5,-108.0,DraftKings,2026-06-06T03:37:49.388662+00:00,,,,,,,,,,"Caesars,DraftKings",1
2026-06-07,2026-06-07T12:01:27+00:00,data/odds/game_line_history.csv,Action Network,g1,2026-08-29,0.0,,Sacramento State,Eastern Michigan,-7.5,,Eastern Michigan -7.5,-115.0,FanDuel,2026-06-07T12:00:50.192183+00:00,53.5,,FanDuel,-110.0,-110.0,2026-06-07T12:00:50.192183+00:00,,,,"Caesars,DraftKings,FanDuel",1
2026-06-08,2026-06-08T12:00:33+00:00,data/odds/game_line_history.csv,Action Network,g1,2026-08-29,0.0,,Sacramento State,Eastern Michigan,-7.5,,Eastern Michigan -7.5,-115.0,FanDuel,2026-06-08T12:00:24.511873+00:00,53.5,,FanDuel,-110.0,-110.0,2026-06-08T12:00:24.511873+00:00,,,,"Caesars,DraftKings,FanDuel",1
2026-06-09,2026-06-09T12:00:46+00:00,data/odds/game_line_history.csv,Action Network,g1,2026-08-29,0.0,,Sacramento State,Eastern Michigan,-7.5,,Eastern Michigan -7.5,-115.0,FanDuel,2026-06-09T12:00:32.588428+00:00,53.5,,FanDuel,-110.0,-110.0,2026-06-09T12:00:32.588428+00:00,,,,"BetMGM,Caesars,DraftKings,FanDuel",1
2026-06-10,2026-06-10T17:34:47+00:00,data/odds/game_line_history.csv,Action Network,g1,2026-08-29,0.0,,Sacramento State,Eastern Michigan,-7.5,,Eastern Michigan -7.5,-115.0,FanDuel,2026-06-10T17:34:37.526718+00:00,53.5,,FanDuel,-110.0,-110.0,2026-06-10T17:34:37.526718+00:00,,,,"BetMGM,Caesars,DraftKings,FanDuel",1
2026-06-11,2026-06-11T12:08:44+00:00,data/odds/game_line_history.csv,Action Network,g1,2026-08-29,0.0,,Sacramento State,Eastern Michigan,-7.5,,Eastern Michigan -7.5,-115.0,FanDuel,2026-06-10T17:34:37.526718+00:00,53.5,,FanDuel,-110.0,-110.0,2026-06-10T17:34:37.526718+00:00,,,,"BetMGM,Caesars,DraftKings,FanDuel",1
2026-06-12,2026-06-12T12:01:01+00:00,data/odds/game_line_history.csv,Action Network,g1,2026-08-29,0.0,,Sacramento State,Eastern Michigan,-7.5,,Eastern Michigan -7.5,-115.0,FanDuel,2026-06-12T12:00:44.456240+00:00,53.5,,FanDuel,-110.0,-110.0,2026-06-12T12:00:44.456240+00:00,,,,"BetMGM,Caesars,DraftKings,FanDuel",1
