game_id,week,date,away_team,home_team,signal_team,signal_opponent,signal_team_conference,signal_opponent_conference,signal_team_tier,signal_opponent_tier,rule_key,rule_label,rule_priority,historical_record,historical_games,historical_ats_pct,team_overall_rp,opponent_overall_rp,overall_rp_edge,team_offense_rp,opponent_defense_rp,offense_vs_defense_edge,team_defense_rp,opponent_offense_rp,defense_vs_offense_edge,market_spread_home,projected_margin_home,matched_rule_count,primary_signal,signal_team_spread,market_role,spread_bucket,historical_role_bucket_games,historical_role_bucket_wins,historical_role_bucket_losses,historical_role_bucket_pushes,historical_role_bucket_ats_pct,historical_role_bucket_avg_margin,historical_role_bucket_confidence,historical_role_games,historical_role_wins,historical_role_losses,historical_role_pushes,historical_role_ats_pct,historical_role_avg_margin,historical_role_confidence,role_based_read
g18,1,2026-09-03,Akron,Wake Forest,Wake Forest,Akron,ACC,MAC,P4,G6,P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,2,46-32,78,0.589744,53.0,40.0,13.0,45.0,37.0,8.0,61.0,44.0,17.0,-22.5,24.805,1,True,-22.5,Favorite,Fav 21+,44.0,25.0,19.0,0.0,0.5681818181818182,-0.2727272727272727,Promising,74.0,43.0,31.0,0.0,0.581081081081081,0.972972972972973,Supported,Historically neutral role/bucket
g24,1,2026-09-05,East Carolina,Alabama,Alabama,East Carolina,SEC,American,P4,G6,P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,1,50-31,81,0.617284,48.0,42.0,6.0,35.0,50.0,-15.0,61.0,33.0,28.0,-26.5,23.793,2,True,-26.5,Favorite,Fav 21+,47.0,27.0,20.0,0.0,0.574468085106383,0.43617021276595747,Promising,80.0,49.0,31.0,0.0,0.6125,1.91875,Supported,Historically favorable role/bucket
g79,1,2026-09-05,Kent State,South Carolina,South Carolina,Kent State,SEC,MAC,P4,G6,P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,1,50-31,81,0.617284,68.0,48.0,20.0,76.0,39.0,37.0,61.0,57.0,4.0,-34.5,33.843,1,True,-34.5,Favorite,Fav 21+,47.0,27.0,20.0,0.0,0.574468085106383,0.43617021276595747,Promising,80.0,49.0,31.0,0.0,0.6125,1.91875,Supported,Historically favorable role/bucket
g86,1,2026-09-05,Missouri State,Texas A&M,Texas A&M,Missouri State,SEC,CUSA,P4,G6,P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,1,50-31,81,0.617284,65.0,34.0,31.0,67.0,44.0,23.0,63.0,25.0,38.0,-39.0,38.89,2,True,-39.0,Favorite,Fav 21+,47.0,27.0,20.0,0.0,0.574468085106383,0.43617021276595747,Promising,80.0,49.0,31.0,0.0,0.6125,1.91875,Supported,Historically favorable role/bucket
g24,1,2026-09-05,East Carolina,Alabama,Alabama,East Carolina,SEC,American,P4,G6,P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,2,46-32,78,0.589744,48.0,42.0,6.0,35.0,50.0,-15.0,61.0,33.0,28.0,-26.5,23.793,2,False,-26.5,Favorite,Fav 21+,44.0,25.0,19.0,0.0,0.5681818181818182,-0.2727272727272727,Promising,74.0,43.0,31.0,0.0,0.581081081081081,0.972972972972973,Supported,Historically neutral role/bucket
g38,1,2026-09-05,Tulane,Duke,Duke,Tulane,ACC,American,P4,G6,P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,2,46-32,78,0.589744,49.0,40.0,9.0,48.0,52.0,-4.0,51.0,28.0,23.0,-9.5,7.933,1,True,-9.5,Favorite,Fav 7-13.5,11.0,6.0,5.0,0.0,0.5454545454545454,-0.045454545454545456,Small sample,74.0,43.0,31.0,0.0,0.581081081081081,0.972972972972973,Supported,Historically favorable role
g39,1,2026-09-05,Florida Atlantic,Florida,Florida,Florida Atlantic,SEC,American,P4,G6,P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,2,46-32,78,0.589744,66.0,64.0,2.0,55.0,65.0,-10.0,77.0,62.0,15.0,-26.5,26.108,1,True,-26.5,Favorite,Fav 21+,44.0,25.0,19.0,0.0,0.5681818181818182,-0.2727272727272727,Promising,74.0,43.0,31.0,0.0,0.581081081081081,0.972972972972973,Supported,Historically neutral role/bucket
g86,1,2026-09-05,Missouri State,Texas A&M,Texas A&M,Missouri State,SEC,CUSA,P4,G6,P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,2,46-32,78,0.589744,65.0,34.0,31.0,67.0,44.0,23.0,63.0,25.0,38.0,-39.0,38.89,2,False,-39.0,Favorite,Fav 21+,44.0,25.0,19.0,0.0,0.5681818181818182,-0.2727272727272727,Promising,74.0,43.0,31.0,0.0,0.581081081081081,0.972972972972973,Supported,Historically neutral role/bucket
g108,2,2026-09-12,Southern Miss,Auburn,Auburn,Southern Miss,SEC,Sun Belt,P4,G6,P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,1,50-31,81,0.617284,57.0,22.0,35.0,56.0,20.0,36.0,58.0,23.0,35.0,,28.87,2,True,,Unknown,Unknown,,,,,,,,,,,,,,,Watch for opening spread
g115,2,2026-09-12,Georgia Southern,Clemson,Clemson,Georgia Southern,ACC,Sun Belt,P4,G6,P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,1,50-31,81,0.617284,53.0,43.0,10.0,46.0,62.0,-16.0,61.0,23.0,38.0,,24.74,2,True,,Unknown,Unknown,,,,,,,,,,,,,,,Watch for opening spread
g125,2,2026-09-12,Western Kentucky,Georgia,Georgia,Western Kentucky,SEC,CUSA,P4,G6,P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,1,50-31,81,0.617284,68.0,32.0,36.0,63.0,26.0,37.0,72.0,37.0,35.0,,33.913,2,True,,Unknown,Unknown,,,,,,,,,,,,,,,Watch for opening spread
g156,2,2026-09-12,Charlotte,Ole Miss,Ole Miss,Charlotte,SEC,American,P4,G6,P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,1,50-31,81,0.617284,61.0,43.0,18.0,61.0,34.0,27.0,62.0,52.0,10.0,,44.112,1,True,,Unknown,Unknown,,,,,,,,,,,,,,,Watch for opening spread
g180,2,2026-09-12,Old Dominion,Virginia Tech,Virginia Tech,Old Dominion,ACC,Sun Belt,P4,G6,P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,1,50-31,81,0.617284,69.0,40.0,29.0,71.0,58.0,13.0,67.0,23.0,44.0,,10.502,2,True,,Unknown,Unknown,,,,,,,,,,,,,,,Watch for opening spread
g108,2,2026-09-12,Southern Miss,Auburn,Auburn,Southern Miss,SEC,Sun Belt,P4,G6,P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,2,46-32,78,0.589744,57.0,22.0,35.0,56.0,20.0,36.0,58.0,23.0,35.0,,28.87,2,False,,Unknown,Unknown,,,,,,,,,,,,,,,Watch for opening spread
g115,2,2026-09-12,Georgia Southern,Clemson,Clemson,Georgia Southern,ACC,Sun Belt,P4,G6,P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,2,46-32,78,0.589744,53.0,43.0,10.0,46.0,62.0,-16.0,61.0,23.0,38.0,,24.74,2,False,,Unknown,Unknown,,,,,,,,,,,,,,,Watch for opening spread
g125,2,2026-09-12,Western Kentucky,Georgia,Georgia,Western Kentucky,SEC,CUSA,P4,G6,P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,2,46-32,78,0.589744,68.0,32.0,36.0,63.0,26.0,37.0,72.0,37.0,35.0,,33.913,2,False,,Unknown,Unknown,,,,,,,,,,,,,,,Watch for opening spread
g180,2,2026-09-12,Old Dominion,Virginia Tech,Virginia Tech,Old Dominion,ACC,Sun Belt,P4,G6,P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,2,46-32,78,0.589744,69.0,40.0,29.0,71.0,58.0,13.0,67.0,23.0,44.0,,10.502,2,False,,Unknown,Unknown,,,,,,,,,,,,,,,Watch for opening spread
g223,3,2026-09-19,Troy,Missouri,Missouri,Troy,SEC,Sun Belt,P4,G6,P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,1,50-31,81,0.617284,49.0,39.0,10.0,59.0,32.0,27.0,40.0,47.0,-7.0,,24.913,1,True,,Unknown,Unknown,,,,,,,,,,,,,,,Watch for opening spread
g248,3,2026-09-19,UTSA,Texas,Texas,UTSA,SEC,American,P4,G6,P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,1,50-31,81,0.617284,68.0,54.0,14.0,73.0,44.0,29.0,63.0,64.0,-1.0,,30.08,1,True,,Unknown,Unknown,,,,,,,,,,,,,,,Watch for opening spread
g247,3,2026-09-19,Kennesaw State,Tennessee,Tennessee,Kennesaw State,SEC,CUSA,P4,G6,P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,2,46-32,78,0.589744,62.0,49.0,13.0,58.0,55.0,3.0,65.0,42.0,23.0,,28.453,1,True,,Unknown,Unknown,,,,,,,,,,,,,,,Watch for opening spread
g243,3,2026-09-19,Mississippi State,South Carolina,South Carolina,Mississippi State,SEC,SEC,P4,P4,P4_P4_OVERALL_15_TO_24_9,P4 vs P4: overall RP edge 15-24.9,3,29-22-1,52,0.568627,68.0,48.0,20.0,76.0,52.0,24.0,61.0,44.0,17.0,,8.38,1,True,,Unknown,Unknown,,,,,,,,,,,,,,,Watch for opening spread
g249,3,2026-09-19,Kentucky,Texas A&M,Texas A&M,Kentucky,SEC,SEC,P4,P4,P4_P4_OVERALL_15_TO_24_9,P4 vs P4: overall RP edge 15-24.9,3,29-22-1,52,0.568627,65.0,46.0,19.0,67.0,52.0,15.0,63.0,40.0,23.0,,17.668,1,True,,Unknown,Unknown,,,,,,,,,,,,,,,Watch for opening spread
g311,4,2026-09-26,Missouri State,SMU,SMU,Missouri State,ACC,CUSA,P4,G6,P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,1,50-31,81,0.617284,62.0,34.0,28.0,66.0,44.0,22.0,58.0,25.0,33.0,,30.665,2,True,,Unknown,Unknown,,,,,,,,,,,,,,,Watch for opening spread
g300,4,2026-09-26,Appalachian State,NC State,NC State,Appalachian State,ACC,Sun Belt,P4,G6,P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,2,46-32,78,0.589744,54.0,34.0,20.0,62.0,39.0,23.0,46.0,30.0,16.0,,19.445,1,True,,Unknown,Unknown,,,,,,,,,,,,,,,Watch for opening spread
g311,4,2026-09-26,Missouri State,SMU,SMU,Missouri State,ACC,CUSA,P4,G6,P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,2,46-32,78,0.589744,62.0,34.0,28.0,66.0,44.0,22.0,58.0,25.0,33.0,,30.665,2,False,,Unknown,Unknown,,,,,,,,,,,,,,,Watch for opening spread
g265,4,2026-09-26,South Carolina,Alabama,South Carolina,Alabama,SEC,SEC,P4,P4,P4_P4_OVERALL_15_TO_24_9,P4 vs P4: overall RP edge 15-24.9,3,29-22-1,52,0.568627,68.0,48.0,20.0,76.0,61.0,15.0,61.0,35.0,26.0,,11.193,1,True,,Unknown,Unknown,,,,,,,,,,,,,,,Watch for opening spread
