game_id,week,date,away_team,home_team,signal_team,signal_opponent,signal_side,overall_rp_edge,offense_vs_defense_edge,defense_vs_offense_edge,model_field,projected_home_margin,full_game_model_betting_spread,estimated_1h_spread,estimated_1h_role,candidate_a_defensive_favorite,candidate_b_offensive_underdog,candidate_key,candidate_label,historical_record,historical_ats_pct,historical_avg_ats_margin,historical_median_ats_margin
g16,1,2026-09-03,Massachusetts,Rutgers,Massachusetts,Rutgers,away,-1.0,3.0,-6.0,projection_spread_home,31.105,31.105,15.5525,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g19,1,2026-09-04,San Jose State,Eastern Michigan,Eastern Michigan,San Jose State,home,38.0,36.0,40.0,projection_spread_home,0.6075,-0.6075,-0.30375,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g24,1,2026-09-05,East Carolina,Alabama,Alabama,East Carolina,home,6.0,-15.0,28.0,projection_spread_home,23.7925,-23.7925,-11.89625,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g45,1,2026-09-05,North Texas,Indiana,Indiana,North Texas,home,24.0,19.0,30.0,projection_spread_home,33.8875,-33.8875,-16.94375,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g62,1,2026-09-05,Ohio,Nebraska,Nebraska,Ohio,home,36.0,21.0,51.0,projection_spread_home,17.5575,-17.5575,-8.77875,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g69,1,2026-09-05,UTEP,Oklahoma,Oklahoma,UTEP,home,30.0,32.0,28.0,projection_spread_home,41.1825,-41.1825,-20.59125,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g86,1,2026-09-05,Missouri State,Texas A&M,Texas A&M,Missouri State,home,31.0,23.0,38.0,projection_spread_home,38.89,-38.89,-19.445,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g64,1,2026-09-05,Central Michigan,New Mexico,Central Michigan,New Mexico,away,-17.0,4.0,-39.0,projection_spread_home,11.1875,11.1875,5.59375,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g42,1,2026-09-05,UNLV,Hawaii,Hawaii,UNLV,home,5.0,14.0,-3.0,projection_spread_home,-2.2725,2.2725,1.13625,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g72,1,2026-09-05,Marshall,Penn State,Marshall,Penn State,away,-4.0,8.0,-14.0,projection_spread_home,27.0225,27.0225,13.51125,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
