team,season,from_conference,to_conference
Arizona,2024,Pac-12,Big 12
Arizona State,2024,Pac-12,Big 12
Army,2024,Independent,American
BYU,2023,Independent,Big 12
California,2024,Pac-12,ACC
Charlotte,2023,Conference USA,American
Cincinnati,2023,American,Big 12
Colorado,2024,Pac-12,Big 12
Florida Atlantic,2023,Conference USA,American
Houston,2023,American,Big 12
Liberty,2023,Independent,Conference USA
Marshall,2022,Conference USA,Sun Belt
Massachusetts,2025,Independent,MAC
New Mexico State,2023,Independent,Conference USA
North Texas,2023,Conference USA,American
Oklahoma,2024,Big 12,SEC
Old Dominion,2022,Conference USA,Sun Belt
Oregon,2024,Pac-12,Big Ten
Rice,2023,Conference USA,American
SMU,2024,American,ACC
Southern Miss,2022,Conference USA,Sun Belt
Stanford,2024,Pac-12,ACC
Texas,2024,Big 12,SEC
UAB,2023,Conference USA,American
UCF,2023,American,Big 12
UCLA,2024,Pac-12,Big Ten
USC,2024,Pac-12,Big Ten
UTSA,2023,Conference USA,American
Utah,2024,Pac-12,Big 12
Washington,2024,Pac-12,Big Ten
