severity,team,field,path,value,reason,source_status
WARN,Appalachian State,style_profile,style_profile,,Conditional matchup-card field is blank,allowed_gap
WARN,California,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,California,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Central Florida,quarterbacks,quarterbacks,,Conditional matchup-card field is blank,allowed_gap
WARN,Coastal Carolina,quarterbacks,quarterbacks,,Conditional matchup-card field is blank,allowed_gap
WARN,Florida International,quarterbacks,quarterbacks,,Conditional matchup-card field is blank,allowed_gap
WARN,Kansas State,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Kansas State,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Kennesaw State,quarterbacks,quarterbacks,,Conditional matchup-card field is blank,allowed_gap
WARN,Kentucky,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Kentucky,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Massachusetts,quarterbacks,quarterbacks,,Conditional matchup-card field is blank,allowed_gap
WARN,Miami-FL,style_profile,style_profile,,Conditional matchup-card field is blank,allowed_gap
WARN,Miami-FL,quarterbacks,quarterbacks,,Conditional matchup-card field is blank,allowed_gap
WARN,Miami-OH,quarterbacks,quarterbacks,,Conditional matchup-card field is blank,allowed_gap
WARN,Michigan State,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Michigan State,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Minnesota,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Minnesota,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Missouri State,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Missouri State,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,North Dakota State,quarterbacks,quarterbacks,,Conditional matchup-card field is blank,allowed_gap
WARN,North Dakota State,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,North Dakota State,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Northern Illinois,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Northern Illinois,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Ohio,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Ohio,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Ole Miss,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Ole Miss,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Oregon State,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Oregon State,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Sacramento State,quarterbacks,quarterbacks,,Conditional matchup-card field is blank,allowed_gap
WARN,Sacramento State,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Sacramento State,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Sam Houston,quarterbacks,quarterbacks,,Conditional matchup-card field is blank,allowed_gap
WARN,South Florida,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,South Florida,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Southern Miss,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Southern Miss,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Stanford,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Stanford,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Temple,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Temple,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Texas State,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Texas State,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Toledo,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Toledo,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,UAB,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,UAB,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,UL-Monroe,style_profile,style_profile,,Conditional matchup-card field is blank,allowed_gap
WARN,UL-Monroe,quarterbacks,quarterbacks,,Conditional matchup-card field is blank,allowed_gap
WARN,UTEP,quarterbacks,quarterbacks,,Conditional matchup-card field is blank,allowed_gap
WARN,Utah,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Utah,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Washington State,coach_first_half,matchup.coaches.periods[1],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
WARN,Washington State,coach_second_half,matchup.coaches.periods[2],,Coach historical period missing; may be legitimate for a new coach,allowed_if_no_history
