source,status,path,rows,rows_after_site_filter,matched_site_teams,missing_site_teams,extra_teams_after_filter
SP+,ok,data/ratings/raw/spplus/spplus_table_0.csv,138.0,,,,
FPI,ok,data/ratings/raw/fpi/fpi_table_0.csv|data/ratings/raw/fpi/fpi_table_1.csv,138.0,,,,
TeamRankings,ok,data/ratings/raw/teamrankings/teamrankings_table_0.csv,138.0,,,,
KFord,ok,data/ratings/kford_2025_test_latest.csv,136.0,,,,
Brad Powers,ok,data/ratings/bradpowers_2026_latest.csv,138.0,,,,
Sagarin Predictor,ok,data/ratings/external_sources/sagarin_latest.csv,269.0,,,,
Donchess Overall,ok,data/ratings/external_sources/donchess_latest.csv,136.0,,,,
Massey Power,ok,data/ratings/external_sources/massey_latest.csv,138.0,,,,
Brad Powers,coverage,,,138.0,138.0,,
Donchess Overall,coverage,,,136.0,136.0,North Dakota State; Sacramento State,
FPI,coverage,,,136.0,136.0,North Dakota State; Sacramento State,
KFord,coverage,,,136.0,136.0,North Dakota State; Sacramento State,
Massey Power,coverage,,,138.0,138.0,,
SP+,coverage,,,138.0,138.0,,
Sagarin Predictor,coverage,,,138.0,138.0,,
TeamRankings,coverage,,,138.0,138.0,,
