team,rating_2026_current,rank_2026_current,rating_2025_eoy,rank_2025_eoy,source_count_2025,missing_sources_2025,rating_trend,rank_trend
Ohio State,31.8,1,29.811588235294117,2.0,5,,1.9884117647058837,1.0
Oregon,28.3,2,26.101588235294116,4.0,5,,2.1984117647058845,2.0
Notre Dame,25.8,3,26.97758823529411,3.0,5,,-1.1775882352941096,0.0
Georgia,25.5,4,22.891588235294115,7.0,5,,2.6084117647058847,3.0
Indiana,24.5,5,32.681588235294114,1.0,5,,-8.181588235294114,-4.0
Texas,23.7,6,18.51358823529412,13.0,5,,5.1864117647058805,7.0
Texas Tech,23.1,7,25.67558823529412,5.0,5,,-2.57558823529412,-2.0
Miami-FL,21.0,8,23.05958823529412,6.0,5,,-2.0595882352941217,-2.0
Texas A&M,20.3,9,20.441588235294116,10.0,5,,-0.14158823529411535,1.0
LSU,20.2,10,11.331588235294118,27.0,5,,8.86841176470588,17.0
Alabama,18.2,11,19.261588235294116,11.0,5,,-1.061588235294117,0.0
Oklahoma,17.2,12,17.829588235294118,15.0,5,,-0.6295882352941184,3.0
USC,16.8,13,18.227588235294117,14.0,5,,-1.4275882352941167,1.0
Michigan,16.1,14,14.737588235294115,21.0,5,,1.362411764705886,7.0
Tennessee,16.0,15,14.95558823529412,20.0,5,,1.0444117647058793,5.0
Ole Miss,15.9,16,20.77358823529412,9.0,5,,-4.87358823529412,-7.0
Penn State,15.7,17,17.15958823529412,17.0,5,,-1.4595882352941203,0.0
BYU,15.5,18,15.56758823529412,19.0,5,,-0.06758823529412084,1.0
Florida,14.9,19,8.673588235294117,40.0,5,,6.226411764705883,21.0
Missouri,14.8,20,14.453588235294117,22.0,5,,0.3464117647058842,2.0
Washington,14.5,21,15.751588235294117,18.0,5,,-1.2515882352941166,-3.0
Iowa,13.6,22,17.57158823529412,16.0,5,,-3.971588235294119,-6.0
Clemson,12.8,23,10.671588235294118,30.0,5,,2.1284117647058824,7.0
South Carolina,12.1,24,8.927588235294118,37.0,5,,3.172411764705881,13.0
Utah,11.9,25,21.27358823529412,8.0,5,,-9.37358823529412,-17.0
Auburn,11.2,26,12.343588235294115,24.0,5,,-1.143588235294116,-2.0
Louisville,11.0,27,10.95558823529412,28.0,5,,0.044411764705879264,1.0
SMU,10.9,28,12.701588235294118,23.0,5,,-1.8015882352941173,-5.0
Kansas State,10.4,29,8.11358823529412,41.0,5,,2.28641176470588,12.0
Arizona,10.2,30,11.477588235294116,26.0,5,,-1.2775882352941164,-4.0
Vanderbilt,10.0,31,18.55958823529412,12.0,5,,-8.559588235294122,-19.0
Virginia Tech,9.4,32,-3.0024117647058817,78.0,5,,12.402411764705882,46.0
Illinois,9.3,33,11.81158823529412,25.0,5,,-2.51158823529412,-8.0
TCU,9.1,34,9.747588235294115,33.0,5,,-0.6475882352941156,-1.0
Florida State,8.8,35,9.98558823529412,32.0,5,,-1.1855882352941194,-3.0
Houston,8.2,36,6.145588235294117,46.0,5,,2.0544117647058826,10.0
Nebraska,7.7,37,6.473588235294116,44.0,5,,1.226411764705884,7.0
Oklahoma State,7.1,38,-12.136411764705883,110.0,5,,19.236411764705885,72.0
Boise State,6.8,39,3.8475882352941184,58.0,5,,2.9524117647058814,19.0
Virginia,6.6,40,9.233588235294116,34.0,5,,-2.6335882352941162,-6.0
Pittsburgh,6.5,41,8.867588235294118,38.0,5,,-2.367588235294118,-3.0
Arizona State,6.4,42,6.447588235294117,45.0,5,,-0.04758823529411682,3.0
Georgia Tech,6.0,43,8.683588235294117,39.0,5,,-2.683588235294117,-4.0
Duke,5.7,44,6.601588235294118,43.0,5,,-0.9015882352941178,-1.0
Minnesota,5.2,45,1.8855882352941176,63.0,5,,3.3144117647058824,18.0
UCLA,5.1,46,-2.8584117647058815,77.0,5,,7.958411764705881,31.0
Arkansas,5.0,47,7.529588235294116,42.0,5,,-2.529588235294116,-5.0
NC State,4.9,48,5.271588235294118,48.0,5,,-0.37158823529411755,0.0
Northwestern,4.6,49,4.807588235294119,52.0,5,,-0.20758823529411963,3.0
