snapshot_date,season,source,team,raw_team,rank,rating,wins,losses,sos,sos_rank,predictor_rating,predictor_rank,golden_mean_rating,golden_mean_rank,recent_rating,recent_rank,strong_recent_rating,strong_recent_rank,raw_extra_numbers,source_url,pulled_at,notes
2026-07-29,2026,Sagarin,Indiana,Indiana,1,100.06,16.0,0.0,77.35,10.0,97.74,1.0,100.04,1.0,102.74,1.0,110.1,1.0,"[16.0, 0.0, 77.35, 10.0, 5.0, 0.0, 8.0, 0.0, 97.74, 1.0, 100.04, 1.0, 102.74, 1.0, 110.1, 1.0]",https://sagarin.com/sports/cfsend.htm,2026-07-29T12:37:06Z,preformatted text parse; rating components parsed from Sagarin fields
2026-07-29,2026,Sagarin,Ohio State,Ohio State,2,95.16,12.0,2.0,76.91,13.0,94.76,2.0,96.79,2.0,93.91,4.0,96.8,4.0,"[12.0, 2.0, 76.91, 13.0, 1.0, 2.0, 5.0, 2.0, 94.76, 2.0, 96.79, 2.0, 93.91, 4.0, 96.8, 4.0]",https://sagarin.com/sports/cfsend.htm,2026-07-29T12:37:06Z,preformatted text parse; rating components parsed from Sagarin fields
2026-07-29,2026,Sagarin,Notre Dame,Notre Dame,3,94.6,10.0,2.0,73.67,37.0,93.87,3.0,94.91,4.0,94.67,2.0,100.18,2.0,"[10.0, 2.0, 73.67, 37.0, 0.0, 1.0, 1.0, 2.0, 93.87, 3.0, 94.91, 4.0, 94.67, 2.0, 100.18, 2.0]",https://sagarin.com/sports/cfsend.htm,2026-07-29T12:37:06Z,preformatted text parse; rating components parsed from Sagarin fields
2026-07-29,2026,Sagarin,Oregon,Oregon,4,94.27,13.0,2.0,79.34,5.0,93.57,4.0,96.15,3.0,93.1,5.0,93.77,6.0,"[13.0, 2.0, 79.34, 5.0, 2.0, 2.0, 6.0, 2.0, 93.57, 4.0, 96.15, 3.0, 93.1, 5.0, 93.77, 6.0]",https://sagarin.com/sports/cfsend.htm,2026-07-29T12:37:06Z,preformatted text parse; rating components parsed from Sagarin fields
2026-07-29,2026,Sagarin,Miami-FL,Miami-Florida,5,93.02,13.0,3.0,78.7,7.0,92.3,5.0,93.62,5.0,92.84,6.0,95.27,5.0,"[13.0, 3.0, 78.7, 7.0, 3.0, 1.0, 4.0, 3.0, 92.3, 5.0, 93.62, 5.0, 92.84, 6.0, 95.27, 5.0]",https://sagarin.com/sports/cfsend.htm,2026-07-29T12:37:06Z,preformatted text parse; rating components parsed from Sagarin fields
2026-07-29,2026,Sagarin,Texas Tech,Texas Tech,6,90.88,12.0,2.0,70.4,62.0,89.08,7.0,89.56,9.0,94.45,3.0,99.63,3.0,"[12.0, 2.0, 70.4, 62.0, 1.0, 1.0, 3.0, 1.0, 89.08, 7.0, 89.56, 9.0, 94.45, 3.0, 99.63, 3.0, 12.0]",https://sagarin.com/sports/cfsend.htm,2026-07-29T12:37:06Z,preformatted text parse; rating components parsed from Sagarin fields
2026-07-29,2026,Sagarin,Georgia,Georgia,7,89.07,12.0,2.0,76.53,16.0,89.32,6.0,93.06,6.0,86.0,11.0,86.9,12.0,"[12.0, 2.0, 76.53, 16.0, 1.0, 1.0, 5.0, 2.0, 89.32, 6.0, 93.06, 6.0, 86.0, 11.0, 86.9, 12.0]",https://sagarin.com/sports/cfsend.htm,2026-07-29T12:37:06Z,preformatted text parse; rating components parsed from Sagarin fields
2026-07-29,2026,Sagarin,Ole Miss,Mississippi,8,88.84,13.0,2.0,74.47,31.0,88.35,8.0,90.7,7.0,87.47,9.0,89.87,9.0,"[13.0, 2.0, 74.47, 31.0, 1.0, 2.0, 3.0, 2.0, 88.35, 8.0, 90.7, 7.0, 87.47, 9.0, 89.87, 9.0]",https://sagarin.com/sports/cfsend.htm,2026-07-29T12:37:06Z,preformatted text parse; rating components parsed from Sagarin fields
2026-07-29,2026,Sagarin,Utah,Utah,9,86.8,11.0,2.0,70.51,61.0,85.83,13.0,85.5,14.0,88.99,7.0,93.69,7.0,"[11.0, 2.0, 70.51, 61.0, 0.0, 1.0, 0.0, 2.0, 85.83, 13.0, 85.5, 14.0, 88.99, 7.0, 93.69, 7.0, 12.0]",https://sagarin.com/sports/cfsend.htm,2026-07-29T12:37:06Z,preformatted text parse; rating components parsed from Sagarin fields
2026-07-29,2026,Sagarin,Penn State,Penn State,10,86.46,7.0,6.0,75.2,26.0,87.69,9.0,86.11,12.0,85.44,13.0,85.28,13.0,"[7.0, 6.0, 75.2, 26.0, 0.0, 3.0, 1.0, 4.0, 87.69, 9.0, 86.11, 12.0, 85.44, 13.0, 85.28, 13.0]",https://sagarin.com/sports/cfsend.htm,2026-07-29T12:37:06Z,preformatted text parse; rating components parsed from Sagarin fields
