snapshot_date,season,team,conference,book,win_total,over_odds,under_odds,source_url,notes
2026-06-23,2026,Air Force,,BetMGM,6.5,-165,130,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-23,2026,Air Force,,DraftKings,6.5,-160,125,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-23,2026,Akron,,BetMGM,4.5,-115,-115,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-23,2026,Akron,,DraftKings,4.5,-125,-105,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-23,2026,Alabama,,BetMGM,8.5,-125,100,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-23,2026,Alabama,,DraftKings,8.5,100,-120,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-23,2026,App State,,BetMGM,5.5,-165,130,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-23,2026,App State,,DraftKings,5.5,-166,130,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-23,2026,Arizona,,BetMGM,7.5,110,-140,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-23,2026,Arizona,,DraftKings,7.5,105,-125,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-23,2026,Arizona State,,BetMGM,6.5,-130,100,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-23,2026,Arizona State,,DraftKings,6.5,-120,100,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-23,2026,Arkansas,,BetMGM,4.5,135,-175,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-23,2026,Arkansas,,DraftKings,4.5,130,-166,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-23,2026,Arkansas St,,BetMGM,6.5,120,-150,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-23,2026,Arkansas St,,DraftKings,6.5,110,-140,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-23,2026,Army,,BetMGM,7.5,-145,115,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
