team,conference,rank,combo,avg_total_wins,conference_title_pct,avg_conference_wins
Ohio State,B1G,1,30.9333,10.4497,0.5087,7.8088
Oregon,B1G,2,27.7,9.4083,0.3088,7.5443
Notre Dame,Independent,3,26.9333,11.0528,0.0,0.0
Georgia,SEC,5,26.2333,9.0628,0.4104,7.1287
Indiana,B1G,6,25.5333,9.1141,0.1333,7.1191
Texas,SEC,4,26.3333,8.8312,0.2135,6.5041
Texas Tech,B12,8,22.3,10.0255,0.6974,8.058
Miami-FL,ACC,7,22.7,8.9646,0.6551,7.6896
Texas A&M,SEC,9,21.0,7.4556,0.0791,5.5762
LSU,SEC,10,20.7667,7.9131,0.125,6.1326
Alabama,SEC,11,19.9667,7.3399,0.064,5.5715
Oklahoma,SEC,12,19.0,7.4455,0.0311,5.0677
USC,B1G,13,18.2333,7.9403,0.01,5.0327
Michigan,B1G,15,17.2667,7.6303,0.0073,5.1135
Tennessee,SEC,16,15.9667,6.7896,0.0276,5.063
Ole Miss,SEC,14,18.0667,6.196,0.0165,4.565
Penn State,B1G,18,15.2667,9.3886,0.0225,6.4988
BYU,B12,19,14.4,7.8926,0.156,6.6695
Florida,SEC,17,15.3,6.0823,0.0106,4.5021
Missouri,SEC,20,14.1333,6.3294,0.0144,4.646
Washington,B1G,21,13.6,6.9159,0.0048,5.0173
Iowa,B1G,22,12.7,7.1722,0.0042,5.3219
Clemson,ACC,23,12.6,6.9229,0.0549,5.1623
South Carolina,SEC,26,12.0,5.4776,0.0041,4.0766
Utah,B12,28,11.0667,7.6179,0.059,5.903
Auburn,SEC,24,12.2,5.4235,0.0025,3.7457
Louisville,ACC,27,11.4,7.1042,0.0979,6.1078
SMU,ACC,25,12.1333,7.318,0.0992,6.22
Kansas State,B12,32,8.5667,7.5887,0.033,5.753
Arizona,B12,30,8.7,6.6081,0.0169,4.8113
Vanderbilt,SEC,29,9.6,5.3171,0.0014,3.6654
Virginia Tech,ACC,34,8.3333,6.4634,0.0288,4.9757
Illinois,B1G,35,8.2667,6.0338,0.0004,4.4162
TCU,B12,37,7.9667,6.1231,0.0122,4.5517
Florida State,ACC,33,8.4667,5.5246,0.0091,3.9674
Houston,B12,31,8.6333,6.2758,0.0083,4.5662
Nebraska,B1G,36,8.1667,5.0711,0.0,3.1761
Oklahoma State,B12,43,5.7,5.5761,0.0077,4.6432
Boise State,PAC12,42,5.8333,8.0574,0.6974,6.4406
Virginia,ACC,38,7.8333,6.4604,0.0135,4.8205
Pittsburgh,ACC,39,7.7,5.8325,0.0101,4.3717
Arizona State,B12,40,6.6333,4.9841,0.0036,4.0492
Georgia Tech,ACC,44,5.3333,5.0046,0.0036,3.9967
Duke,ACC,53,3.7,5.6485,0.0074,4.4374
Minnesota,B1G,50,4.6333,4.9843,0.0,3.4097
UCLA,B1G,51,4.6,5.9174,0.0001,3.8261
Arkansas,SEC,49,4.7,3.066,0.0,1.9727
NC State,ACC,47,4.9333,6.1217,0.0129,4.8621
Northwestern,B1G,54,3.6,4.3686,0.0,2.7238
Baylor,B12,45,5.2,4.9102,0.0017,3.7285
Cincinnati,B12,57,3.0667,4.7683,0.0013,3.3518
Mississippi State,SEC,48,4.8,3.3671,0.0,1.9839
Kentucky,SEC,41,6.0333,3.0931,0.0,1.7989
Maryland,B1G,60,2.5667,4.8161,0.0,3.5853
North Carolina,ACC,55,3.6,4.2787,0.0011,3.0225
California,ACC,58,2.8667,5.0422,0.0036,4.033
Kansas,B12,52,3.9667,4.6357,0.001,3.3681
Wake Forest,ACC,56,3.1333,5.1674,0.0024,3.5539
UNLV,MW,63,1.2667,8.9176,0.4437,5.9831
Central Florida,B12,59,2.5667,4.951,0.001,3.6383
Rutgers,B1G,64,0.8,4.2449,0.0,2.7191
Wisconsin,B1G,46,5.0,4.3359,0.0,3.3837
Navy,American,65,0.4333,7.3202,0.3595,6.15
Iowa State,B12,68,0.0333,4.1395,0.0004,3.1091
Colorado,B12,62,1.3333,3.4795,0.0003,2.8118
West Virginia,B12,61,1.8333,4.231,0.0001,2.9872
Michigan State,B1G,67,0.1333,4.2903,0.0,2.5394
New Mexico,MW,75,-2.0333,7.0188,0.209,5.2505
Syracuse,ACC,69,-0.5667,3.5033,0.0003,2.7275
Memphis,American,71,-1.5,6.5508,0.1527,5.2343
San Diego State,PAC12,66,0.4,6.07,0.1101,4.5062
North Dakota State,MW,84,-4.1667,7.6801,0.0,5.1845
Boston College,ACC,81,-3.4667,2.8237,0.0,2.0558
UTSA,American,79,-2.7667,6.6527,0.1488,5.3369
Stanford,ACC,78,-2.7333,2.606,0.0001,1.9961
East Carolina,American,77,-2.1,6.9418,0.1284,5.5286
James Madison,Sun Belt,72,-1.8667,7.0902,0.3486,5.9676
Fresno State,PAC12,70,-0.9333,6.9684,0.0833,4.3141
Air Force,MW,87,-5.5333,7.1853,0.2065,5.4266
South Florida,American,75,-2.0333,7.2026,0.0668,4.6538
Miami-OH,MAC,91,-6.8333,7.762,0.5253,6.4674
Purdue,B1G,73,-1.9667,2.1451,0.0,1.7643
Army,American,80,-3.2667,6.1664,0.0613,4.6699
Hawaii,MW,85,-4.2,7.5137,0.1148,5.0831
Washington State,PAC12,82,-3.6667,4.1057,0.0382,3.7731
Western Kentucky,CUSA,89,-6.2,6.9244,0.3777,6.2494
Tulane,American,74,-2.0,6.6474,0.0451,4.6988
Old Dominion,Sun Belt,86,-4.9333,6.3747,0.1419,5.2357
Texas State,PAC12,83,-4.0667,4.8081,0.0264,3.6389
Troy,Sun Belt,92,-7.0333,6.5188,0.1042,5.0226
Oregon State,PAC12,96,-8.1333,4.5193,0.0249,3.5688
Liberty,CUSA,93,-7.5333,7.7635,0.3089,6.1068
Marshall,Sun Belt,95,-8.0,6.9791,0.0978,5.1582
Florida Atlantic,American,101,-9.0333,5.2792,0.0124,3.5962
Western Michigan,MAC,90,-6.5,6.165,0.1826,5.3026
Tulsa,American,98,-8.9667,5.1984,0.0128,3.9701
Jacksonville State,CUSA,98,-8.9667,7.1366,0.1502,5.6934
Utah State,PAC12,88,-6.0667,3.4825,0.0099,2.8605
Colorado State,PAC12,106,-10.4667,3.8139,0.0098,2.8977
Louisiana Tech,Sun Belt,97,-8.8333,5.3465,0.0658,4.7821
Arkansas State,Sun Belt,104,-9.5667,6.2707,0.0847,5.3178
Temple,American,103,-9.4,5.1298,0.0087,3.9005
Georgia Southern,Sun Belt,105,-9.7667,4.946,0.0456,4.3697
Louisiana,Sun Belt,102,-9.2333,7.1007,0.0849,5.3467
Kennesaw State,CUSA,108,-10.8333,6.7031,0.121,5.3831
Wyoming,MW,113,-12.0,5.2029,0.0181,3.6324
Connecticut,Independent,111,-11.1,4.1613,0.0,0.0
Toledo,MAC,94,-7.7,6.1274,0.0914,5.1845
North Texas,American,98,-8.9667,4.2325,0.0032,3.7451
Buffalo,MAC,115,-13.0667,5.2156,0.0595,4.7017
Appalachian State,Sun Belt,110,-10.9333,5.1403,0.0122,3.9274
Nevada,MW,118,-14.0667,4.3518,0.0058,3.1075
Central Michigan,MAC,114,-12.6,5.1036,0.0437,4.4533
Delaware,CUSA,107,-10.7,4.5911,0.021,3.9423
Bowling Green,MAC,120,-14.9,4.8849,0.0314,4.4553
South Alabama,Sun Belt,112,-11.5333,4.6263,0.0096,3.7442
Ohio,MAC,108,-10.8333,5.5301,0.0402,4.6671
Florida International,CUSA,117,-13.7667,5.0619,0.0127,4.2267
Coastal Carolina,Sun Belt,116,-13.2333,3.9833,0.0047,3.1783
Rice,American,119,-14.4333,2.7131,0.0003,2.199
Eastern Michigan,MAC,122,-15.0667,5.1187,0.0205,4.3612
San Jose State,MW,120,-14.9,3.4524,0.0018,2.5758
New Mexico State,CUSA,125,-16.8333,3.7945,0.0081,3.5754
UAB,American,126,-17.2667,3.0145,0.0,2.0256
Northern Illinois,MW,128,-17.7667,2.6364,0.0002,1.9716
Missouri State,CUSA,124,-15.9667,2.5182,0.0003,2.3311
Akron,MAC,129,-18.1,2.9413,0.002,2.82
Kent State,MAC,132,-20.0333,3.0841,0.0022,2.9976
UTEP,MW,130,-19.3667,1.9935,0.0,1.7851
Sacramento State,MAC,127,-17.4333,3.259,0.0011,3.0541
Southern Miss,Sun Belt,123,-15.3667,1.8127,0.0,1.5099
UL-Monroe,Sun Belt,134,-21.1333,1.831,0.0,1.4494
Georgia State,Sun Belt,131,-19.9,1.4103,0.0,0.9903
Ball State,MAC,135,-21.8333,2.3423,0.0002,2.3099
Middle Tennessee,CUSA,133,-21.0,1.4022,0.0,1.2011
Sam Houston,CUSA,136,-22.9333,1.3851,0.0,1.2907
Massachusetts,MAC,138,-26.0667,1.2934,0.0,1.2252
Charlotte,American,137,-23.4333,0.4094,0.0,0.2913
