game_id,cfbd_game_id,week,date,away_team,home_team,neutral_site,away_power,home_power,hfa_used,old_projected_margin_home,new_projected_margin_home,diff_removed,old_projected_spread,new_projected_spread
g1,401866408,0,2026-08-29,Sacramento State,Eastern Michigan,False,-22.7,-15.0,1.5,6.1,9.2,-3.0999999999999996,Eastern Michigan -6.1,Eastern Michigan -9.2
g2,401864570,0,2026-08-29,New Mexico State,Florida State,False,-16.4,8.8,1.9,29.05,27.1,1.9499999999999993,Florida State -29.1,Florida State -27.1
g3,401864577,0,2026-08-29,Jacksonville State,North Dakota State,False,-7.7,-1.4,2.5,11.4,8.8,2.5999999999999996,North Dakota State -11.4,North Dakota State -8.8
g4,401858201,0,2026-08-29,Hawaii,Stanford,False,-3.9,-1.9,1.4,5.2,3.4,1.8000000000000003,Stanford -5.2,Stanford -3.4
g5,401856766,0,2026-08-29,North Carolina,TCU,True,3.8,9.1,0.0,8.15,5.3,2.8500000000000005,TCU -8.2,TCU -5.3
g6,401862693,0,2026-08-29,Memphis,UNLV,False,-1.1,2.8,2.1,2.5,6.0,-3.5,UNLV -2.5,UNLV -6
g7,401864494,0,2026-08-29,San Jose State,USC,False,-15.5,16.8,2.4,32.85,34.7,-1.8500000000000014,USC -32.9,USC -34.7
g8,401858202,0,2026-08-29,NC State,Virginia,True,4.9,6.6,0.0,5.0,1.7,3.3,Virginia -5,Virginia -1.7
g12,401856776,1,2026-09-03,Colorado,Georgia Tech,False,0.9,6.0,1.4,6.75,6.5,0.25,Georgia Tech -6.8,Georgia Tech -6.5
g16,401858423,1,2026-09-03,Massachusetts,Rutgers,False,-30.9,1.8,2.1,34.9,34.8,0.10000000000000142,Rutgers -34.9,Rutgers -34.8
g18,401858204,1,2026-09-03,Akron,Wake Forest,False,-19.5,3.6,3.0,26.55,26.1,0.4499999999999993,Wake Forest -26.6,Wake Forest -26.1
