path,rows,columns_count,games,modified,book_columns,books_detected,market_types,game_columns,team_columns,line_columns,has_long_form_books,has_wide_form_books,stage2_matrix_candidate,all_columns
/Users/jameslindesmith/NCAAF_AUTO/data/audit/actionnetwork_visible_dk_win_totals_audit.csv,1,9,,2026-07-28T08:00:24.592941,,,total,,,body_has_total_wins,False,False,False,pulled_at | headless | clicked | attempts | dom_rows_seen | parsed_rows | body_has_regular_season | body_has_total_wins | body_has_alabama
/Users/jameslindesmith/NCAAF_AUTO/data/audit/bad_win_total_line_moves_2plus.csv,36,17,,2026-06-19T22:08:25.816544,book,DraftKings,,,,abs_line_move,True,False,False,market | snapshot_prev | snapshot_latest | move_date | season | conference | team | book | field | previous | latest | change | implied_prob_change_pct | summary | previous_num | latest_num | abs_line_move
/Users/jameslindesmith/NCAAF_AUTO/data/audit/draftkings_win_total_anomalies_vs_other_books.csv,59,13,,2026-06-19T22:09:41.673292,book,DraftKings,total,,,win_total | over_odds | under_odds | win_total_num,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes | win_total_num | non_dk_median | dk_vs_other_median
/Users/jameslindesmith/NCAAF_AUTO/data/audit/duplicate_team_book_win_total_rows_latest.csv,54,10,,2026-06-19T22:08:25.822130,book,DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/duplicate_team_book_win_totals_latest.csv,27,3,,2026-06-19T22:08:25.819026,book,DraftKings,total,,,unique_win_totals,True,False,False,team | book | unique_win_totals
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260620_030138.csv,470,10,,2026-06-19T23:01:38.882408,book,BetMGM | Caesars | DraftKings | FanDuel,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260620_120026.csv,278,10,,2026-06-20T08:00:26.464550,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260621_014037.csv,278,10,,2026-06-20T21:40:37.655893,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260621_120036.csv,278,10,,2026-06-21T08:00:36.684844,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260622_120302.csv,278,10,,2026-06-22T08:03:02.979471,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260623_120357.csv,278,10,,2026-06-23T08:03:57.316638,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260624_121028.csv,278,10,,2026-06-24T08:10:28.653270,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260625_121417.csv,278,10,,2026-06-25T08:14:17.399128,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260626_121329.csv,278,10,,2026-06-26T08:13:29.140495,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_120706.csv,278,10,,2026-06-27T08:07:06.703516,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_140800.csv,278,10,,2026-06-27T10:08:00.501343,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_141557.csv,278,10,,2026-06-27T10:15:57.424365,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260627_152014.csv,278,10,,2026-06-27T11:20:14.248730,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260628_120743.csv,278,10,,2026-06-28T08:07:43.339031,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260629_120553.csv,278,10,,2026-06-29T08:05:53.487131,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260630_121943.csv,278,10,,2026-06-30T08:19:43.755495,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260630_151344.csv,277,10,,2026-06-30T11:13:44.636741,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_120025.csv,277,10,,2026-07-01T08:00:25.112456,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_155557.csv,277,10,,2026-07-01T11:55:57.248499,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_161300.csv,277,10,,2026-07-01T12:13:00.920537,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_162952.csv,277,10,,2026-07-01T12:29:52.542720,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_163224.csv,277,10,,2026-07-01T12:32:24.815843,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_163835.csv,277,10,,2026-07-01T12:38:35.497585,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260701_164022.csv,277,10,,2026-07-01T12:40:22.192048,book,BetMGM | Caesars | DraftKings,total,,,win_total | over_odds | under_odds,True,False,False,snapshot_date | season | team | conference | book | win_total | over_odds | under_odds | source_url | notes
