team,overall_path,overall_value,offense_path,offense_value,defense_path,defense_value,numeric_field_count,all_numeric_fields
Notre Dame,overall,72.0,off,67.0,def,77.0,6,"{""def"": 77.0, ""defRank"": 2.0, ""off"": 67.0, ""offRank"": 19.0, ""overall"": 72.0, ""rank"": 1.0}"
Maryland,overall,71.0,off,68.0,def,74.0,6,"{""def"": 74.0, ""defRank"": 4.0, ""off"": 68.0, ""offRank"": 17.0, ""overall"": 71.0, ""rank"": 2.0}"
Nebraska,overall,69.0,off,69.0,def,69.0,6,"{""def"": 69.0, ""defRank"": 7.0, ""off"": 69.0, ""offRank"": 14.0, ""overall"": 69.0, ""rank"": 3.0}"
Virginia Tech,overall,69.0,off,71.0,def,67.0,6,"{""def"": 67.0, ""defRank"": 8.0, ""off"": 71.0, ""offRank"": 9.0, ""overall"": 69.0, ""rank"": 4.0}"
South Carolina,overall,68.0,off,76.0,def,61.0,6,"{""def"": 61.0, ""defRank"": 30.0, ""off"": 76.0, ""offRank"": 2.0, ""overall"": 68.0, ""rank"": 5.0}"
Texas,overall,68.0,off,73.0,def,63.0,6,"{""def"": 63.0, ""defRank"": 19.0, ""off"": 73.0, ""offRank"": 4.0, ""overall"": 68.0, ""rank"": 6.0}"
Minnesota,overall,68.0,off,71.0,def,65.0,6,"{""def"": 65.0, ""defRank"": 12.0, ""off"": 71.0, ""offRank"": 10.0, ""overall"": 68.0, ""rank"": 7.0}"
Georgia,overall,68.0,off,63.0,def,72.0,6,"{""def"": 72.0, ""defRank"": 5.0, ""off"": 63.0, ""offRank"": 32.0, ""overall"": 68.0, ""rank"": 8.0}"
UCLA,overall,67.0,off,73.0,def,61.0,6,"{""def"": 61.0, ""defRank"": 29.0, ""off"": 73.0, ""offRank"": 5.0, ""overall"": 67.0, ""rank"": 9.0}"
Florida,overall,66.0,off,55.0,def,77.0,6,"{""def"": 77.0, ""defRank"": 1.0, ""off"": 55.0, ""offRank"": 66.0, ""overall"": 66.0, ""rank"": 10.0}"
Oregon,overall,66.0,off,65.0,def,66.0,6,"{""def"": 66.0, ""defRank"": 11.0, ""off"": 65.0, ""offRank"": 26.0, ""overall"": 66.0, ""rank"": 11.0}"
Texas Tech,overall,65.0,off,67.0,def,64.0,6,"{""def"": 64.0, ""defRank"": 17.0, ""off"": 67.0, ""offRank"": 20.0, ""overall"": 65.0, ""rank"": 12.0}"
USC,overall,65.0,off,67.0,def,64.0,6,"{""def"": 64.0, ""defRank"": 16.0, ""off"": 67.0, ""offRank"": 22.0, ""overall"": 65.0, ""rank"": 13.0}"
Texas A&M,overall,65.0,off,67.0,def,63.0,6,"{""def"": 63.0, ""defRank"": 18.0, ""off"": 67.0, ""offRank"": 21.0, ""overall"": 65.0, ""rank"": 14.0}"
Washington,overall,65.0,off,69.0,def,61.0,6,"{""def"": 61.0, ""defRank"": 27.0, ""off"": 69.0, ""offRank"": 13.0, ""overall"": 65.0, ""rank"": 15.0}"
Oklahoma,overall,65.0,off,75.0,def,55.0,6,"{""def"": 55.0, ""defRank"": 57.0, ""off"": 75.0, ""offRank"": 3.0, ""overall"": 65.0, ""rank"": 16.0}"
Houston,overall,65.0,off,71.0,def,58.0,6,"{""def"": 58.0, ""defRank"": 44.0, ""off"": 71.0, ""offRank"": 7.0, ""overall"": 65.0, ""rank"": 17.0}"
BYU,overall,64.0,off,59.0,def,69.0,6,"{""def"": 69.0, ""defRank"": 6.0, ""off"": 59.0, ""offRank"": 50.0, ""overall"": 64.0, ""rank"": 18.0}"
Florida Atlantic,overall,64.0,off,62.0,def,65.0,6,"{""def"": 65.0, ""defRank"": 14.0, ""off"": 62.0, ""offRank"": 34.0, ""overall"": 64.0, ""rank"": 19.0}"
Michigan,overall,63.0,off,72.0,def,55.0,6,"{""def"": 55.0, ""defRank"": 55.0, ""off"": 72.0, ""offRank"": 6.0, ""overall"": 63.0, ""rank"": 20.0}"
New Mexico,overall,63.0,off,68.0,def,58.0,6,"{""def"": 58.0, ""defRank"": 40.0, ""off"": 68.0, ""offRank"": 16.0, ""overall"": 63.0, ""rank"": 21.0}"
SMU,overall,62.0,off,66.0,def,58.0,6,"{""def"": 58.0, ""defRank"": 38.0, ""off"": 66.0, ""offRank"": 23.0, ""overall"": 62.0, ""rank"": 22.0}"
Tulsa,overall,62.0,off,64.0,def,60.0,6,"{""def"": 60.0, ""defRank"": 36.0, ""off"": 64.0, ""offRank"": 28.0, ""overall"": 62.0, ""rank"": 23.0}"
Eastern Michigan,overall,62.0,off,59.0,def,64.0,6,"{""def"": 64.0, ""defRank"": 15.0, ""off"": 59.0, ""offRank"": 52.0, ""overall"": 62.0, ""rank"": 24.0}"
Delaware,overall,62.0,off,62.0,def,62.0,6,"{""def"": 62.0, ""defRank"": 24.0, ""off"": 62.0, ""offRank"": 38.0, ""overall"": 62.0, ""rank"": 25.0}"
