team,power_rank,power_rating,spplus,fpi,teamrankings,rating_source_count,rating_min,rating_max,rating_range,rating_stddev,rating_variance_tier,highest_source,lowest_source
Southern Miss,117,-13.690514705882352,-23.3,-5.1,-17.7,3,-23.3,-5.1,18.200000000000003,9.32165936587115,high,fpi,spplus
Charlotte,136,-23.17051470588235,-32.4,-14.6,-23.3,3,-32.4,-14.6,17.799999999999997,8.900749032150795,high,fpi,spplus
Sacramento State,127,-17.433333333333334,-22.7,-10.4,-19.2,3,-22.7,-10.4,12.299999999999999,6.337454799312838,high,fpi,spplus
Massachusetts,138,-27.965514705882352,-30.9,-18.8,-28.5,3,-30.9,-18.8,12.099999999999998,6.406507108661733,high,fpi,spplus
Georgia State,131,-19.445514705882353,-25.1,-15.2,-19.4,3,-25.1,-15.2,9.900000000000002,4.968903299521939,high,fpi,spplus
Middle Tennessee,134,-20.355514705882353,-26.0,-16.1,-20.9,3,-26.0,-16.1,9.899999999999999,4.950757517794624,high,fpi,spplus
Missouri State,122,-15.263014705882352,-18.7,-10.3,-18.9,3,-18.9,-10.3,8.599999999999998,4.908496035786657,high,fpi,teamrankings
Toledo,88,-5.238014705882351,-11.5,-3.0,-8.6,3,-11.5,-3.0,8.5,4.32087954009366,high,fpi,spplus
Sam Houston,137,-23.625514705882356,-26.3,-18.4,-24.1,3,-26.3,-18.4,7.900000000000002,4.077172222672639,high,fpi,spplus
Ball State,135,-22.335514705882353,-25.2,-17.3,-23.0,3,-25.2,-17.3,7.899999999999999,4.077172222672637,high,fpi,spplus
Tulane,71,-0.3055147058823522,-5.5,2.3,-2.8,3,-5.5,2.3,7.8,3.9610604640676716,high,fpi,spplus
UCLA,55,3.026985294117648,5.1,0.5,8.2,3,0.5,8.2,7.699999999999999,3.874274125562103,high,teamrankings,fpi
Miami-OH,93,-7.635514705882352,-2.9,-7.0,-10.6,3,-10.6,-2.9,7.699999999999999,3.852704677669096,high,spplus,teamrankings
Minnesota,54,3.5569852941176467,5.2,0.6,8.1,3,0.6,8.1,7.5,3.781974792794544,high,teamrankings,fpi
North Dakota State,86,-4.166666666666667,-1.4,-8.3,-2.8,3,-8.3,-1.4,6.9,3.6473734842120757,high,spplus,fpi
Wisconsin,49,4.416985294117648,1.8,4.8,8.4,3,1.8,8.4,6.6000000000000005,3.3045423283716615,high,teamrankings,spplus
Washington,21,13.664485294117648,14.5,9.9,16.4,3,9.9,16.4,6.499999999999998,3.34215499341368,high,teamrankings,fpi
Ole Miss,12,18.541985294117648,15.9,16.0,22.3,3,15.9,22.3,6.4,3.666515148384544,high,teamrankings,spplus
Delaware,110,-11.268014705882353,-13.0,-6.6,-12.5,3,-13.0,-6.6,6.4,3.5594943461115376,high,fpi,spplus
Nevada,119,-14.253014705882354,-12.2,-11.9,-18.1,3,-18.1,-11.9,6.200000000000001,3.4961884007206105,high,fpi,teamrankings
Northern Illinois,129,-18.008014705882356,-18.2,-14.5,-20.6,3,-20.6,-14.5,6.100000000000001,3.0730007050655455,high,fpi,teamrankings
Colorado,70,-0.1305147058823532,0.9,4.5,-1.4,3,-1.4,4.5,5.9,2.9737742572921255,medium,fpi,teamrankings
Indiana,3,27.276985294117647,24.5,23.1,29.0,3,23.1,29.0,5.899999999999999,3.0827476921300794,medium,teamrankings,fpi
Buffalo,116,-13.403014705882354,-11.9,-10.8,-16.5,3,-16.5,-10.8,5.699999999999999,3.0237945256470935,medium,fpi,teamrankings
Ohio,98,-9.115514705882353,-13.6,-8.0,-10.9,3,-13.6,-8.0,5.6,2.800595174839329,medium,fpi,spplus
North Texas,87,-4.710514705882352,-11.8,-6.4,-8.7,3,-11.8,-6.4,5.4,2.7098585448936876,medium,fpi,spplus
Kansas State,34,8.39198529411765,10.4,5.1,10.2,3,5.1,10.4,5.300000000000001,3.003886371574886,medium,spplus,fpi
Kennesaw State,108,-10.383014705882353,-9.3,-9.0,-14.2,3,-14.2,-9.0,5.199999999999999,2.9194748386196667,medium,fpi,teamrankings
Kentucky,42,5.959485294117647,3.8,5.4,8.9,3,3.8,8.9,5.1000000000000005,2.6083200212652846,medium,teamrankings,spplus
Air Force,92,-6.930514705882352,-2.4,-6.8,-7.4,3,-7.4,-2.4,5.0,2.7300793639257694,medium,spplus,teamrankings
UL-Monroe,133,-20.26801470588235,-24.3,-19.3,-19.8,3,-24.3,-19.3,5.0,2.753785273643051,medium,fpi,spplus
Oklahoma,11,18.686985294117648,17.2,17.8,22.0,3,17.2,22.0,4.800000000000001,2.615339366124404,medium,teamrankings,spplus
Boston College,84,-3.488014705882352,-1.5,-2.7,-6.2,3,-6.2,-1.5,4.7,2.4419937209856486,medium,spplus,teamrankings
Texas,6,24.791985294117648,23.7,26.9,28.4,3,23.7,28.4,4.699999999999999,2.4006943440041115,medium,teamrankings,spplus
Fresno State,74,-1.9905147058823536,-2.3,-2.5,2.0,3,-2.5,2.0,4.5,2.5423086620891127,medium,teamrankings,fpi
Army,82,-3.1680147058823516,-3.0,-5.6,-1.2,3,-5.6,-1.2,4.3999999999999995,2.2120880030716075,medium,teamrankings,fpi
Bowling Green,124,-15.445514705882353,-13.3,-13.7,-17.7,3,-17.7,-13.3,4.399999999999999,2.4331050121192876,medium,spplus,teamrankings
UTEP,130,-19.195514705882353,-20.5,-16.6,-21.0,3,-21.0,-16.6,4.399999999999999,2.4090108620206196,medium,fpi,teamrankings
Miami-FL,7,23.199485294117647,21.0,21.8,25.3,3,21.0,25.3,4.300000000000001,2.2869193252058544,medium,teamrankings,spplus
Utah,23,13.041985294117648,11.9,8.5,12.8,3,8.5,12.8,4.300000000000001,2.2678918257565406,medium,teamrankings,fpi
Western Michigan,89,-5.763014705882352,-7.2,-4.0,-8.3,3,-8.3,-4.0,4.300000000000001,2.233830790368868,medium,fpi,teamrankings
West Virginia,65,0.8419852941176469,0.8,0.2,4.5,3,0.2,4.5,4.3,2.3288051299611423,medium,teamrankings,fpi
Kent State,132,-20.008014705882353,-20.1,-17.9,-22.1,3,-22.1,-17.9,4.200000000000003,2.100793500878499,medium,fpi,teamrankings
Florida Atlantic,103,-9.515514705882351,-7.1,-11.3,-8.7,3,-11.3,-7.1,4.200000000000001,2.11974841274462,medium,spplus,fpi
Cincinnati,53,3.8519852941176462,4.5,4.4,0.3,3,0.3,4.5,4.2,2.396525262402492,medium,spplus,teamrankings
Oregon,4,27.17698529411765,28.3,25.3,29.5,3,25.3,29.5,4.199999999999999,2.1633307652783933,medium,teamrankings,fpi
Louisville,29,10.91948529411765,11.0,9.5,13.7,3,9.5,13.7,4.199999999999999,2.1283796653792755,medium,teamrankings,fpi
Colorado State,113,-12.145514705882352,-8.3,-12.4,-10.7,3,-12.4,-8.3,4.1,2.05993527406405,medium,spplus,fpi
USC,14,17.95948529411765,16.8,17.0,20.9,3,16.8,20.9,4.099999999999998,2.3115651263447736,medium,teamrankings,spplus
Michigan,15,16.596985294117648,16.1,15.9,19.8,3,15.9,19.8,3.9000000000000004,2.196208854670551,medium,teamrankings,fpi
Texas State,83,-3.345514705882352,-5.9,-4.3,-2.0,3,-5.9,-2.0,3.9000000000000004,1.9604421270043484,medium,teamrankings,spplus
Utah State,90,-5.870514705882353,-7.7,-6.7,-3.8,3,-7.7,-3.8,3.9000000000000004,2.0256686138984663,medium,teamrankings,spplus
Hawaii,85,-4.028014705882352,-3.9,-2.4,-6.3,3,-6.3,-2.4,3.9,1.9672315572906003,medium,fpi,teamrankings
Arizona State,39,6.459485294117647,6.4,4.8,8.7,3,4.8,8.7,3.8999999999999995,1.960442127004348,medium,teamrankings,fpi
Texas Tech,8,23.11948529411765,23.1,20.0,23.8,3,20.0,23.8,3.8000000000000007,2.0223748416156693,medium,teamrankings,fpi
Duke,48,4.426985294117648,5.7,3.5,1.9,3,1.9,5.7,3.8000000000000003,1.9078784028338915,medium,spplus,teamrankings
Oklahoma State,61,1.7044852941176465,7.1,3.3,6.7,3,3.3,7.1,3.8,2.0880613017821097,medium,spplus,fpi
UTSA,77,-2.288014705882353,-1.5,-5.3,-1.5,3,-5.3,-1.5,3.8,2.1939310229205775,medium,spplus,fpi
Florida,20,14.091985294117649,14.9,13.6,17.4,3,13.6,17.4,3.799999999999999,1.931320791582796,medium,teamrankings,fpi
Wyoming,112,-12.140514705882351,-9.6,-13.1,-13.3,3,-13.3,-9.6,3.700000000000001,2.0808652046684815,medium,spplus,teamrankings
Oregon State,99,-9.153014705882352,-6.3,-8.1,-10.0,3,-10.0,-6.3,3.7,1.8502252115170559,medium,spplus,teamrankings
Washington State,79,-2.6455147058823516,-5.3,-4.1,-1.6,3,-5.3,-1.6,3.6999999999999997,1.887679351302369,medium,teamrankings,spplus
UNLV,68,0.344485294117647,2.8,1.8,-0.8,3,-0.8,2.8,3.5999999999999996,1.8583146486355138,medium,spplus,teamrankings
Ohio State,1,30.514485294117648,31.8,28.7,32.3,3,28.7,32.3,3.599999999999998,1.9502136635080096,medium,teamrankings,fpi
Georgia,5,25.389485294117645,25.5,24.8,28.4,3,24.8,28.4,3.599999999999998,1.9087517736293866,medium,teamrankings,fpi
SMU,26,12.001985294117649,10.9,11.1,14.4,3,10.9,14.4,3.5,1.965536398374076,medium,teamrankings,spplus
Houston,35,8.381985294117646,8.2,7.1,10.6,3,7.1,10.6,3.5,1.78978583448784,medium,teamrankings,fpi
Pittsburgh,37,7.859485294117649,6.5,6.6,10.0,3,6.5,10.0,3.5,1.9924858845171276,medium,teamrankings,spplus
Western Kentucky,91,-6.723014705882353,-5.3,-4.9,-8.4,3,-8.4,-4.9,3.5,1.9157244060668017,medium,fpi,teamrankings
Alabama,10,19.526985294117644,18.2,20.1,21.6,3,18.2,21.6,3.400000000000002,1.7039170558842756,medium,teamrankings,spplus
Northwestern,51,4.034485294117649,4.6,1.4,4.8,3,1.4,4.8,3.4,1.9078784028338913,medium,teamrankings,fpi
Notre Dame,2,27.29698529411765,25.8,25.9,29.1,3,25.8,29.1,3.3000000000000007,1.877054430040146,medium,teamrankings,spplus
Iowa,22,13.639485294117646,13.6,10.6,13.9,3,10.6,13.9,3.3000000000000007,1.8248287590894663,medium,teamrankings,fpi
Missouri,18,14.541985294117646,14.8,12.2,15.4,3,12.2,15.4,3.200000000000001,1.7009801096230772,medium,teamrankings,fpi
California,58,1.894485294117647,3.7,0.9,4.0,3,0.9,4.0,3.1,1.7097758137642882,medium,teamrankings,fpi
East Carolina,72,-1.065514705882351,-2.0,-0.6,-3.7,3,-3.7,-0.6,3.1,1.5524174696260025,medium,fpi,teamrankings
