ourlads_team,site_team,missing_site_team
Air Force Falcons,Air Force,False
Akron Zips,Akron,False
Alabama Crimson Tide,Alabama,False
Appalachian State Mountaineers,Appalachian State,False
Arizona State Sun Devils,Arizona State,False
Arizona Wildcats,Arizona,False
Arkansas Razorbacks,Arkansas,False
Arkansas State Red Wolves,Arkansas State,False
Army Black Knights,Army,False
Auburn Tigers,Auburn,False
BYU Cougars,BYU,False
Ball State Cardinals,Ball State,False
Baylor Bears,Baylor,False
Boise State Broncos,Boise State,False
Boston College Eagles,Boston College,False
Bowling Green Falcons,Bowling Green,False
Buffalo Bulls,Buffalo,False
California Golden Bears,California,False
Central Florida Knights,UCF,False
Central Michigan Chippewas,Central Michigan,False
Charlotte 49ers,Charlotte,False
Cincinnati Bearcats,Cincinnati,False
Clemson Tigers,Clemson,False
Coastal Carolina Chanticleers,Coastal Carolina,False
Colorado Buffaloes,Colorado,False
Colorado State Rams,Colorado State,False
Connecticut Huskies,Connecticut,False
Delaware Fightin' Blue Hens,Delaware,False
Duke Blue Devils,Duke,False
East Carolina Pirates,East Carolina,False
Eastern Michigan Eagles,Eastern Michigan,False
Florida Atlantic Owls,Florida Atlantic,False
Florida Gators,Florida,False
Florida International Panthers,FIU,False
Florida State Seminoles,Florida State,False
Fresno State Bulldogs,Fresno State,False
Georgia Bulldogs,Georgia,False
Georgia Southern Eagles,Georgia Southern,False
Georgia State Panthers,Georgia State,False
Georgia Tech Yellow Jackets,Georgia Tech,False
Hawaii Rainbow Warriors,Hawaii,False
Houston Cougars,Houston,False
Illinois Fighting Illini,Illinois,False
Indiana Hoosiers,Indiana,False
Iowa Hawkeyes,Iowa,False
Iowa State Cyclones,Iowa State,False
Jacksonville State Gamecocks,Jacksonville State,False
James Madison Dukes,James Madison,False
Kansas Jayhawks,Kansas,False
Kansas State Wildcats,Kansas State,False
Kennesaw State Owls,Kennesaw State,False
Kent State Golden Flashes,Kent State,False
Kentucky Wildcats,Kentucky,False
LSU Tigers,LSU,False
Liberty Flames,Liberty,False
Louisiana Ragin' Cajuns,Louisiana,False
Louisiana Tech Bulldogs,Louisiana Tech,False
Louisiana-Monroe Warhawks,Louisiana-Monroe,False
Louisville Cardinals,Louisville,False
Marshall Thundering Herd,Marshall,False
Maryland Terrapins,Maryland,False
Massachusetts Minutemen,UMass,False
Memphis Tigers,Memphis,False
Miami (Ohio) RedHawks,Miami OH,False
Miami Hurricanes,Miami FL,False
Michigan State Spartans,Michigan State,False
Michigan Wolverines,Michigan,False
Middle Tennessee Blue Raiders,Middle Tennessee,False
Minnesota Golden Gophers,Minnesota,False
Mississippi Rebels,Ole Miss,False
Mississippi State Bulldogs,Mississippi State,False
Missouri State Bears,Missouri State,False
Missouri Tigers,Missouri,False
Navy Midshipmen,Navy,False
Nebraska Cornhuskers,Nebraska,False
Nevada Wolf Pack,Nevada,False
New Mexico Lobos,New Mexico,False
New Mexico State Aggies,New Mexico State,False
North Carolina State Wolfpack,NC State,False
North Carolina Tar Heels,North Carolina,False
North Texas Mean Green,North Texas,False
Northern Illinois Huskies,Northern Illinois,False
Northwestern Wildcats,Northwestern,False
Notre Dame Fighting Irish,Notre Dame,False
Ohio Bobcats,Ohio,False
Ohio State,Ohio State,False
Ohio State Buckeyes,Ohio State,False
Oklahoma Sooners,Oklahoma,False
Oklahoma State Cowboys,Oklahoma State,False
Old Dominion Monarchs,Old Dominion,False
Oregon Ducks,Oregon,False
Oregon State Beavers,Oregon State,False
Penn State Nittany Lions,Penn State,False
Pittsburgh Panthers,Pittsburgh,False
Purdue Boilermakers,Purdue,False
Rice Owls,Rice,False
Rutgers Scarlet Knights,Rutgers,False
SMU Mustangs,SMU,False
Sam Houston Bearkats,Sam Houston,False
San Diego State Aztecs,San Diego State,False
San Jose State Spartans,San Jose State,False
South Alabama Jaguars,South Alabama,False
South Carolina Gamecocks,South Carolina,False
South Florida Bulls,South Florida,False
Southern Miss Golden Eagles,Southern Miss,False
Stanford Cardinal,Stanford,False
Syracuse Orange,Syracuse,False
TCU Horned Frogs,TCU,False
Temple Owls,Temple,False
Tennessee Volunteers,Tennessee,False
Texas A&M Aggies,Texas A&M,False
Texas Longhorns,Texas,False
Texas State Bobcats,Texas State,False
Texas Tech Red Raiders,Texas Tech,False
Toledo Rockets,Toledo,False
Troy Trojans,Troy,False
Tulane Green Wave,Tulane,False
Tulsa Golden Hurricane,Tulsa,False
UAB Blazers,UAB,False
UCLA Bruins,UCLA,False
UNLV Rebels,UNLV,False
USC Trojans,USC,False
UTEP Miners,UTEP,False
UTSA Roadrunners,UTSA,False
Utah State Aggies,Utah State,False
Utah Utes,Utah,False
Vanderbilt Commodores,Vanderbilt,False
Virginia Cavaliers,Virginia,False
Virginia Tech Hokies,Virginia Tech,False
Wake Forest Demon Deacons,Wake Forest,False
Washington Huskies,Washington,False
Washington State Cougars,Washington State,False
West Virginia Mountaineers,West Virginia,False
Western Kentucky Hilltoppers,Western Kentucky,False
Western Michigan Broncos,Western Michigan,False
Wisconsin Badgers,Wisconsin,False
Wyoming Cowboys,Wyoming,False
