team,conference,rank,combo,rating_spplus,rating_fpi,rating_teamrankings,avg_total_wins,avg_conference_wins,make_title_game_pct,conference_title_pct,lose_title_game_pct,bowl_eligibility_pct
Ohio State,B1G,1,30.9333,31.8,28.7,32.3,10.5067,7.947,0.7641,0.4947,0.2694,1.0
Oregon,B1G,2,27.7,28.3,25.3,29.5,9.6262,7.7024,0.6031,0.2903,0.3128,1.0
Notre Dame,Independent,3,26.9333,25.8,25.9,29.1,11.3824,0.0,0.0,0.0,0.0,1.0
Georgia,SEC,5,26.2333,25.5,24.8,28.4,9.5147,7.5471,0.6466,0.3781,0.2685,0.9994
Indiana,B1G,6,25.5333,24.5,23.1,29.0,9.4985,7.5087,0.4267,0.1764,0.2503,0.9998
Texas,SEC,4,26.3333,23.7,26.9,28.4,9.6569,7.2282,0.593,0.3452,0.2478,0.9991
Texas Tech,B12,8,22.3,23.1,20.0,23.8,10.3711,8.3879,0.9556,0.7329,0.2227,1.0
Miami-FL,ACC,7,22.7,21.0,21.8,25.3,9.5487,8.3039,0.9292,0.7343,0.1949,0.9998
Texas A&M,SEC,9,21.0,20.3,20.0,22.7,7.5857,5.6585,0.1325,0.0525,0.08,0.9485
LSU,SEC,10,20.7667,20.2,20.0,22.1,8.1308,6.2701,0.2471,0.0938,0.1533,0.9725
Alabama,SEC,11,19.9667,18.2,20.1,21.6,7.9768,6.0912,0.1812,0.0705,0.1107,0.9652
Oklahoma,SEC,12,19.0,17.2,17.8,22.0,7.8092,5.39,0.075,0.0251,0.0499,0.9561
USC,B1G,13,18.2333,16.8,17.0,20.9,8.3704,5.4206,0.0454,0.0111,0.0343,0.9941
Michigan,B1G,15,17.2667,16.1,15.9,19.8,8.1041,5.5679,0.0426,0.0095,0.0331,0.9844
Tennessee,SEC,16,15.9667,16.0,15.1,16.8,6.742,4.9579,0.0439,0.0131,0.0308,0.8136
Ole Miss,SEC,14,18.0667,15.9,16.0,22.3,6.6763,4.9478,0.0457,0.0148,0.0309,0.807
Penn State,B1G,18,15.2667,15.7,13.7,16.4,9.5708,6.6301,0.0892,0.0148,0.0744,0.9995
BYU,B12,19,14.4,15.5,13.1,14.6,8.1233,6.9905,0.5054,0.1548,0.3506,0.9762
Florida,SEC,17,15.3,14.9,13.6,17.4,6.0457,4.3811,0.0138,0.0035,0.0103,0.6525
Missouri,SEC,20,14.1333,14.8,12.2,15.4,5.9421,4.1995,0.0119,0.0019,0.01,0.6224
Washington,B1G,21,13.6,14.5,9.9,16.4,6.7962,4.877,0.0129,0.0014,0.0115,0.8587
Iowa,B1G,22,12.7,13.6,10.6,13.9,7.1741,5.2703,0.0115,0.0016,0.0099,0.9102
Clemson,ACC,23,12.6,12.8,13.4,11.6,7.2417,5.5193,0.1044,0.0346,0.0698,0.9067
South Carolina,SEC,26,12.0,12.1,11.7,12.2,5.1102,3.7243,0.0038,0.0005,0.0033,0.379
Utah,B12,28,11.0667,11.9,8.5,12.8,7.9499,6.1844,0.2604,0.0595,0.2009,0.958
Auburn,SEC,24,12.2,11.2,12.0,13.4,5.4643,3.7192,0.004,0.001,0.003,0.4847
Louisville,ACC,27,11.4,11.0,9.5,13.7,7.4551,6.5912,0.3524,0.0912,0.2612,0.9072
SMU,ACC,25,12.1333,10.9,11.1,14.4,7.9396,6.8885,0.4114,0.1064,0.305,0.9732
Kansas State,B12,32,8.5667,10.4,5.1,10.2,7.5309,5.7067,0.09,0.0184,0.0716,0.915
Arizona,B12,30,8.7,10.2,7.2,8.7,6.5523,4.7564,0.0524,0.012,0.0404,0.7846
Vanderbilt,SEC,29,9.6,10.0,9.0,9.8,4.8222,3.154,0.0014,0.0,0.0014,0.3073
Virginia Tech,ACC,34,8.3333,9.4,7.4,8.2,6.3532,4.8086,0.0328,0.008,0.0248,0.7377
Illinois,B1G,35,8.2667,9.3,6.3,9.2,6.0982,4.4001,0.0024,0.0,0.0024,0.6753
TCU,B12,37,7.9667,9.1,6.4,8.4,6.0513,4.4309,0.0403,0.0074,0.0329,0.6486
Florida State,ACC,33,8.4667,8.8,9.3,7.3,5.2045,3.8052,0.0151,0.0026,0.0125,0.414
Houston,B12,31,8.6333,8.2,7.1,10.6,6.7774,4.9265,0.0386,0.0068,0.0318,0.827
Nebraska,B1G,36,8.1667,7.7,8.8,8.0,5.2988,3.3592,0.0,0.0,0.0,0.4362
Oklahoma State,B12,43,5.7,7.1,3.3,6.7,5.2977,4.3492,0.0149,0.0021,0.0128,0.445
Boise State,PAC12,42,5.8333,6.8,4.0,6.7,8.261,6.5793,0.8775,0.6399,0.2376,0.9822
Virginia,ACC,38,7.8333,6.6,7.9,9.0,7.053,5.359,0.0631,0.0106,0.0525,0.8593
Pittsburgh,ACC,39,7.7,6.5,6.6,10.0,6.5392,4.8679,0.0305,0.0054,0.0251,0.7714
Arizona State,B12,40,6.6333,6.4,4.8,8.7,5.1955,4.2408,0.0166,0.0031,0.0135,0.4227
Georgia Tech,ACC,44,5.3333,6.0,4.2,5.8,4.9195,3.9912,0.0061,0.0009,0.0052,0.3349
Duke,ACC,53,3.7,5.7,3.5,1.9,5.0445,3.966,0.0049,0.0006,0.0043,0.3661
Minnesota,B1G,50,4.6333,5.2,0.6,8.1,4.6282,3.0588,0.0003,0.0,0.0003,0.2573
UCLA,B1G,51,4.6,5.1,0.5,8.2,5.7666,3.6411,0.0004,0.0,0.0004,0.577
Arkansas,SEC,49,4.7,5.0,4.4,4.7,2.5734,1.4578,0.0,0.0,0.0,0.0086
NC State,ACC,47,4.9333,4.9,3.7,6.2,6.3105,5.0691,0.0401,0.0047,0.0354,0.7148
