team,conference,rank,combo,avg_total_wins,avg_conference_wins,make_title_game_pct,conference_title_pct,lose_title_game_pct,bowl_eligibility_pct
Ohio State,B1G,1,30.9333,10.4695,7.8195,0.7529,0.4956,0.2573,1.0
Oregon,B1G,2,27.7,9.3988,7.5371,0.6127,0.3002,0.3125,0.9996
Notre Dame,Independent,3,26.9333,11.0535,0.0,0.0,0.0,0.0,1.0
Georgia,SEC,5,26.2333,9.0566,7.1211,0.6009,0.3759,0.225,0.9954
Indiana,B1G,6,25.5333,9.126,7.1319,0.3631,0.153,0.2101,0.9989
Texas,SEC,4,26.3333,8.8004,6.4843,0.4246,0.2532,0.1714,0.9912
Texas Tech,B12,8,22.3,10.019,8.0505,0.9059,0.706,0.1999,1.0
Miami-FL,ACC,7,22.7,8.9592,7.6862,0.8369,0.6684,0.1685,0.9968
Texas A&M,SEC,9,21.0,7.477,5.6002,0.18,0.0755,0.1045,0.9214
LSU,SEC,10,20.7667,7.9295,6.1439,0.2858,0.1192,0.1666,0.9547
Alabama,SEC,11,19.9667,7.3263,5.5548,0.1638,0.0694,0.0944,0.8953
Oklahoma,SEC,12,19.0,7.4416,5.0637,0.0879,0.0321,0.0558,0.9068
USC,B1G,13,18.2333,7.9581,5.047,0.0472,0.0108,0.0364,0.9719
Michigan,B1G,15,17.2667,7.6457,5.1261,0.0385,0.0098,0.0287,0.9467
Tennessee,SEC,16,15.9667,6.7838,5.0626,0.0874,0.0261,0.0613,0.8086
Ole Miss,SEC,14,18.0667,6.2368,4.6011,0.0535,0.0187,0.0348,0.6914
Penn State,B1G,18,15.2667,9.3898,6.4955,0.1211,0.0221,0.099,0.9983
BYU,B12,19,14.4,7.9277,6.7082,0.4562,0.1548,0.3014,0.9596
Florida,SEC,17,15.3,6.0811,4.4949,0.0355,0.0101,0.0254,0.6532
Missouri,SEC,20,14.1333,6.3425,4.662,0.0463,0.0119,0.0344,0.7244
Washington,B1G,21,13.6,6.9111,5.0131,0.0312,0.0048,0.0264,0.8595
Iowa,B1G,22,12.7,7.1561,5.3038,0.0239,0.0033,0.0206,0.8922
Clemson,ACC,23,12.6,6.9372,5.1816,0.1402,0.0526,0.0876,0.8369
