market,snapshot_prev,snapshot_latest,season,conference,team,book,field,previous,latest,change,implied_prob_change_pct,summary
Win Total,2026-05-10,2026-05-11,2026,Mountain West,Air Force,Caesars,Over Odds,-160,-180,-20.0,2.75,Air Force Caesars over -160 → -180
Win Total,2026-05-10,2026-05-11,2026,Mountain West,Air Force,Caesars,Under Odds,+120,+140,20.0,-3.79,Air Force Caesars under +120 → +140
Win Total,2026-05-10,2026-05-11,2026,Mid-American,Akron,Caesars,Over Odds,-140,-120,20.0,-3.79,Akron Caesars over -140 → -120
Win Total,2026-05-10,2026-05-11,2026,Mid-American,Akron,Caesars,Under Odds,+110,-110,-220.0,4.76,Akron Caesars under +110 → -110
Win Total,2026-05-10,2026-05-11,2026,,Arkansas,BetMGM,Over Odds,+115,+130,15.0,-3.03,Arkansas BetMGM over +115 → +130
Win Total,2026-05-10,2026-05-11,2026,,Arkansas,BetMGM,Under Odds,-145,-170,-25.0,3.78,Arkansas BetMGM under -145 → -170
Win Total,2026-05-10,2026-05-11,2026,Sun Belt,Arkansas St.,Caesars,Over Odds,-170,-180,-10.0,1.32,Arkansas St. Caesars over -170 → -180
Win Total,2026-05-10,2026-05-11,2026,Sun Belt,Arkansas St.,Caesars,Under Odds,+130,+140,10.0,-1.81,Arkansas St. Caesars under +130 → +140
Win Total,2026-05-10,2026-05-11,2026,,BYU,BetMGM,Over Odds,-120,-125,-5.0,1.01,BYU BetMGM over -120 → -125
Win Total,2026-05-10,2026-05-11,2026,,BYU,BetMGM,Under Odds,-105,+100,205.0,-1.22,BYU BetMGM under -105 → +100
Win Total,2026-05-10,2026-05-11,2026,,Baylor,BetMGM,Over Odds,+110,+135,25.0,-5.07,Baylor BetMGM over +110 → +135
Win Total,2026-05-10,2026-05-11,2026,,Baylor,BetMGM,Under Odds,-145,-175,-30.0,4.45,Baylor BetMGM under -145 → -175
Win Total,2026-05-10,2026-05-11,2026,,California,BetMGM,Over Odds,-115,+110,225.0,-5.87,California BetMGM over -115 → +110
Win Total,2026-05-10,2026-05-11,2026,,California,BetMGM,Under Odds,-115,-145,-30.0,5.7,California BetMGM under -115 → -145
Win Total,2026-05-10,2026-05-11,2026,,Central Florida,BetMGM,Over Odds,-160,-170,-10.0,1.42,Central Florida BetMGM over -160 → -170
Win Total,2026-05-10,2026-05-11,2026,,Central Florida,BetMGM,Under Odds,+125,+130,5.0,-0.97,Central Florida BetMGM under +125 → +130
