snapshot_date,season,source,team,raw_team,rank,rating,off_rating,def_rating,sos,source_url,pulled_at,notes
2026-05-12,2026,Sagarin,Indiana A,Indiana A,1.0,100.06,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Ohio State A,Ohio State A,2.0,95.16,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Notre Dame A,Notre Dame A,3.0,94.6,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Oregon A,Oregon A,4.0,94.27,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Miami-Florida A,Miami-Florida A,5.0,93.02,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Texas Tech A,Texas Tech A,6.0,90.88,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Georgia A,Georgia A,7.0,89.07,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Mississippi A,Mississippi A,8.0,88.84,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Utah A,Utah A,9.0,86.8,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Penn State A,Penn State A,10.0,86.46,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Texas A,Texas A,11.0,86.35,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Iowa A,Iowa A,12.0,86.07,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Texas A&M A,Texas A&M A,13.0,85.87,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Alabama A,Alabama A,14.0,85.61,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Vanderbilt A,Vanderbilt A,15.0,85.49,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Washington A,Washington A,16.0,85.2,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Oklahoma A,Oklahoma A,17.0,83.67,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Southern California A,Southern California A,18.0,83.43,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,SMU A,SMU A,19.0,83.0,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,BYU A,BYU A,20.0,81.85,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Michigan A,Michigan A,21.0,80.89,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Missouri A,Missouri A,22.0,80.49,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Tennessee A,Tennessee A,23.0,80.32,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,James Madison A,James Madison A,24.0,80.06,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Louisville A,Louisville A,25.0,79.95,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Clemson A,Clemson A,26.0,79.32,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Illinois A,Illinois A,27.0,79.28,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,LSU A,LSU A,28.0,79.14,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Auburn A,Auburn A,29.0,79.03,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Virginia A,Virginia A,30.0,78.95,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Arizona A,Arizona A,31.0,78.6,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,NC State A,NC State A,32.0,78.11,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Pittsburgh A,Pittsburgh A,33.0,77.68,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,South Carolina A,South Carolina A,34.0,77.59,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,South Florida A,South Florida A,35.0,77.58,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,TCU A,TCU A,36.0,77.31,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Florida A,Florida A,37.0,76.94,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Georgia Tech A,Georgia Tech A,38.0,76.82,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Duke A,Duke A,39.0,76.71,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,North Dakota State AA,North Dakota State AA,40.0,76.17,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Iowa State A,Iowa State A,41.0,76.11,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Kansas State A,Kansas State A,42.0,76.06,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Florida State A,Florida State A,43.0,75.8,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
